Bg,P_atm,Tw[K],B'c,hw[MJ/kg],C,H,O,N,CH4,CN,CO,CO2,C2,C2H,"C2H2,acetylene",C3,C4,"C4H2,butadiyne",C5,HCN,H2,H2O,N2,CH2OH,CNN,CNC,CNCOCN,C6H6,CH,CH2,CH3,C2H4,C2H6,"C3H3,1-propynl","C3H3,2-propynl","C6H5O,phenoxy","C6H5OH,phenol",O2,OH,Si,SiO,SiO2,Si2,SiN,C(gr),SiO2(a-qz),SiO2(b-qz),SiO2(b-crt)
0.0,0.001,3.000000e+02,1.472130e-70,1.007880e+01,1.502170e-114,0.000000e+00,1.874950e-134,3.496390e-79,0.000000e+00,5.503780e-71,3.271280e-70,7.422360e-122,1.271300e-132,0.000000e+00,0.000000e+00,1.855540e-132,6.383070e-170,0.000000e+00,1.502000e-171,0.000000e+00,0.000000e+00,0.000000e+00,4.767940e-02,0.000000e+00,1.632190e-110,1.574440e-112,1.310170e-141,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.601070e-190,0.000000e+00,1.610500e-24,1.946130e-28,1.972440e-90,9.523210e-01,4.564910e-21,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.0,0.001,3.250000e+02,4.756660e-64,1.009520e+01,5.992150e-105,0.000000e+00,4.497910e-123,7.507000e-73,0.000000e+00,4.140990e-65,1.193420e-63,4.818850e-111,1.704390e-121,0.000000e+00,0.000000e+00,3.318940e-121,1.006670e-155,0.000000e+00,3.496050e-157,0.000000e+00,0.000000e+00,0.000000e+00,4.767940e-02,0.000000e+00,4.989680e-102,2.359170e-103,2.990360e-130,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.937720e-174,0.000000e+00,2.235180e-22,1.321090e-25,1.507960e-82,9.523210e-01,1.513810e-19,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.0,0.001,3.500000e+02,1.961220e-58,1.011170e+01,1.023700e-96,0.000000e+00,2.566980e-113,2.016270e-67,0.000000e+00,4.524270e-60,5.046100e-58,8.927290e-102,5.975630e-112,0.000000e+00,0.000000e+00,1.479450e-111,1.511250e-143,0.000000e+00,7.347610e-145,0.000000e+00,0.000000e+00,0.000000e+00,4.767940e-02,0.000000e+00,9.390060e-95,1.742530e-95,1.640060e-120,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.182500e-160,0.000000e+00,1.537150e-20,3.527460e-23,8.611070e-76,9.523210e-01,3.040140e-18,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.0,0.001,3.750000e+02,1.467960e-53,1.012820e+01,1.405130e-89,0.000000e+00,7.353640e-105,1.026360e-62,0.000000e+00,1.055120e-55,3.800280e-53,9.600760e-94,1.133040e-103,0.000000e+00,0.000000e+00,3.432750e-103,5.465930e-133,0.000000e+00,3.565190e-134,0.000000e+00,0.000000e+00,0.000000e+00,4.767940e-02,0.000000e+00,1.899450e-88,1.157130e-88,4.550500e-112,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.046890e-148,0.000000e+00,6.026120e-19,4.463100e-21,6.167170e-70,9.523210e-01,4.088850e-17,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.0,0.001,4.000000e+02,2.713620e-49,1.014470e+01,2.484250e-83,0.000000e+00,1.851520e-97,1.352230e-58,0.000000e+00,7.012720e-52,7.037550e-49,1.021170e-86,2.003980e-96,0.000000e+00,0.000000e+00,7.205280e-96,9.560040e-124,0.000000e+00,8.078190e-125,0.000000e+00,0.000000e+00,0.000000e+00,4.767940e-02,0.000000e+00,6.273480e-83,1.084350e-82,1.116500e-104,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.970940e-138,0.000000e+00,1.496040e-17,3.077170e-19,8.171940e-65,9.523210e-01,3.971600e-16,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.0,0.001,4.250000e+02,1.580560e-45,1.016130e+01,8.117240e-78,0.000000e+00,6.289130e-91,5.852110e-55,0.000000e+00,1.657020e-48,4.101490e-45,1.614770e-80,5.017060e-90,0.000000e+00,0.000000e+00,2.088200e-89,1.377910e-115,0.000000e+00,1.465210e-116,0.000000e+00,0.000000e+00,0.000000e+00,4.767940e-02,0.000000e+00,4.657480e-78,2.024540e-77,3.713440e-98,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.956110e-129,0.000000e+00,2.549010e-16,1.286610e-17,2.697300e-60,9.523210e-01,2.951480e-15,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.0,0.001,4.500000e+02,3.512020e-42,1.017790e+01,6.491420e-73,0.000000e+00,4.022250e-85,1.001360e-51,0.000000e+00,1.653230e-45,9.115570e-42,5.212830e-75,2.459550e-84,0.000000e+00,0.000000e+00,1.161220e-83,2.477920e-108,0.000000e+00,3.235810e-109,0.000000e+00,0.000000e+00,0.000000e+00,4.767940e-02,0.000000e+00,9.966500e-74,9.848730e-73,2.334220e-92,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.790100e-121,0.000000e+00,3.173310e-15,3.545400e-16,2.795010e-56,9.523210e-01,1.755100e-14,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.0,0.001,4.750000e+02,3.464020e-39,1.019460e+01,1.586080e-68,0.000000e+00,6.302320e-80,7.842510e-49,0.000000e+00,7.978320e-43,8.991810e-39,4.413300e-70,3.051090e-79,0.000000e+00,0.000000e+00,1.606800e-78,7.715090e-102,0.000000e+00,1.211830e-102,0.000000e+00,0.000000e+00,0.000000e+00,4.767940e-02,0.000000e+00,7.480660e-70,1.542970e-68,3.605320e-87,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.674590e-113,0.000000e+00,3.032760e-14,6.876340e-15,1.091550e-52,9.523210e-01,8.652110e-14,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.0,0.001,5.000000e+02,1.712390e-36,1.021120e+01,1.414010e-64,0.000000e+00,2.986640e-75,3.160560e-46,0.000000e+00,2.076250e-40,4.445160e-36,1.197420e-65,1.175920e-74,0.000000e+00,0.000000e+00,6.811790e-74,5.405850e-96,0.000000e+00,1.003310e-96,0.000000e+00,0.000000e+00,0.000000e+00,4.767940e-02,0.000000e+00,2.304350e-66,9.223650e-65,1.688120e-82,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.633290e-107,0.000000e+00,2.314900e-13,9.894130e-14,1.859620e-49,9.523210e-01,3.637390e-13,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.0,0.001,5.250000e+02,4.681130e-34,1.022790e+01,5.310650e-61,0.000000e+00,5.077050e-71,7.206010e-44,0.000000e+00,3.181870e-38,1.215190e-33,1.224700e-61,1.662770e-70,0.000000e+00,0.000000e+00,1.047120e-69,1.054130e-90,0.000000e+00,2.276470e-91,0.000000e+00,0.000000e+00,0.000000e+00,4.767940e-02,0.000000e+00,3.308160e-63,2.413540e-61,2.840510e-78,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.163950e-101,0.000000e+00,1.457180e-12,1.102150e-12,1.555810e-46,9.523210e-01,1.334280e-12,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
