P_atm,Tw[K],B'c,hw[MJ/kg],N,O,NO,N2,O2,C,C2,C3,CN,CO,CO2,C(gr)
0.001,3.000000e+02,8.742740e-02,-2.632220e+00,1.423210e-78,3.153750e-74,1.075360e-50,7.900000e-01,4.529900e-70,1.502170e-114,1.271300e-132,1.855540e-132,2.240320e-70,5.502450e-10,2.100000e-01,1.000000e+00
0.001,3.250000e+02,8.742740e-02,-2.607560e+00,3.055730e-72,2.969270e-68,7.750160e-47,7.900000e-01,8.444350e-65,5.992150e-105,1.704390e-121,3.318940e-121,1.685590e-64,7.878290e-09,2.100000e-01,1.000000e+00
0.001,3.500000e+02,8.742740e-02,-2.582700e+00,8.207240e-67,3.937060e-63,1.571060e-43,7.900000e-01,2.781640e-60,1.023700e-96,5.975630e-112,1.479450e-111,1.841610e-59,7.739360e-08,2.100000e-01,1.000000e+00
0.001,3.750000e+02,8.742750e-02,-2.557660e+00,4.177790e-62,1.087570e-58,1.154330e-40,7.900000e-01,2.289890e-56,1.405130e-89,1.133040e-103,3.432750e-103,4.294870e-55,5.620460e-07,2.100000e-01,1.000000e+00
0.001,4.000000e+02,8.742810e-02,-2.532410e+00,5.504270e-58,8.396270e-55,3.718200e-38,7.899990e-01,6.109560e-53,2.484250e-83,2.003980e-96,7.205280e-96,2.854530e-51,3.191390e-06,2.099980e-01,1.000000e+00
0.001,4.250000e+02,8.743050e-02,-2.506950e+00,2.382090e-54,2.267960e-51,6.072700e-36,7.899940e-01,6.445110e-50,8.117240e-78,5.017060e-90,2.088200e-89,6.744860e-48,1.479060e-05,2.099910e-01,1.000000e+00
0.001,4.500000e+02,8.743950e-02,-2.481200e+00,4.075980e-51,2.552740e-48,5.631350e-34,7.899770e-01,3.137740e-47,6.491420e-73,2.459550e-84,1.161220e-83,6.729380e-45,5.785230e-05,2.099650e-01,1.000000e+00
0.001,4.750000e+02,8.746820e-02,-2.454950e+00,3.192140e-48,1.374380e-45,3.241800e-32,7.899230e-01,7.963780e-45,1.586080e-68,3.051090e-79,1.606800e-78,3.247420e-42,1.960890e-04,2.098810e-01,1.000000e+00
0.001,5.000000e+02,8.754990e-02,-2.427670e+00,1.286320e-45,3.951870e-43,1.244040e-30,7.897680e-01,1.161360e-42,1.414010e-64,1.175920e-74,6.811790e-74,8.450160e-40,5.881750e-04,2.096440e-01,1.000000e+00
0.001,5.250000e+02,8.775820e-02,-2.398210e+00,2.932040e-43,6.633000e-41,3.370010e-29,7.893730e-01,1.052100e-40,5.310650e-61,1.662770e-70,1.047120e-69,1.294670e-37,1.587610e-03,2.090390e-01,1.000000e+00
0.001,5.500000e+02,8.824230e-02,-2.364230e+00,4.084730e-41,6.984860e-39,6.748630e-28,7.884570e-01,6.303540e-39,9.451540e-58,9.884180e-67,6.700040e-66,1.254980e-35,3.907040e-03,2.076360e-01,1.000000e+00
0.001,5.750000e+02,8.927820e-02,-2.321400e+00,3.706980e-39,4.892720e-37,1.036520e-26,7.865030e-01,2.624530e-37,8.784870e-55,2.764290e-63,1.999940e-62,8.166380e-34,8.852020e-03,2.046450e-01,1.000000e+00
0.001,6.000000e+02,9.133150e-02,-2.262520e+00,2.310470e-37,2.389340e-35,1.256440e-25,7.826600e-01,7.885100e-36,4.624220e-52,3.995060e-60,3.062650e-59,3.746750e-32,1.858110e-02,1.987580e-01,1.000000e+00
0.001,6.250000e+02,9.510760e-02,-2.176800e+00,1.033580e-35,8.438400e-34,1.227390e-24,7.756900e-01,1.754550e-34,1.475650e-49,3.228700e-57,2.606250e-56,1.262640e-30,3.622740e-02,1.880820e-01,1.000000e+00
0.001,6.500000e+02,1.015200e-01,-2.050810e+00,3.443510e-34,2.214300e-32,9.792540e-24,7.641330e-01,2.932410e-33,3.024120e-47,1.559960e-54,1.318690e-53,3.234440e-29,6.548500e-02,1.703820e-01,1.000000e+00
0.001,6.750000e+02,1.114260e-01,-1.873030e+00,8.817830e-33,4.394890e-31,6.420630e-23,7.469430e-01,3.686910e-32,4.180330e-45,4.769950e-52,4.202540e-51,6.485130e-28,1.090060e-01,1.440510e-01,1.000000e+00
0.001,7.000000e+02,1.249220e-01,-1.644830e+00,1.784580e-31,6.663460e-30,3.462410e-22,7.247300e-01,3.454530e-31,4.065410e-43,9.692660e-50,8.863110e-49,1.044500e-26,1.652400e-01,1.100300e-01,1.000000e+00
0.001,7.250000e+02,1.403370e-01,-1.393750e+00,2.929740e-30,7.769940e-29,1.537010e-21,7.009210e-01,2.384030e-30,2.884350e-41,1.365210e-47,1.290860e-46,1.384680e-25,2.255160e-01,7.356270e-02,1.000000e+00
0.001,7.500000e+02,1.542730e-01,-1.169110e+00,3.997940e-29,7.068160e-28,5.678900e-21,6.807040e-01,1.219960e-29,1.540670e-39,1.382470e-45,1.347210e-44,1.546010e-24,2.766990e-01,4.259690e-02,1.000000e+00
0.001,7.750000e+02,1.640120e-01,-1.006410e+00,4.629390e-28,5.177500e-27,1.796390e-20,6.672550e-01,4.838650e-29,6.367950e-38,1.039040e-43,1.040510e-42,1.482230e-23,3.107470e-01,2.199800e-02,1.000000e+00
