P_atm,T_K,Bg,Bc,hw_MJkg
0.01,2000,0,1.748570e-01,6.418260e-01
0.01,2000,0.02,1.712100e-01,6.963580e-01
0.01,2000,0.04,1.669340e-01,7.314530e-01
0.01,2000,0.07,1.603300e-01,7.773170e-01
0.01,2000,0.1,1.536190e-01,8.188080e-01
0.01,2000,0.15,1.423100e-01,8.817900e-01
0.01,2000,0.2,1.309100e-01,9.391690e-01
0.01,2000,0.25,1.194520e-01,9.921770e-01
0.01,2000,0.32,1.033420e-01,1.060380e+00
0.01,2000,0.4,8.486350e-02,1.131180e+00
0.01,2000,0.5,6.169260e-02,1.210810e+00
0.01,2000,0.6,3.846290e-02,1.282230e+00
0.01,2000,0.7,1.518870e-02,1.346750e+00
0.01,2000,0.8,0.000000e+00,1.405370e+00
0.01,2000,0.9,0.000000e+00,1.458900e+00
0.01,2000,1,0.000000e+00,1.508000e+00
0.01,2000,1.2,0.000000e+00,1.594980e+00
0.01,2000,1.5,0.000000e+00,1.703200e+00
0.01,2000,1.9,0.000000e+00,1.817260e+00
0.01,2000,2.4,0.000000e+00,1.926460e+00
0.01,2000,3,0.000000e+00,2.025070e+00
0.01,2000,4,0.000000e+00,2.141080e+00
0.01,2000,5.5,0.000000e+00,2.252280e+00
0.01,2000,7.5,0.000000e+00,2.342240e+00
0.01,2000,10,0.000000e+00,2.410130e+00
0.01,3000,0,2.462070e-01,3.665700e+00
0.01,3000,0.02,2.486610e-01,4.166460e+00
0.01,3000,0.04,2.508130e-01,4.630540e+00
0.01,3000,0.07,2.536120e-01,5.272500e+00
0.01,3000,0.1,2.560200e-01,5.862410e+00
0.01,3000,0.15,2.593950e-01,6.755050e+00
0.01,3000,0.2,2.621800e-01,7.557960e+00
0.01,3000,0.25,2.645270e-01,8.288980e+00
0.01,3000,0.32,2.672550e-01,9.214050e+00
0.01,3000,0.4,2.697660e-01,1.015670e+01
0.01,3000,0.5,2.722220e-01,1.119710e+01
0.01,3000,0.6,2.741020e-01,1.211360e+01
0.01,3000,0.7,2.755330e-01,1.292920e+01
0.01,3000,0.8,2.766020e-01,1.366080e+01
0.01,3000,0.9,2.773710e-01,1.432160e+01
0.01,3000,1,2.778870e-01,1.492190e+01
0.01,3000,1.2,2.782950e-01,1.597240e+01
0.01,3000,1.5,2.776960e-01,1.725890e+01
0.01,3000,1.9,2.752540e-01,1.859310e+01
0.01,3000,2.4,2.703290e-01,1.985250e+01
0.01,3000,3,2.624780e-01,2.097750e+01
0.01,3000,4,2.461710e-01,2.228960e+01
0.01,3000,5.5,2.167810e-01,2.354130e+01
0.01,3000,7.5,1.718410e-01,2.455470e+01
0.01,3000,10,1.098970e-01,2.532460e+01
0.01,3400,0,2.000000e+02,3.018200e+01
0.01,3400,0.02,2.000000e+02,3.018350e+01
0.01,3400,0.04,2.000000e+02,3.018490e+01
