Bg,P_atm,Tw[K],B'c,hw[MJ/kg],C,H,O,N,CH4,CN,CO,CO2,C2,C2H,"C2H2,acetylene",C3,C4,"C4H2,butadiyne",C5,HCN,H2,H2O,N2,CH2OH,CNN,CNC,CNCOCN,C6H6,HNC,C(gr)
0.1,0.001,3.000000e+02,1.294180e-02,-3.129400e+00,1.502170e-114,8.037610e-37,2.694210e-74,1.356600e-78,7.944600e-04,2.135460e-70,4.700670e-10,1.532590e-01,1.271300e-132,6.758230e-93,7.969640e-42,1.855540e-132,6.383070e-170,1.825960e-78,1.502000e-171,2.312860e-24,3.664160e-05,1.281290e-01,7.177810e-01,3.650880e-45,2.457150e-109,6.108820e-112,2.834190e-80,1.111390e-42,7.664320e-35,1.000000e+00
0.1,0.001,3.250000e+02,1.338640e-02,-3.101140e+00,5.992150e-105,1.338510e-33,2.540770e-68,2.912630e-72,1.252120e-03,1.606650e-64,6.741370e-09,1.537630e-01,1.704390e-121,5.194610e-85,3.619290e-38,3.318940e-121,1.006670e-155,7.791590e-72,3.496050e-157,2.797910e-22,1.462840e-04,1.270970e-01,7.177420e-01,7.214880e-42,7.511220e-101,9.153300e-103,2.542820e-74,8.897090e-40,6.150560e-32,1.000000e+00
0.1,0.001,3.500000e+02,1.397890e-02,-3.071910e+00,1.023700e-96,7.760240e-31,3.376610e-63,7.822250e-67,1.814940e-03,1.755220e-59,6.637640e-08,1.544670e-01,5.975630e-112,3.003060e-78,4.933130e-35,1.479450e-111,1.511250e-143,3.783340e-66,7.347610e-145,1.704730e-20,4.795800e-04,1.256160e-01,7.176220e-01,4.773520e-39,1.413300e-93,6.760240e-95,3.247010e-69,2.651870e-37,1.902380e-29,1.000000e+00
0.1,0.001,3.750000e+02,1.475520e-02,-3.041140e+00,1.405130e-89,1.930230e-28,9.357530e-59,3.980960e-62,2.445890e-03,4.092520e-55,4.835870e-07,1.554620e-01,1.133040e-103,2.184420e-72,2.557950e-32,3.432750e-103,5.465930e-133,3.214220e-61,3.565190e-134,5.989380e-19,1.338090e-03,1.234400e-01,7.173140e-01,1.310790e-36,2.857630e-87,4.488190e-88,8.711570e-65,3.560150e-35,2.738320e-27,1.000000e+00
0.1,0.001,4.000000e+02,1.577470e-02,-3.007850e+00,2.484250e-83,2.406240e-26,7.257580e-55,5.242430e-58,3.073960e-03,2.718740e-51,2.758580e-06,1.569010e-01,2.003980e-96,2.937620e-67,6.012330e-30,7.205280e-96,9.560040e-124,6.580730e-57,8.078190e-125,1.341210e-17,3.255590e-03,1.201420e-01,7.166250e-01,1.748780e-34,9.429090e-82,4.203890e-82,6.577840e-61,2.463490e-33,2.110100e-25,1.000000e+00
0.1,0.001,4.250000e+02,1.711910e-02,-2.970570e+00,8.117240e-78,1.690360e-24,1.973480e-51,2.266640e-54,3.586760e-03,6.417960e-48,1.287020e-05,1.590000e-01,5.017060e-90,9.787240e-63,7.299700e-28,2.088200e-89,1.377910e-115,4.133810e-53,1.465210e-116,2.062890e-16,7.012880e-03,1.151140e-01,7.152730e-01,1.272490e-32,6.987010e-77,7.841470e-77,1.748070e-57,9.638680e-32,9.671740e-24,1.000000e+00
0.1,0.001,4.500000e+02,1.887510e-02,-2.927600e+00,6.491420e-73,7.317690e-23,2.242140e-48,3.872130e-51,3.844560e-03,6.392830e-45,5.081330e-05,1.619790e-01,2.459550e-84,1.012700e-58,5.049740e-26,1.161220e-83,2.477920e-108,9.580080e-50,3.235810e-109,2.305550e-15,1.348650e-02,1.077030e-01,7.129360e-01,5.496270e-31,1.490260e-72,3.808380e-72,1.945610e-54,2.266870e-30,2.856820e-22,1.000000e+00
0.1,0.001,4.750000e+02,2.110100e-02,-2.877590e+00,1.586080e-68,2.092670e-21,1.222060e-45,3.025040e-48,3.736550e-03,3.077420e-42,1.743570e-04,1.659390e-01,3.051090e-79,3.885750e-55,2.145640e-24,1.606800e-78,7.715090e-102,9.452760e-47,1.211830e-102,1.955270e-14,2.325340e-02,9.751020e-02,7.093860e-01,1.500850e-29,1.112990e-68,5.951590e-68,1.040130e-51,3.339170e-29,5.786600e-21,1.000000e+00
0.1,0.001,5.000000e+02,2.379500e-02,-2.820290e+00,1.414010e-64,4.180240e-20,3.565930e-43,1.215030e-45,3.261360e-03,7.981840e-40,5.307350e-04,1.706970e-01,1.175920e-74,6.373580e-52,5.949200e-23,6.811790e-74,5.405850e-96,4.455650e-44,1.003310e-96,1.303100e-13,3.608540e-02,8.477290e-02,7.046530e-01,2.724230e-28,3.405590e-65,3.545890e-64,2.978770e-49,3.187290e-28,8.450330e-20,1.000000e+00
0.1,0.001,5.250000e+02,2.689080e-02,-2.756620e+00,5.310650e-61,6.113990e-19,6.080620e-41,2.759220e-43,2.555680e-03,1.218350e-37,1.455400e-03,1.756720e-01,1.662770e-70,5.023790e-49,1.134740e-21,1.047120e-69,1.054130e-90,1.105510e-41,2.276470e-91,7.035680e-13,5.074930e-02,7.050900e-02,6.990580e-01,3.438110e-27,4.850300e-62,9.241560e-61,4.987870e-47,2.049200e-27,9.284520e-19,1.000000e+00
0.1,0.001,5.500000e+02,3.032250e-02,-2.687450e+00,9.451540e-58,6.824940e-18,6.501670e-39,3.829500e-41,1.819020e-03,1.176570e-35,3.636760e-03,1.799020e-01,9.884180e-67,2.100450e-46,1.563930e-20,6.700040e-66,6.806800e-86,1.572470e-39,1.687670e-86,3.164780e-12,6.543560e-02,5.620170e-02,6.930040e-01,3.154150e-26,3.569740e-59,1.179300e-57,5.240880e-45,9.323290e-27,7.972200e-18,1.000000e+00
0.1,0.001,5.750000e+02,3.416480e-02,-2.611270e+00,8.784870e-55,6.034290e-17,4.615590e-37,3.463580e-39,1.200540e-03,7.630180e-34,8.350630e-03,1.821190e-01,2.764290e-63,5.068630e-44,1.631050e-19,1.999940e-62,1.680420e-81,1.383690e-37,4.727630e-82,1.216960e-11,7.853410e-02,4.318450e-02,6.866120e-01,2.198030e-25,1.479750e-56,8.085960e-55,3.658150e-43,3.179050e-26,5.534870e-17,1.000000e+00
