Bg,P_atm,Tw[K],B'c,hw[MJ/kg],C,H,O,N,CH4,CN,CO,CO2,C2,C2H,"C2H2,acetylene",C3,C4,"C4H2,butadiyne",C5,HCN,H2,H2O,N2,CH2OH,CNN,CNC,CNCOCN,C6H6,CH,CH2,CH3,C2H4,C2H6,"C3H3,1-propynl","C3H3,2-propynl","C6H5O,phenoxy","C6H5OH,phenol",O2,OH,C(gr)
2.0,0.001,3.000000e+02,0.000000e+00,-7.033360e+00,1.502170e-114,3.357640e-36,6.037110e-75,7.985400e-79,2.419360e-01,1.257010e-70,1.053310e-10,7.695240e-03,1.271300e-132,2.823190e-92,1.390760e-40,1.855540e-132,6.383070e-170,3.186450e-77,1.502000e-171,5.687250e-24,6.394230e-04,5.010240e-01,2.487050e-01,5.963710e-44,8.513830e-110,3.595870e-112,2.200500e-81,5.906220e-39,5.525530e-99,7.391900e-69,5.878100e-33,4.740610e-22,8.185680e-11,2.121540e-83,1.246450e-62,1.521230e-66,1.396290e-47,1.659940e-71,2.233340e-43,1.000000e+00
2.0,0.001,3.250000e+02,0.000000e+00,-6.955490e+00,5.992150e-105,5.006950e-33,7.035710e-69,1.713920e-72,2.451620e-01,9.454270e-65,1.866770e-09,1.179060e-02,1.704390e-121,1.943140e-84,5.064380e-37,3.318940e-121,1.006670e-155,1.090260e-70,3.496050e-157,6.158730e-22,2.046920e-03,4.924700e-01,2.485300e-01,1.045750e-40,2.600890e-101,5.386210e-103,2.438200e-75,2.437570e-36,9.926980e-91,3.997620e-63,3.082420e-30,2.419070e-20,1.978910e-10,1.283870e-76,1.978450e-57,6.370290e-62,1.226610e-44,4.741150e-66,6.743870e-40,1.000000e+00
2.0,0.001,3.500000e+02,0.000000e+00,-6.871160e+00,1.023700e-96,2.652740e-30,1.108420e-63,4.599240e-67,2.478210e-01,1.032010e-59,2.178900e-08,1.664490e-02,5.975630e-112,1.026550e-77,5.764480e-34,1.479450e-111,1.511250e-143,4.420920e-65,7.347610e-145,3.426330e-20,5.604000e-03,4.818430e-01,2.480880e-01,6.259170e-38,4.885880e-94,3.974810e-95,3.684820e-70,4.231200e-34,1.190430e-83,3.305690e-58,6.645430e-28,7.031250e-19,4.202250e-10,8.379650e-71,5.736280e-53,5.757240e-58,4.046290e-42,2.204770e-61,6.450020e-37,1.000000e+00
2.0,0.001,3.750000e+02,0.000000e+00,-6.781730e+00,1.405130e-89,6.127560e-28,3.527310e-59,2.336560e-62,2.484000e-01,2.402030e-55,1.822880e-07,2.208960e-02,1.133040e-103,6.934500e-72,2.577800e-31,3.432750e-103,5.465930e-133,3.239170e-60,3.565190e-134,1.115960e-18,1.348480e-02,4.689170e-01,2.471070e-01,1.580710e-35,9.844250e-88,2.634260e-88,1.131240e-65,3.643690e-32,1.632940e-77,6.059890e-54,6.998150e-26,1.294800e-17,7.972570e-10,9.158370e-66,4.243990e-49,1.518570e-54,6.058080e-40,2.408710e-57,2.458350e-34,1.000000e+00
2.0,0.001,4.000000e+02,0.000000e+00,-6.687260e+00,2.484250e-83,7.187610e-26,3.067140e-55,3.066350e-58,2.447260e-01,1.590210e-51,1.165810e-06,2.802270e-02,2.003980e-96,8.774870e-67,5.364550e-29,7.205280e-96,9.560040e-124,5.871720e-56,8.078190e-125,2.343320e-17,2.904830e-02,4.530300e-01,2.451710e-01,1.969760e-33,3.225880e-82,2.458900e-82,9.510500e-62,1.749950e-30,3.834050e-72,3.247170e-50,4.083410e-24,1.628990e-16,1.359680e-09,2.323890e-61,1.026230e-45,1.458830e-51,4.716900e-38,8.152760e-54,4.434760e-32,1.000000e+00
2.0,0.001,4.250000e+02,0.000000e+00,-6.585620e+00,8.117240e-78,4.804690e-24,9.188090e-52,1.317700e-54,2.341260e-01,3.731060e-48,5.992060e-06,3.446530e-02,5.017060e-90,2.781940e-62,5.897650e-27,2.088200e-89,1.377910e-115,3.339830e-52,1.465210e-116,3.408770e-16,5.665920e-02,4.330070e-01,2.417360e-01,1.360530e-31,2.361360e-77,4.558610e-77,2.750560e-58,5.083210e-29,2.094510e-67,6.267210e-47,1.447970e-22,1.475180e-15,2.077060e-09,1.750640e-57,9.760740e-43,6.007860e-49,2.103160e-36,1.057820e-50,4.316200e-30,1.000000e+00
2.0,0.001,4.500000e+02,0.000000e+00,-6.471470e+00,6.491420e-73,1.999060e-22,1.136310e-48,2.229060e-51,2.141170e-01,3.680140e-45,2.575200e-05,4.160320e-02,2.459550e-84,2.766500e-58,3.768530e-25,1.161220e-83,2.477920e-108,7.149430e-49,3.235810e-109,3.625750e-15,1.006470e-01,4.073450e-01,2.362620e-01,5.678780e-30,4.938620e-73,2.192360e-72,3.267620e-55,9.421790e-28,3.375150e-63,5.109530e-44,3.337170e-21,9.951540e-15,2.807610e-09,4.718450e-54,4.197970e-40,1.195260e-46,5.736590e-35,6.217220e-48,2.507160e-28,1.000000e+00
2.0,0.001,4.750000e+02,0.000000e+00,-6.335480e+00,1.586080e-68,5.542080e-21,6.695640e-46,1.716800e-48,1.838060e-01,1.746530e-42,9.552970e-05,4.981340e-02,3.051090e-79,1.029070e-54,1.504880e-23,1.606800e-78,7.715090e-102,6.629840e-46,1.211830e-102,2.938780e-14,1.630910e-01,3.747080e-01,2.284860e-01,1.527400e-28,3.584820e-69,3.377700e-68,1.835540e-52,1.152050e-26,1.932130e-59,1.989810e-41,5.248280e-20,5.108000e-14,3.296520e-09,5.249320e-51,9.074410e-38,1.253550e-44,9.998790e-34,1.890130e-45,9.403660e-27,1.000000e+00
2.0,0.001,5.000000e+02,0.000000e+00,-6.164540e+00,1.414010e-64,1.080460e-19,2.107380e-43,6.769880e-46,1.455540e-01,4.447310e-40,3.136510e-04,5.961600e-02,1.175920e-74,1.647370e-51,3.974400e-22,6.811790e-74,5.405850e-96,2.976630e-43,1.003310e-96,1.876630e-13,2.410710e-01,3.346870e-01,2.187590e-01,2.779910e-27,1.057260e-65,1.975690e-64,5.465060e-50,9.502990e-26,4.556510e-56,4.078400e-39,5.843750e-19,2.023330e-13,3.298650e-09,2.696980e-48,1.070670e-35,7.401980e-43,1.147790e-32,3.302530e-43,2.422840e-25,1.000000e+00
2.0,0.001,5.250000e+02,0.000000e+00,-5.945700e+00,5.310650e-61,1.548980e-18,3.876210e-41,1.505630e-43,1.052910e-01,6.648210e-38,9.277720e-04,7.138760e-02,1.662770e-70,1.272780e-48,7.283510e-21,1.047120e-69,1.054130e-90,7.095860e-41,2.276470e-91,9.726560e-13,3.257420e-01,2.885010e-01,2.081500e-01,3.564060e-26,1.444210e-62,5.042850e-61,9.467550e-48,5.418950e-25,4.996190e-53,4.769370e-37,4.761830e-18,6.282850e-13,2.787800e-09,7.030920e-46,7.395540e-34,2.602600e-41,8.925970e-32,3.592960e-41,4.501730e-24,1.000000e+00
