P_atm,T_K,Bc_ss,Bg_ss,hw_ss_MJkg,Bc_Bg0,recession_over_mdote_m3_per_kg
0.01,300,3.292380e-02,7.681121e-02,-3.069558e+00,8.742740e-02,2.335021e-04
0.01,325,3.305265e-02,7.711184e-02,-3.043661e+00,8.742740e-02,2.344160e-04
0.01,350,3.322150e-02,7.750576e-02,-3.017664e+00,8.742740e-02,2.356135e-04
0.01,375,3.343431e-02,7.800224e-02,-2.991443e+00,8.742740e-02,2.371227e-04
0.01,400,3.369765e-02,7.861663e-02,-2.964767e+00,8.742760e-02,2.389905e-04
0.01,425,3.402235e-02,7.937414e-02,-2.937266e+00,8.742840e-02,2.412933e-04
0.01,450,3.442393e-02,8.031103e-02,-2.908350e+00,8.743120e-02,2.441414e-04
0.01,475,3.492166e-02,8.147223e-02,-2.877239e+00,8.744030e-02,2.476713e-04
0.01,500,3.553637e-02,8.290635e-02,-2.843025e+00,8.746620e-02,2.520310e-04
0.01,525,3.628881e-02,8.466179e-02,-2.804782e+00,8.753210e-02,2.573674e-04
0.01,550,3.720092e-02,8.678975e-02,-2.761728e+00,8.768580e-02,2.638363e-04
0.01,575,3.830276e-02,8.936034e-02,-2.713111e+00,8.801610e-02,2.716508e-04
0.01,600,3.964778e-02,9.249827e-02,-2.657866e+00,8.867750e-02,2.811899e-04
0.01,625,4.133878e-02,9.644338e-02,-2.593740e+00,8.991850e-02,2.931828e-04
0.01,650,4.356946e-02,1.016476e-01,-2.516348e+00,9.210920e-02,3.090033e-04
0.01,675,4.664490e-02,1.088226e-01,-2.418606e+00,9.575030e-02,3.308149e-04
0.01,700,5.095864e-02,1.188865e-01,-2.292120e+00,1.014280e-01,3.614088e-04
0.01,725,5.697812e-02,1.329300e-01,-2.128485e+00,1.096580e-01,4.041002e-04
0.01,750,6.501921e-02,1.516898e-01,-1.924658e+00,1.205450e-01,4.611292e-04
0.01,775,7.486901e-02,1.746694e-01,-1.689281e+00,1.333250e-01,5.309859e-04
0.01,800,8.536370e-02,1.991535e-01,-1.450909e+00,1.461720e-01,6.054163e-04
0.01,825,9.474675e-02,2.210442e-01,-1.241686e+00,1.569380e-01,6.719628e-04
0.01,850,1.017261e-01,2.373270e-01,-1.081830e+00,1.644860e-01,7.214618e-04
0.01,875,1.062075e-01,2.477821e-01,-9.683010e-01,1.690950e-01,7.532448e-04
0.01,900,1.088362e-01,2.539148e-01,-8.872302e-01,1.716880e-01,7.718878e-04
0.01,925,1.103165e-01,2.573683e-01,-8.257694e-01,1.730970e-01,7.823862e-04
0.01,950,1.111430e-01,2.592965e-01,-7.752764e-01,1.738600e-01,7.882479e-04
0.01,975,1.116095e-01,2.603850e-01,-7.307247e-01,1.742790e-01,7.915568e-04
0.01,1000,1.118774e-01,2.610099e-01,-6.893685e-01,1.745130e-01,7.934567e-04
0.01,1025,1.120348e-01,2.613771e-01,-6.497317e-01,1.746470e-01,7.945727e-04
0.01,1050,1.121295e-01,2.615982e-01,-6.110137e-01,1.747250e-01,7.952450e-04
0.01,1075,1.121878e-01,2.617342e-01,-5.727715e-01,1.747720e-01,7.956584e-04
0.01,1100,1.122251e-01,2.618212e-01,-5.347568e-01,1.748010e-01,7.959229e-04
0.01,1125,1.122500e-01,2.618792e-01,-4.968252e-01,1.748190e-01,7.960990e-04
0.01,1150,1.122670e-01,2.619189e-01,-4.588929e-01,1.748310e-01,7.962198e-04
0.01,1175,1.122795e-01,2.619480e-01,-4.209099e-01,1.748380e-01,7.963082e-04
0.01,1200,1.122893e-01,2.619710e-01,-3.828451e-01,1.748430e-01,7.963782e-04
0.01,1225,1.122984e-01,2.619923e-01,-3.446782e-01,1.748470e-01,7.964428e-04
0.01,1250,1.123070e-01,2.620121e-01,-3.063966e-01,1.748490e-01,7.965033e-04
0.01,1275,1.123156e-01,2.620322e-01,-2.679891e-01,1.748510e-01,7.965642e-04
0.01,1300,1.123254e-01,2.620551e-01,-2.294498e-01,1.748520e-01,7.966339e-04
0.01,1325,1.123365e-01,2.620811e-01,-1.907701e-01,1.748520e-01,7.967129e-04
0.01,1350,1.123496e-01,2.621116e-01,-1.519430e-01,1.748530e-01,7.968057e-04
0.01,1375,1.123642e-01,2.621456e-01,-1.129610e-01,1.748530e-01,7.969089e-04
0.01,1400,1.123819e-01,2.621869e-01,-7.381561e-02,1.748540e-01,7.970344e-04
0.01,1425,1.124028e-01,2.622358e-01,-3.449486e-02,1.748540e-01,7.971830e-04
0.01,1450,1.124265e-01,2.622911e-01,5.013326e-03,1.748540e-01,7.973513e-04
0.01,1475,1.124547e-01,2.623569e-01,4.472484e-02,1.748540e-01,7.975514e-04
0.01,1500,1.124870e-01,2.624322e-01,8.465743e-02,1.748540e-01,7.977802e-04
