Tw_K,P_bar,phi,f_air,Bg,Bc
300,0.00101325,0.8,0,0,6.236020e-02
325,0.00101325,0.8,0,0,6.332410e-02
350,0.00101325,0.8,0,0,6.458940e-02
375,0.00101325,0.8,0,0,6.620380e-02
400,0.00101325,0.8,0,0,6.825160e-02
425,0.00101325,0.8,0,0,7.086550e-02
450,0.00101325,0.8,0,0,7.421950e-02
475,0.00101325,0.8,0,0,7.849990e-02
500,0.00101325,0.8,0,0,8.385920e-02
525,0.00101325,0.8,0,0,9.037750e-02
550,0.00101325,0.8,0,0,9.807680e-02
575,0.00101325,0.8,0,0,1.070530e-01
600,0.00101325,0.8,0,0,1.177550e-01
625,0.00101325,0.8,0,0,1.313390e-01
650,0.00101325,0.8,0,0,1.499180e-01
675,0.00101325,0.8,0,0,1.765110e-01
700,0.00101325,0.8,0,0,2.141940e-01
725,0.00101325,0.8,0,0,2.635890e-01
750,0.00101325,0.8,0,0,3.189210e-01
775,0.00101325,0.8,0,0,3.682200e-01
800,0.00101325,0.8,0,0,4.025460e-01
825,0.00101325,0.8,0,0,4.223080e-01
850,0.00101325,0.8,0,0,4.325690e-01
875,0.00101325,0.8,0,0,4.377140e-01
900,0.00101325,0.8,0,0,4.403020e-01
925,0.00101325,0.8,0,0,4.416310e-01
950,0.00101325,0.8,0,0,4.423330e-01
975,0.00101325,0.8,0,0,4.427150e-01
1000,0.00101325,0.8,0,0,4.429280e-01
1025,0.00101325,0.8,0,0,4.430510e-01
1050,0.00101325,0.8,0,0,4.431240e-01
1075,0.00101325,0.8,0,0,4.431680e-01
1100,0.00101325,0.8,0,0,4.431950e-01
1125,0.00101325,0.8,0,0,4.432130e-01
1150,0.00101325,0.8,0,0,4.432240e-01
1175,0.00101325,0.8,0,0,4.432310e-01
1200,0.00101325,0.8,0,0,4.432360e-01
1225,0.00101325,0.8,0,0,4.432400e-01
1250,0.00101325,0.8,0,0,4.432420e-01
1275,0.00101325,0.8,0,0,4.432440e-01
1300,0.00101325,0.8,0,0,4.432450e-01
1325,0.00101325,0.8,0,0,4.432460e-01
1350,0.00101325,0.8,0,0,4.432460e-01
1375,0.00101325,0.8,0,0,4.432470e-01
1400,0.00101325,0.8,0,0,4.432480e-01
1425,0.00101325,0.8,0,0,4.432480e-01
1450,0.00101325,0.8,0,0,4.432490e-01
1475,0.00101325,0.8,0,0,4.432500e-01
1500,0.00101325,0.8,0,0,4.432500e-01
1525,0.00101325,0.8,0,0,4.432510e-01
1550,0.00101325,0.8,0,0,4.432530e-01
1575,0.00101325,0.8,0,0,4.432540e-01
1600,0.00101325,0.8,0,0,4.432560e-01
1625,0.00101325,0.8,0,0,4.432590e-01
1650,0.00101325,0.8,0,0,4.432620e-01
1675,0.00101325,0.8,0,0,4.432660e-01
1700,0.00101325,0.8,0,0,4.432710e-01
1725,0.00101325,0.8,0,0,4.432770e-01
1750,0.00101325,0.8,0,0,4.432840e-01
1775,0.00101325,0.8,0,0,4.432920e-01
1800,0.00101325,0.8,0,0,4.433030e-01
1825,0.00101325,0.8,0,0,4.433150e-01
1850,0.00101325,0.8,0,0,4.433290e-01
