Tw_K,P_bar,phi,f_air,Bg,hw_Jkg
300,0.00101325,0.8,0,0,-9.921130e+06
325,0.00101325,0.8,0,0,-9.884290e+06
350,0.00101325,0.8,0,0,-9.843550e+06
375,0.00101325,0.8,0,0,-9.797830e+06
400,0.00101325,0.8,0,0,-9.745170e+06
425,0.00101325,0.8,0,0,-9.682440e+06
450,0.00101325,0.8,0,0,-9.605370e+06
475,0.00101325,0.8,0,0,-9.509260e+06
500,0.00101325,0.8,0,0,-9.390210e+06
525,0.00101325,0.8,0,0,-9.246390e+06
550,0.00101325,0.8,0,0,-9.077790e+06
575,0.00101325,0.8,0,0,-8.883050e+06
600,0.00101325,0.8,0,0,-8.653220e+06
625,0.00101325,0.8,0,0,-8.365570e+06
650,0.00101325,0.8,0,0,-7.981260e+06
675,0.00101325,0.8,0,0,-7.451720e+06
700,0.00101325,0.8,0,0,-6.741510e+06
725,0.00101325,0.8,0,0,-5.874630e+06
750,0.00101325,0.8,0,0,-4.977660e+06
775,0.00101325,0.8,0,0,-4.231970e+06
800,0.00101325,0.8,0,0,-3.731440e+06
825,0.00101325,0.8,0,0,-3.438760e+06
850,0.00101325,0.8,0,0,-3.272850e+06
875,0.00101325,0.8,0,0,-3.172880e+06
900,0.00101325,0.8,0,0,-3.105220e+06
925,0.00101325,0.8,0,0,-3.053230e+06
950,0.00101325,0.8,0,0,-3.008950e+06
975,0.00101325,0.8,0,0,-2.968510e+06
1000,0.00101325,0.8,0,0,-2.930010e+06
1025,0.00101325,0.8,0,0,-2.892480e+06
1050,0.00101325,0.8,0,0,-2.855440e+06
1075,0.00101325,0.8,0,0,-2.818620e+06
1100,0.00101325,0.8,0,0,-2.781870e+06
1125,0.00101325,0.8,0,0,-2.745110e+06
1150,0.00101325,0.8,0,0,-2.708300e+06
1175,0.00101325,0.8,0,0,-2.671410e+06
1200,0.00101325,0.8,0,0,-2.634420e+06
1225,0.00101325,0.8,0,0,-2.597330e+06
1250,0.00101325,0.8,0,0,-2.560130e+06
1275,0.00101325,0.8,0,0,-2.522810e+06
1300,0.00101325,0.8,0,0,-2.485370e+06
1325,0.00101325,0.8,0,0,-2.447810e+06
1350,0.00101325,0.8,0,0,-2.410120e+06
1375,0.00101325,0.8,0,0,-2.372280e+06
1400,0.00101325,0.8,0,0,-2.334290e+06
1425,0.00101325,0.8,0,0,-2.296130e+06
1450,0.00101325,0.8,0,0,-2.257780e+06
1475,0.00101325,0.8,0,0,-2.219220e+06
1500,0.00101325,0.8,0,0,-2.180400e+06
1525,0.00101325,0.8,0,0,-2.141300e+06
1550,0.00101325,0.8,0,0,-2.101850e+06
1575,0.00101325,0.8,0,0,-2.062000e+06
1600,0.00101325,0.8,0,0,-2.021680e+06
1625,0.00101325,0.8,0,0,-1.980790e+06
1650,0.00101325,0.8,0,0,-1.939230e+06
1675,0.00101325,0.8,0,0,-1.896880e+06
1700,0.00101325,0.8,0,0,-1.853600e+06
1725,0.00101325,0.8,0,0,-1.809230e+06
1750,0.00101325,0.8,0,0,-1.763560e+06
1775,0.00101325,0.8,0,0,-1.716400e+06
1800,0.00101325,0.8,0,0,-1.667500e+06
1825,0.00101325,0.8,0,0,-1.616570e+06
1850,0.00101325,0.8,0,0,-1.563330e+06
1875,0.00101325,0.8,0,0,-1.507430e+06
1900,0.00101325,0.8,0,0,-1.448490e+06
