Tw_K,P_bar,O2_C2H2,f_air,Bg,hw_Jkg
300,0.00101325,1,0,0,-1.086170e+07
325,0.00101325,1,0,0,-1.077790e+07
350,0.00101325,1,0,0,-1.068300e+07
375,0.00101325,1,0,0,-1.057780e+07
400,0.00101325,1,0,0,-1.046140e+07
425,0.00101325,1,0,0,-1.033080e+07
450,0.00101325,1,0,0,-1.018130e+07
475,0.00101325,1,0,0,-1.000720e+07
500,0.00101325,1,0,0,-9.803130e+06
525,0.00101325,1,0,0,-9.566940e+06
550,0.00101325,1,0,0,-9.300240e+06
575,0.00101325,1,0,0,-9.005620e+06
600,0.00101325,1,0,0,-8.678480e+06
625,0.00101325,1,0,0,-8.298270e+06
650,0.00101325,1,0,0,-7.826050e+06
675,0.00101325,1,0,0,-7.214520e+06
700,0.00101325,1,0,0,-6.437060e+06
725,0.00101325,1,0,0,-5.535780e+06
750,0.00101325,1,0,0,-4.650410e+06
775,0.00101325,1,0,0,-3.947600e+06
800,0.00101325,1,0,0,-3.489630e+06
825,0.00101325,1,0,0,-3.223180e+06
850,0.00101325,1,0,0,-3.068930e+06
875,0.00101325,1,0,0,-2.971980e+06
900,0.00101325,1,0,0,-2.902930e+06
925,0.00101325,1,0,0,-2.847410e+06
950,0.00101325,1,0,0,-2.798540e+06
975,0.00101325,1,0,0,-2.752980e+06
1000,0.00101325,1,0,0,-2.709100e+06
1025,0.00101325,1,0,0,-2.666050e+06
1050,0.00101325,1,0,0,-2.623400e+06
1075,0.00101325,1,0,0,-2.580910e+06
1100,0.00101325,1,0,0,-2.538460e+06
1125,0.00101325,1,0,0,-2.495980e+06
1150,0.00101325,1,0,0,-2.453410e+06
1175,0.00101325,1,0,0,-2.410740e+06
1200,0.00101325,1,0,0,-2.367950e+06
1225,0.00101325,1,0,0,-2.325030e+06
1250,0.00101325,1,0,0,-2.281970e+06
1275,0.00101325,1,0,0,-2.238780e+06
1300,0.00101325,1,0,0,-2.195430e+06
1325,0.00101325,1,0,0,-2.151930e+06
1350,0.00101325,1,0,0,-2.108250e+06
1375,0.00101325,1,0,0,-2.064400e+06
1400,0.00101325,1,0,0,-2.020340e+06
1425,0.00101325,1,0,0,-1.976050e+06
1450,0.00101325,1,0,0,-1.931500e+06
1475,0.00101325,1,0,0,-1.886650e+06
1500,0.00101325,1,0,0,-1.841460e+06
1525,0.00101325,1,0,0,-1.795840e+06
1550,0.00101325,1,0,0,-1.749740e+06
1575,0.00101325,1,0,0,-1.703060e+06
1600,0.00101325,1,0,0,-1.655680e+06
1625,0.00101325,1,0,0,-1.607480e+06
1650,0.00101325,1,0,0,-1.558290e+06
1675,0.00101325,1,0,0,-1.507940e+06
1700,0.00101325,1,0,0,-1.456210e+06
1725,0.00101325,1,0,0,-1.402840e+06
1750,0.00101325,1,0,0,-1.347570e+06
1775,0.00101325,1,0,0,-1.290060e+06
1800,0.00101325,1,0,0,-1.229940e+06
1825,0.00101325,1,0,0,-1.166800e+06
1850,0.00101325,1,0,0,-1.100180e+06
1875,0.00101325,1,0,0,-1.029550e+06
1900,0.00101325,1,0,0,-9.543380e+05
1925,0.00101325,1,0,0,-8.739240e+05
1950,0.00101325,1,0,0,-7.876170e+05
1975,0.00101325,1,0,0,-6.946740e+05
2000,0.00101325,1,0,0,-5.942970e+05
2025,0.00101325,1,0,0,-4.856380e+05
2050,0.00101325,1,0,0,-3.678000e+05
2075,0.00101325,1,0,0,-2.398530e+05
2100,0.00101325,1,0,0,-1.008370e+05
2125,0.00101325,1,0,0,5.021650e+04
2150,0.00101325,1,0,0,2.142710e+05
2175,0.00101325,1,0,0,3.922570e+05
2200,0.00101325,1,0,0,5.850450e+05
2225,0.00101325,1,0,0,7.934130e+05
2250,0.00101325,1,0,0,1.018010e+06
2275,0.00101325,1,0,0,1.259290e+06
2300,0.00101325,1,0,0,1.517520e+06
2325,0.00101325,1,0,0,1.792660e+06
2350,0.00101325,1,0,0,2.084370e+06
2375,0.00101325,1,0,0,2.391960e+06
2400,0.00101325,1,0,0,2.714360e+06
2425,0.00101325,1,0,0,3.050120e+06
2450,0.00101325,1,0,0,3.397470e+06
2475,0.00101325,1,0,0,3.754390e+06
2500,0.00101325,1,0,0,4.118720e+06
2525,0.00101325,1,0,0,4.488380e+06
2550,0.00101325,1,0,0,4.861660e+06
2575,0.00101325,1,0,0,5.237470e+06
2600,0.00101325,1,0,0,5.615800e+06
2625,0.00101325,1,0,0,5.998080e+06
2650,0.00101325,1,0,0,6.387650e+06
2675,0.00101325,1,0,0,6.790260e+06
2700,0.00101325,1,0,0,7.214490e+06
2725,0.00101325,1,0,0,7.672250e+06
2750,0.00101325,1,0,0,8.179120e+06
2775,0.00101325,1,0,0,8.754680e+06
2800,0.00101325,1,0,0,9.422490e+06
2825,0.00101325,1,0,0,1.020970e+07
2850,0.00101325,1,0,0,1.114580e+07
2875,0.00101325,1,0,0,1.226100e+07
2900,0.00101325,1,0,0,1.358230e+07
2925,0.00101325,1,0,0,1.512960e+07
2950,0.00101325,1,0,0,1.691000e+07
2975,0.00101325,1,0,0,1.891290e+07
3000,0.00101325,1,0,0,2.110650e+07
3025,0.00101325,1,0,0,2.343800e+07
3050,0.00101325,1,0,0,2.583710e+07
3075,0.00101325,1,0,0,2.822540e+07
3100,0.00101325,1,0,0,2.965530e+07
3125,0.00101325,1,0,0,3.003210e+07
3150,0.00101325,1,0,0,3.044910e+07
3175,0.00101325,1,0,0,3.091130e+07
3200,0.00101325,1,0,0,3.142400e+07
3225,0.00101325,1,0,0,3.199280e+07
3250,0.00101325,1,0,0,3.262400e+07
3275,0.00101325,1,0,0,3.332410e+07
3300,0.00101325,1,0,0,3.410000e+07
3325,0.00101325,1,0,0,3.495860e+07
3350,0.00101325,1,0,0,3.590660e+07
3375,0.00101325,1,0,0,3.695010e+07
3400,0.00101325,1,0,0,3.809400e+07
3425,0.00101325,1,0,0,3.934110e+07
3450,0.00101325,1,0,0,4.069110e+07
3475,0.00101325,1,0,0,4.213990e+07
3500,0.00101325,1,0,0,4.367820e+07
3525,0.00101325,1,0,0,4.529080e+07
3550,0.00101325,1,0,0,4.695640e+07
3575,0.00101325,1,0,0,4.864810e+07
3600,0.00101325,1,0,0,5.033480e+07
3625,0.00101325,1,0,0,5.198410e+07
3650,0.00101325,1,0,0,5.356470e+07
3675,0.00101325,1,0,0,5.505000e+07
3700,0.00101325,1,0,0,5.641970e+07
3725,0.00101325,1,0,0,5.766140e+07
3750,0.00101325,1,0,0,5.877080e+07
3775,0.00101325,1,0,0,5.974970e+07
3800,0.00101325,1,0,0,6.060540e+07
3825,0.00101325,1,0,0,6.134830e+07
3850,0.00101325,1,0,0,6.199050e+07
3875,0.00101325,1,0,0,6.254460e+07
3900,0.00101325,1,0,0,6.302250e+07
3925,0.00101325,1,0,0,6.343560e+07
3950,0.00101325,1,0,0,6.379370e+07
3975,0.00101325,1,0,0,6.410540e+07
4000,0.00101325,1,0,0,6.437820e+07
4025,0.00101325,1,0,0,6.461820e+07
4050,0.00101325,1,0,0,6.483080e+07
4075,0.00101325,1,0,0,6.502020e+07
4100,0.00101325,1,0,0,6.519010e+07
4125,0.00101325,1,0,0,6.534360e+07
4150,0.00101325,1,0,0,6.548310e+07
4175,0.00101325,1,0,0,6.561080e+07
4200,0.00101325,1,0,0,6.572830e+07
4225,0.00101325,1,0,0,6.583720e+07
4250,0.00101325,1,0,0,6.593860e+07
4275,0.00101325,1,0,0,6.603360e+07
4300,0.00101325,1,0,0,6.612310e+07
4325,0.00101325,1,0,0,6.620770e+07
4350,0.00101325,1,0,0,6.628820e+07
4375,0.00101325,1,0,0,6.636510e+07
4400,0.00101325,1,0,0,6.643880e+07
4425,0.00101325,1,0,0,6.650970e+07
4450,0.00101325,1,0,0,6.657810e+07
4475,0.00101325,1,0,0,6.664440e+07
4500,0.00101325,1,0,0,6.670890e+07
4525,0.00101325,1,0,0,6.677160e+07
4550,0.00101325,1,0,0,6.683290e+07
4575,0.00101325,1,0,0,6.689290e+07
4600,0.00101325,1,0,0,6.695170e+07
4625,0.00101325,1,0,0,6.700960e+07
4650,0.00101325,1,0,0,6.706650e+07
4675,0.00101325,1,0,0,6.712270e+07
4700,0.00101325,1,0,0,6.717810e+07
4725,0.00101325,1,0,0,6.723300e+07
4750,0.00101325,1,0,0,6.728740e+07
4775,0.00101325,1,0,0,6.734130e+07
4800,0.00101325,1,0,0,6.739480e+07
4825,0.00101325,1,0,0,6.744800e+07
4850,0.00101325,1,0,0,6.750090e+07
4875,0.00101325,1,0,0,6.755360e+07
4900,0.00101325,1,0,0,6.760620e+07
4925,0.00101325,1,0,0,6.765860e+07
4950,0.00101325,1,0,0,6.771100e+07
4975,0.00101325,1,0,0,6.776330e+07
5000,0.00101325,1,0,0,6.781550e+07
