edge,O2_C2H2,f_air,P_atm,T_K,Bc_ss,Bg_ss,hw_ss_MJkg,Bc_Bg0,recession_over_mdote_m3_per_kg
air,,1,0.01,300,2.195073e-02,8.780293e-02,-3.070014e+00,8.742740e-02,7.592782e-05
air,,1,0.01,325,2.203676e-02,8.814702e-02,-3.044136e+00,8.742740e-02,7.622537e-05
air,,1,0.01,350,2.214900e-02,8.859600e-02,-3.018143e+00,8.742740e-02,7.661363e-05
air,,1,0.01,375,2.229011e-02,8.916044e-02,-2.991936e+00,8.742740e-02,7.710173e-05
air,,1,0.01,400,2.246433e-02,8.985733e-02,-2.965284e+00,8.742760e-02,7.770436e-05
air,,1,0.01,425,2.267873e-02,9.071491e-02,-2.937796e+00,8.742840e-02,7.844596e-05
air,,1,0.01,450,2.294362e-02,9.177449e-02,-2.908899e+00,8.743120e-02,7.936223e-05
air,,1,0.01,475,2.327195e-02,9.308779e-02,-2.877812e+00,8.744030e-02,8.049791e-05
air,,1,0.01,500,2.367797e-02,9.471189e-02,-2.843630e+00,8.746620e-02,8.190236e-05
air,,1,0.01,525,2.417619e-02,9.670476e-02,-2.805437e+00,8.753210e-02,8.362570e-05
air,,1,0.01,550,2.478200e-02,9.912800e-02,-2.762428e+00,8.768580e-02,8.572121e-05
air,,1,0.01,575,2.555261e-02,1.022104e-01,-2.714044e+00,8.801610e-02,8.838674e-05
air,,1,0.01,600,2.644171e-02,1.057668e-01,-2.658263e+00,8.867750e-02,9.146215e-05
air,,1,0.01,625,2.758122e-02,1.103249e-01,-2.593878e+00,8.991850e-02,9.540373e-05
air,,1,0.01,650,2.907187e-02,1.162875e-01,-2.516321e+00,9.210920e-02,1.005599e-04
air,,1,0.01,675,3.111398e-02,1.244559e-01,-2.418854e+00,9.575030e-02,1.076236e-04
air,,1,0.01,700,3.398549e-02,1.359420e-01,-2.292719e+00,1.014280e-01,1.175562e-04
air,,1,0.01,725,3.799944e-02,1.519978e-01,-2.129348e+00,1.096580e-01,1.314405e-04
air,,1,0.01,750,4.337469e-02,1.734988e-01,-1.924671e+00,1.205450e-01,1.500335e-04
air,,1,0.01,775,4.994217e-02,1.997687e-01,-1.690031e+00,1.333250e-01,1.727505e-04
air,,1,0.01,800,5.695107e-02,2.278043e-01,-1.450970e+00,1.461720e-01,1.969944e-04
air,,1,0.01,825,6.321205e-02,2.528482e-01,-1.242125e+00,1.569380e-01,2.186512e-04
air,,1,0.01,850,6.787259e-02,2.714904e-01,-1.081934e+00,1.644860e-01,2.347720e-04
air,,1,0.01,875,7.086480e-02,2.834592e-01,-9.682462e-01,1.690950e-01,2.451221e-04
air,,1,0.01,900,7.261950e-02,2.904780e-01,-8.872183e-01,1.716880e-01,2.511916e-04
air,,1,0.01,925,7.360752e-02,2.944301e-01,-8.258052e-01,1.730970e-01,2.546092e-04
air,,1,0.01,950,7.415943e-02,2.966377e-01,-7.753286e-01,1.738600e-01,2.565183e-04
air,,1,0.01,975,7.447073e-02,2.978829e-01,-7.307790e-01,1.742790e-01,2.575950e-04
air,,1,0.01,1000,7.464961e-02,2.985984e-01,-6.894184e-01,1.745130e-01,2.582138e-04
air,,1,0.01,1025,7.475470e-02,2.990188e-01,-6.497725e-01,1.746470e-01,2.585773e-04
air,,1,0.01,1050,7.481795e-02,2.992718e-01,-6.110451e-01,1.747250e-01,2.587961e-04
air,,1,0.01,1075,7.485708e-02,2.994283e-01,-5.727919e-01,1.747720e-01,2.589314e-04
air,,1,0.01,1100,7.488196e-02,2.995278e-01,-5.347656e-01,1.748010e-01,2.590175e-04
air,,1,0.01,1125,7.489839e-02,2.995936e-01,-4.968220e-01,1.748190e-01,2.590743e-04
air,,1,0.01,1150,7.490979e-02,2.996392e-01,-4.588783e-01,1.748310e-01,2.591138e-04
air,,1,0.01,1175,7.491819e-02,2.996728e-01,-4.208839e-01,1.748380e-01,2.591428e-04
air,,1,0.01,1200,7.492489e-02,2.996996e-01,-3.828069e-01,1.748430e-01,2.591660e-04
air,,1,0.01,1225,7.493083e-02,2.997233e-01,-3.446277e-01,1.748470e-01,2.591865e-04
air,,1,0.01,1250,7.493651e-02,2.997461e-01,-3.063336e-01,1.748490e-01,2.592062e-04
air,,1,0.01,1275,7.494244e-02,2.997698e-01,-2.679146e-01,1.748510e-01,2.592267e-04
air,,1,0.01,1300,7.494896e-02,2.997959e-01,-2.293623e-01,1.748520e-01,2.592493e-04
air,,1,0.01,1325,7.495634e-02,2.998254e-01,-1.906704e-01,1.748520e-01,2.592748e-04
air,,1,0.01,1350,7.496492e-02,2.998597e-01,-1.518303e-01,1.748530e-01,2.593045e-04
air,,1,0.01,1375,7.497495e-02,2.998998e-01,-1.128360e-01,1.748530e-01,2.593392e-04
air,,1,0.01,1400,7.498669e-02,2.999467e-01,-7.367764e-02,1.748540e-01,2.593798e-04
air,,1,0.01,1425,7.500041e-02,3.000016e-01,-3.434390e-02,1.748540e-01,2.594272e-04
air,,1,0.01,1450,7.501644e-02,3.000658e-01,5.177837e-03,1.748540e-01,2.594827e-04
air,,1,0.01,1475,7.503510e-02,3.001404e-01,4.490291e-02,1.748540e-01,2.595472e-04
air,,1,0.01,1500,7.505671e-02,3.002268e-01,8.484973e-02,1.748540e-01,2.596220e-04
air,,1,0.01,1525,7.508163e-02,3.003265e-01,1.250401e-01,1.748540e-01,2.597082e-04
air,,1,0.01,1550,7.511024e-02,3.004410e-01,1.654995e-01,1.748550e-01,2.598071e-04
air,,1,0.01,1575,7.514294e-02,3.005718e-01,2.062597e-01,1.748550e-01,2.599203e-04
air,,1,0.01,1600,7.518017e-02,3.007207e-01,2.473538e-01,1.748550e-01,2.600490e-04
air,,1,0.01,1625,7.522241e-02,3.008897e-01,2.888257e-01,1.748550e-01,2.601951e-04
air,,1,0.01,1650,7.527011e-02,3.010804e-01,3.307220e-01,1.748550e-01,2.603601e-04
air,,1,0.01,1675,7.532375e-02,3.012950e-01,3.730975e-01,1.748550e-01,2.605457e-04
air,,1,0.01,1700,7.538390e-02,3.015356e-01,4.160163e-01,1.748550e-01,2.607537e-04
air,,1,0.01,1725,7.545115e-02,3.018046e-01,4.595491e-01,1.748550e-01,2.609863e-04
air,,1,0.01,1750,7.552603e-02,3.021041e-01,5.037797e-01,1.748550e-01,2.612453e-04
air,,1,0.01,1775,7.560917e-02,3.024367e-01,5.487987e-01,1.748550e-01,2.615329e-04
air,,1,0.01,1800,7.570121e-02,3.028048e-01,5.947114e-01,1.748550e-01,2.618513e-04
air,,1,0.01,1825,7.580279e-02,3.032111e-01,6.416341e-01,1.748550e-01,2.622027e-04
air,,1,0.01,1850,7.591463e-02,3.036585e-01,6.896970e-01,1.748550e-01,2.625895e-04
air,,1,0.01,1875,7.603742e-02,3.041497e-01,7.390442e-01,1.748550e-01,2.630143e-04
air,,1,0.01,1900,7.617190e-02,3.046876e-01,7.898362e-01,1.748550e-01,2.634794e-04
air,,1,0.01,1925,7.631875e-02,3.052750e-01,8.422491e-01,1.748560e-01,2.639874e-04
air,,1,0.01,1950,7.647878e-02,3.059151e-01,8.964751e-01,1.748560e-01,2.645409e-04
air,,1,0.01,1975,7.665275e-02,3.066110e-01,9.527257e-01,1.748570e-01,2.651427e-04
air,,1,0.01,2000,7.684140e-02,3.073656e-01,1.011227e+00,1.748570e-01,2.657952e-04
air,,1,0.01,2025,7.704550e-02,3.081820e-01,1.072239e+00,1.748580e-01,2.665012e-04
air,,1,0.01,2050,7.726583e-02,3.090633e-01,1.136011e+00,1.748600e-01,2.672633e-04
air,,1,0.01,2075,7.750314e-02,3.100126e-01,1.202844e+00,1.748610e-01,2.680842e-04
