Tw_K,P_bar,M[kg/mol],Cp[J/kg-K],h[J/kg],gamma[-],rho[kg/m3],mu[Pa-s]
200,0.00101325,2.993220e-02,1.164650e+03,-5.381830e+06,1.313210e+00,1.823860e-03,8.974100e-06
225,0.00101325,2.993220e-02,1.202770e+03,-5.352250e+06,1.300300e+00,1.621210e-03,9.952920e-06
250,0.00101325,2.993220e-02,1.245850e+03,-5.321650e+06,1.286940e+00,1.459090e-03,1.092180e-05
275,0.00101325,2.993220e-02,1.294000e+03,-5.289910e+06,1.273350e+00,1.326440e-03,1.188010e-05
300,0.00101325,2.993210e-02,1.347320e+03,-5.256910e+06,1.259790e+00,1.215900e-03,1.282710e-05
325,0.00101325,2.993130e-02,1.409940e+03,-5.222470e+06,1.245810e+00,1.122340e-03,1.380860e-05
350,0.00101325,2.992700e-02,1.501300e+03,-5.186180e+06,1.229220e+00,1.042020e-03,1.478660e-05
375,0.00101325,2.990920e-02,1.683600e+03,-5.146680e+06,1.205370e+00,9.719750e-04,1.576270e-05
400,0.00101325,2.984780e-02,2.115350e+03,-5.099970e+06,1.171430e+00,9.093560e-04,1.674370e-05
425,0.00101325,2.966880e-02,3.127100e+03,-5.036140e+06,1.136470e+00,8.507330e-04,1.774640e-05
450,0.00101325,2.922420e-02,5.253530e+03,-4.934340e+06,1.116830e+00,7.914310e-04,1.880550e-05
475,0.00101325,2.830060e-02,8.949030e+03,-4.760080e+06,1.118850e+00,7.260780e-04,1.996960e-05
500,0.00101325,2.678060e-02,1.336420e+04,-4.479920e+06,1.135240e+00,6.527290e-04,2.125780e-05
525,0.00101325,2.497240e-02,1.487700e+04,-4.116180e+06,1.146210e+00,5.796730e-04,2.253860e-05
550,0.00101325,2.353610e-02,1.128570e+04,-3.781270e+06,1.141370e+00,5.214990e-04,2.369380e-05
575,0.00101325,2.274850e-02,6.806770e+03,-3.558520e+06,1.140360e+00,4.821340e-04,2.467770e-05
600,0.00101325,2.237970e-02,4.598940e+03,-3.420810e+06,1.150170e+00,4.545530e-04,2.555080e-05
625,0.00101325,2.216410e-02,4.150200e+03,-3.313940e+06,1.153140e+00,4.321680e-04,2.634340e-05
650,0.00101325,2.196740e-02,4.523470e+03,-3.206620e+06,1.148160e+00,4.118570e-04,2.710100e-05
675,0.00101325,2.173450e-02,5.281730e+03,-3.084620e+06,1.143070e+00,3.923990e-04,2.783080e-05
700,0.00101325,2.144310e-02,6.248530e+03,-2.940810e+06,1.140960e+00,3.733120e-04,2.853410e-05
725,0.00101325,2.108610e-02,7.318660e+03,-2.771330e+06,1.141960e+00,3.544380e-04,2.921090e-05
750,0.00101325,2.066670e-02,8.385960e+03,-2.574890e+06,1.145360e+00,3.358080e-04,2.986140e-05
775,0.00101325,2.019780e-02,9.324550e+03,-2.353100e+06,1.150130e+00,3.176030e-04,3.048710e-05
800,0.00101325,1.970050e-02,9.999390e+03,-2.110870e+06,1.155220e+00,3.001030e-04,3.109110e-05
825,0.00101325,1.920090e-02,1.029820e+04,-1.856280e+06,1.159720e+00,2.836290e-04,3.167840e-05
850,0.00101325,1.872530e-02,1.017130e+04,-1.599530e+06,1.163120e+00,2.684680e-04,3.225560e-05
875,0.00101325,1.829530e-02,9.657190e+03,-1.350970e+06,1.165370e+00,2.548090e-04,3.282940e-05
900,0.00101325,1.792420e-02,8.872150e+03,-1.118940e+06,1.166900e+00,2.427050e-04,3.340550e-05
925,0.00101325,1.761600e-02,7.970510e+03,-9.083280e+05,1.168200e+00,2.320850e-04,3.398790e-05
