Tw_K,P_atm,hg_kJkg
200,0.001,-5.381830e+03
225,0.001,-5.352250e+03
250,0.001,-5.321650e+03
275,0.001,-5.289910e+03
300,0.001,-5.256910e+03
325,0.001,-5.222470e+03
350,0.001,-5.186180e+03
375,0.001,-5.146680e+03
400,0.001,-5.099970e+03
425,0.001,-5.036140e+03
450,0.001,-4.934340e+03
475,0.001,-4.760080e+03
500,0.001,-4.479920e+03
525,0.001,-4.116180e+03
550,0.001,-3.781270e+03
575,0.001,-3.558520e+03
600,0.001,-3.420810e+03
625,0.001,-3.313940e+03
650,0.001,-3.206620e+03
675,0.001,-3.084620e+03
700,0.001,-2.940810e+03
725,0.001,-2.771330e+03
750,0.001,-2.574890e+03
775,0.001,-2.353100e+03
800,0.001,-2.110870e+03
825,0.001,-1.856280e+03
850,0.001,-1.599530e+03
875,0.001,-1.350970e+03
900,0.001,-1.118940e+03
925,0.001,-9.083280e+02
950,0.001,-7.201570e+02
975,0.001,-5.521910e+02
1000,0.001,-3.998060e+02
1025,0.001,-2.566480e+02
1050,0.001,-1.147490e+02
1075,0.001,3.590010e+01
1100,0.001,2.082650e+02
1125,0.001,4.195020e+02
1150,0.001,6.919950e+02
1175,0.001,1.052260e+03
1200,0.001,1.521860e+03
1225,0.001,2.088410e+03
1250,0.001,2.661290e+03
1275,0.001,3.101730e+03
1300,0.001,3.366530e+03
1325,0.001,3.519490e+03
1350,0.001,3.623410e+03
1375,0.001,3.708670e+03
1400,0.001,3.787050e+03
1425,0.001,3.862910e+03
1450,0.001,3.937970e+03
1475,0.001,4.012950e+03
1500,0.001,4.088230e+03
1525,0.001,4.164060e+03
1550,0.001,4.240630e+03
1575,0.001,4.318150e+03
1600,0.001,4.396830e+03
1625,0.001,4.476910e+03
1650,0.001,4.558670e+03
1675,0.001,4.642450e+03
1700,0.001,4.728590e+03
1725,0.001,4.817550e+03
1750,0.001,4.909810e+03
1775,0.001,5.005950e+03
1800,0.001,5.106620e+03
1825,0.001,5.212560e+03
1850,0.001,5.324610e+03
1875,0.001,5.443730e+03
1900,0.001,5.570990e+03
1925,0.001,5.707620e+03
1950,0.001,5.854980e+03
1975,0.001,6.014600e+03
2000,0.001,6.188230e+03
2025,0.001,6.377800e+03
2050,0.001,6.585540e+03
2075,0.001,6.813940e+03
2100,0.001,7.065860e+03
2125,0.001,7.344560e+03
2150,0.001,7.653790e+03
2175,0.001,7.997910e+03
2200,0.001,8.381920e+03
2225,0.001,8.811600e+03
2250,0.001,9.293510e+03
2275,0.001,9.834950e+03
2300,0.001,1.044370e+04
2325,0.001,1.112770e+04
2350,0.001,1.189400e+04
2375,0.001,1.274800e+04
2400,0.001,1.369220e+04
2425,0.001,1.472480e+04
2450,0.001,1.583960e+04
2475,0.001,1.702520e+04
2500,0.001,1.826630e+04
2525,0.001,1.954450e+04
2550,0.001,2.083990e+04
2575,0.001,2.213300e+04
2600,0.001,2.340540e+04
2625,0.001,2.464130e+04
2650,0.001,2.582790e+04
2675,0.001,2.695560e+04
2700,0.001,2.801800e+04
2725,0.001,2.901200e+04
2750,0.001,2.993720e+04
2775,0.001,3.079560e+04
2800,0.001,3.159130e+04
2825,0.001,3.232960e+04
2850,0.001,3.301730e+04
2875,0.001,3.366150e+04
2900,0.001,3.426980e+04
2925,0.001,3.484970e+04
2950,0.001,3.540860e+04
2975,0.001,3.595360e+04
3000,0.001,3.649120e+04
3025,0.001,3.702750e+04
3050,0.001,3.756780e+04
3075,0.001,3.811680e+04
3100,0.001,3.867830e+04
3125,0.001,3.925520e+04
3150,0.001,3.984960e+04
3175,0.001,4.046200e+04
3200,0.001,4.109200e+04
3225,0.001,4.173760e+04
3250,0.001,4.239540e+04
3275,0.001,4.306020e+04
3300,0.001,4.372570e+04
3325,0.001,4.438420e+04
3350,0.001,4.502720e+04
3375,0.001,4.564610e+04
3400,0.001,4.623290e+04
3425,0.001,4.678080e+04
3450,0.001,4.728490e+04
3475,0.001,4.774280e+04
3500,0.001,4.815400e+04
3525,0.001,4.852040e+04
3550,0.001,4.884540e+04
3575,0.001,4.913320e+04
3600,0.001,4.938840e+04
3625,0.001,4.961590e+04
3650,0.001,4.981980e+04
3675,0.001,5.000420e+04
3700,0.001,5.017240e+04
3725,0.001,5.032730e+04
3750,0.001,5.047130e+04
3775,0.001,5.060630e+04
3800,0.001,5.073400e+04
3825,0.001,5.085560e+04
3850,0.001,5.097220e+04
3875,0.001,5.108480e+04
3900,0.001,5.119410e+04
3925,0.001,5.130070e+04
3950,0.001,5.140520e+04
3975,0.001,5.150800e+04
4000,0.001,5.160950e+04
200,0.00177828,-5.381830e+03
225,0.00177828,-5.352250e+03
250,0.00177828,-5.321650e+03
275,0.00177828,-5.289910e+03
300,0.00177828,-5.256910e+03
325,0.00177828,-5.222510e+03
350,0.00177828,-5.186370e+03
375,0.00177828,-5.147500e+03
400,0.00177828,-5.103000e+03
425,0.00177828,-5.045580e+03
450,0.00177828,-4.959720e+03
475,0.00177828,-4.818130e+03
500,0.00177828,-4.587240e+03
525,0.00177828,-4.260260e+03
550,0.00177828,-3.907900e+03
575,0.00177828,-3.635160e+03
600,0.00177828,-3.462640e+03
625,0.00177828,-3.344270e+03
650,0.00177828,-3.239670e+03
675,0.00177828,-3.128410e+03
700,0.00177828,-3.000810e+03
725,0.00177828,-2.851770e+03
750,0.00177828,-2.678680e+03
775,0.00177828,-2.481190e+03
800,0.00177828,-2.261480e+03
825,0.00177828,-2.024500e+03
850,0.00177828,-1.777680e+03
875,0.00177828,-1.529910e+03
900,0.00177828,-1.289970e+03
925,0.00177828,-1.064860e+03
950,0.00177828,-8.586460e+02
975,0.00177828,-6.721890e+02
1000,0.00177828,-5.034890e+02
1025,0.00177828,-3.483190e+02
1050,0.00177828,-2.006750e+02
1075,0.00177828,-5.282550e+01
1100,0.00177828,1.050670e+02
1125,0.00177828,2.857220e+02
1150,0.00177828,5.057430e+02
1175,0.00177828,7.862440e+02
1200,0.00177828,1.151190e+03
1225,0.00177828,1.618020e+03
1250,0.00177828,2.170980e+03
1275,0.00177828,2.724880e+03
1300,0.00177828,3.155680e+03
1325,0.00177828,3.422810e+03
1350,0.00177828,3.581180e+03
1375,0.00177828,3.689160e+03
1400,0.00177828,3.776930e+03
1425,0.00177828,3.856850e+03
1450,0.00177828,3.933720e+03
1475,0.00177828,4.009500e+03
1500,0.00177828,4.085020e+03
1525,0.00177828,4.160720e+03
1550,0.00177828,4.236880e+03
1575,0.00177828,4.313690e+03
1600,0.00177828,4.391360e+03
1625,0.00177828,4.470080e+03
1650,0.00177828,4.550080e+03
1675,0.00177828,4.631620e+03
1700,0.00177828,4.714970e+03
1725,0.00177828,4.800460e+03
1750,0.00177828,4.888460e+03
1775,0.00177828,4.979410e+03
1800,0.00177828,5.073800e+03
1825,0.00177828,5.172170e+03
1850,0.00177828,5.275160e+03
1875,0.00177828,5.383490e+03
1900,0.00177828,5.497950e+03
1925,0.00177828,5.619440e+03
1950,0.00177828,5.748980e+03
1975,0.00177828,5.887690e+03
2000,0.00177828,6.036850e+03
2025,0.00177828,6.197880e+03
2050,0.00177828,6.372360e+03
2075,0.00177828,6.562070e+03
2100,0.00177828,6.769040e+03
2125,0.00177828,6.995510e+03
2150,0.00177828,7.244050e+03
2175,0.00177828,7.517610e+03
2200,0.00177828,7.819510e+03
2225,0.00177828,8.153600e+03
2250,0.00177828,8.524270e+03
2275,0.00177828,8.936530e+03
2300,0.00177828,9.396010e+03
2325,0.00177828,9.908970e+03
2350,0.00177828,1.048200e+04
2375,0.00177828,1.112190e+04
2400,0.00177828,1.183470e+04
2425,0.00177828,1.262540e+04
2450,0.00177828,1.349670e+04
2475,0.00177828,1.444830e+04
2500,0.00177828,1.547630e+04
2525,0.00177828,1.657290e+04
2550,0.00177828,1.772640e+04
2575,0.00177828,1.892280e+04
2600,0.00177828,2.014590e+04
2625,0.00177828,2.137900e+04
2650,0.00177828,2.260610e+04
2675,0.00177828,2.381230e+04
2700,0.00177828,2.498500e+04
2725,0.00177828,2.611390e+04
2750,0.00177828,2.719110e+04
2775,0.00177828,2.821150e+04
2800,0.00177828,2.917250e+04
2825,0.00177828,3.007350e+04
2850,0.00177828,3.091610e+04
2875,0.00177828,3.170340e+04
2900,0.00177828,3.243990e+04
2925,0.00177828,3.313090e+04
2950,0.00177828,3.378250e+04
2975,0.00177828,3.440090e+04
3000,0.00177828,3.499270e+04
3025,0.00177828,3.556430e+04
3050,0.00177828,3.612170e+04
3075,0.00177828,3.667080e+04
3100,0.00177828,3.721680e+04
3125,0.00177828,3.776440e+04
3150,0.00177828,3.831790e+04
3175,0.00177828,3.888070e+04
3200,0.00177828,3.945520e+04
3225,0.00177828,4.004330e+04
3250,0.00177828,4.064570e+04
3275,0.00177828,4.126190e+04
3300,0.00177828,4.189040e+04
3325,0.00177828,4.252830e+04
3350,0.00177828,4.317160e+04
3375,0.00177828,4.381480e+04
3400,0.00177828,4.445190e+04
3425,0.00177828,4.507560e+04
3450,0.00177828,4.567890e+04
3475,0.00177828,4.625480e+04
3500,0.00177828,4.679720e+04
3525,0.00177828,4.730160e+04
3550,0.00177828,4.776480e+04
3575,0.00177828,4.818600e+04
3600,0.00177828,4.856580e+04
3625,0.00177828,4.890620e+04
3650,0.00177828,4.921050e+04
3675,0.00177828,4.948260e+04
3700,0.00177828,4.972620e+04
3725,0.00177828,4.994550e+04
3750,0.00177828,5.014400e+04
3775,0.00177828,5.032510e+04
3800,0.00177828,5.049150e+04
3825,0.00177828,5.064570e+04
3850,0.00177828,5.078980e+04
3875,0.00177828,5.092550e+04
3900,0.00177828,5.105420e+04
3925,0.00177828,5.117720e+04
3950,0.00177828,5.129530e+04
3975,0.00177828,5.140960e+04
4000,0.00177828,5.152050e+04
200,0.00316228,-5.381830e+03
225,0.00316228,-5.352250e+03
250,0.00316228,-5.321650e+03
275,0.00316228,-5.289920e+03
300,0.00316228,-5.256920e+03
325,0.00316228,-5.222530e+03
350,0.00316228,-5.186510e+03
375,0.00316228,-5.148100e+03
400,0.00316228,-5.105200e+03
425,0.00316228,-5.052480e+03
450,0.00316228,-4.978450e+03
475,0.00316228,-4.862110e+03
500,0.00316228,-4.673890e+03
525,0.00316228,-4.393080e+03
550,0.00316228,-4.050410e+03
575,0.00316228,-3.738840e+03
600,0.00316228,-3.521720e+03
625,0.00316228,-3.380230e+03
650,0.00316228,-3.270930e+03
675,0.00316228,-3.165540e+03
700,0.00316228,-3.050260e+03
725,0.00316228,-2.918200e+03
750,0.00316228,-2.765640e+03
775,0.00316228,-2.590900e+03
800,0.00316228,-2.394290e+03
825,0.00316228,-2.178260e+03
850,0.00316228,-1.947530e+03
875,0.00316228,-1.708730e+03
900,0.00316228,-1.469520e+03
925,0.00316228,-1.237330e+03
950,0.00316228,-1.018080e+03
975,0.00316228,-8.152470e+02
1000,0.00316228,-6.296210e+02
1025,0.00316228,-4.594760e+02
1050,0.00316228,-3.009900e+02
1075,0.00316228,-1.485360e+02
1100,0.00316228,5.290290e+00
1125,0.00316228,1.700050e+02
1150,0.00316228,3.578730e+02
1175,0.00316228,5.846750e+02
1200,0.00316228,8.700090e+02
1225,0.00316228,1.235300e+03
1250,0.00316228,1.694750e+03
1275,0.00316228,2.231880e+03
1300,0.00316228,2.769730e+03
1325,0.00316228,3.197190e+03
1350,0.00316228,3.472030e+03
1375,0.00316228,3.639040e+03
1400,0.00316228,3.752800e+03
1425,0.00316228,3.843970e+03
1450,0.00316228,3.925920e+03
1475,0.00316228,4.004080e+03
1500,0.00316228,4.080740e+03
1525,0.00316228,4.156900e+03
1550,0.00316228,4.233090e+03
1575,0.00316228,4.309610e+03
1600,0.00316228,4.386690e+03
1625,0.00316228,4.464520e+03
1650,0.00316228,4.543290e+03
1675,0.00316228,4.623220e+03
1700,0.00316228,4.704520e+03
1725,0.00316228,4.787450e+03
1750,0.00316228,4.872300e+03
1775,0.00316228,4.959390e+03
1800,0.00316228,5.049090e+03
1825,0.00316228,5.141810e+03
1850,0.00316228,5.238040e+03
1875,0.00316228,5.338290e+03
