P_atm,T_K,Bg,Bc,hw_MJkg
0.01,2000,0,1.748570e-01,6.418260e-01
0.01,2000,0.02,1.717290e-01,7.097810e-01
0.01,2000,0.04,1.679070e-01,7.560850e-01
0.01,2000,0.07,1.619640e-01,8.177370e-01
0.01,2000,0.1,1.559040e-01,8.741590e-01
0.01,2000,0.15,1.456700e-01,9.605160e-01
0.01,2000,0.2,1.353350e-01,1.039670e+00
0.01,2000,0.25,1.249360e-01,1.113050e+00
0.01,2000,0.32,1.103030e-01,1.207720e+00
0.01,2000,0.4,9.350560e-02,1.306180e+00
0.01,2000,0.5,7.242920e-02,1.417070e+00
0.01,2000,0.6,5.128840e-02,1.516580e+00
0.01,2000,0.7,3.009880e-02,1.606500e+00
0.01,2000,0.8,8.870480e-03,1.688200e+00
0.01,2000,0.9,0.000000e+00,1.762800e+00
0.01,2000,1,0.000000e+00,1.831200e+00
0.01,2000,1.2,0.000000e+00,1.952320e+00
0.01,2000,1.5,0.000000e+00,2.102910e+00
0.01,2000,1.9,0.000000e+00,2.261480e+00
0.01,2000,2.4,0.000000e+00,2.413140e+00
0.01,2000,3,0.000000e+00,2.549960e+00
0.01,2000,4,0.000000e+00,2.710800e+00
0.01,2000,5.5,0.000000e+00,2.864890e+00
0.01,2000,7.5,0.000000e+00,2.989570e+00
0.01,2000,10,0.000000e+00,3.083740e+00
0.01,3000,0,2.462070e-01,3.665700e+00
0.01,3000,0.02,2.503430e-01,4.269960e+00
0.01,3000,0.04,2.540680e-01,4.825410e+00
0.01,3000,0.07,2.590950e-01,5.588910e+00
0.01,3000,0.1,2.636270e-01,6.287070e+00
0.01,3000,0.15,2.703940e-01,7.339170e+00
0.01,3000,0.2,2.764530e-01,8.282210e+00
0.01,3000,0.25,2.819950e-01,9.138570e+00
0.01,3000,0.32,2.891050e-01,1.021950e+01
0.01,3000,0.4,2.965350e-01,1.131810e+01
0.01,3000,0.5,3.050460e-01,1.252690e+01
0.01,3000,0.6,3.129080e-01,1.358880e+01
0.01,3000,0.7,3.202650e-01,1.453130e+01
0.01,3000,0.8,3.272190e-01,1.537470e+01
0.01,3000,0.9,3.338390e-01,1.613480e+01
0.01,3000,1,3.401780e-01,1.682380e+01
0.01,3000,1.2,3.521670e-01,1.802650e+01
0.01,3000,1.5,3.688130e-01,1.949370e+01
0.01,3000,1.9,3.891970e-01,2.100870e+01
0.01,3000,2.4,4.126220e-01,2.243270e+01
0.01,3000,3,4.386050e-01,2.369980e+01
0.01,3000,4,4.783850e-01,2.517220e+01
0.01,3000,5.5,5.326720e-01,2.657150e+01
0.01,3000,7.5,5.987910e-01,2.770130e+01
0.01,3000,10,6.751730e-01,2.855780e+01
0.01,3400,0,2.000000e+02,3.018200e+01
0.01,3400,0.02,2.000000e+02,3.018410e+01
0.01,3400,0.04,2.000000e+02,3.018630e+01
0.01,3400,0.07,2.000000e+02,3.018940e+01
0.01,3400,0.1,2.000000e+02,3.019260e+01
0.01,3400,0.15,2.000000e+02,3.019790e+01
0.01,3400,0.2,2.000000e+02,3.020320e+01
0.01,3400,0.25,2.000000e+02,3.020850e+01
0.01,3400,0.32,2.000000e+02,3.021590e+01
0.01,3400,0.4,2.000000e+02,3.022440e+01
0.01,3400,0.5,2.000000e+02,3.023490e+01
0.01,3400,0.6,2.000000e+02,3.024540e+01
0.01,3400,0.7,2.000000e+02,3.025590e+01
