P_atm,T_K,Bc_ss,Bg_ss,hw_ss_MJkg,Bc_Bg0,recession_over_mdote_m3_per_kg
0.01,300,7.907851e-02,1.095237e-02,-2.701992e+00,8.742740e-02,6.144407e-05
0.01,325,7.909372e-02,1.095448e-02,-2.676984e+00,8.742740e-02,6.145588e-05
0.01,350,7.911499e-02,1.095743e-02,-2.651754e+00,8.742740e-02,6.147241e-05
0.01,375,7.914494e-02,1.096157e-02,-2.626279e+00,8.742740e-02,6.149568e-05
0.01,400,7.918836e-02,1.096759e-02,-2.600512e+00,8.742760e-02,6.152942e-05
0.01,425,7.925317e-02,1.097656e-02,-2.574353e+00,8.742840e-02,6.157977e-05
0.01,450,7.935144e-02,1.099017e-02,-2.547656e+00,8.743120e-02,6.165613e-05
0.01,475,7.950031e-02,1.101079e-02,-2.520195e+00,8.744030e-02,6.177180e-05
0.01,500,7.972192e-02,1.104149e-02,-2.491651e+00,8.746620e-02,6.194400e-05
0.01,525,8.004516e-02,1.108626e-02,-2.461570e+00,8.753210e-02,6.219515e-05
0.01,550,8.051156e-02,1.115085e-02,-2.429233e+00,8.768580e-02,6.255755e-05
0.01,575,8.118968e-02,1.124477e-02,-2.393438e+00,8.801610e-02,6.308445e-05
0.01,600,8.220227e-02,1.138501e-02,-2.352073e+00,8.867750e-02,6.387123e-05
0.01,625,8.376244e-02,1.160110e-02,-2.301604e+00,8.991850e-02,6.508348e-05
0.01,650,8.620946e-02,1.194001e-02,-2.236555e+00,9.210920e-02,6.698482e-05
0.01,675,9.002339e-02,1.246824e-02,-2.149440e+00,9.575030e-02,6.994824e-05
0.01,700,9.578501e-02,1.326622e-02,-2.031616e+00,1.014280e-01,7.442503e-05
0.01,725,1.040240e-01,1.440733e-02,-1.876001e+00,1.096580e-01,8.082674e-05
0.01,750,1.148845e-01,1.591150e-02,-1.682315e+00,1.205450e-01,8.926533e-05
0.01,775,1.276558e-01,1.768033e-02,-1.463629e+00,1.333250e-01,9.918866e-05
0.01,800,1.405511e-01,1.946633e-02,-1.247608e+00,1.461720e-01,1.092083e-04
0.01,825,1.514159e-01,2.097111e-02,-1.064453e+00,1.569380e-01,1.176503e-04
0.01,850,1.590727e-01,2.203156e-02,-9.285433e-01,1.644860e-01,1.235996e-04
0.01,875,1.637713e-01,2.268232e-02,-8.344469e-01,1.690950e-01,1.272504e-04
0.01,900,1.664285e-01,2.305035e-02,-7.685545e-01,1.716880e-01,1.293151e-04
0.01,925,1.678800e-01,2.325139e-02,-7.190488e-01,1.730970e-01,1.304429e-04
0.01,950,1.686707e-01,2.336089e-02,-6.784158e-01,1.738600e-01,1.310573e-04
0.01,975,1.691066e-01,2.342126e-02,-6.424604e-01,1.742790e-01,1.313959e-04
0.01,1000,1.693518e-01,2.345523e-02,-6.089517e-01,1.745130e-01,1.315865e-04
0.01,1025,1.694931e-01,2.347480e-02,-5.767173e-01,1.746470e-01,1.316963e-04
0.01,1050,1.695766e-01,2.348636e-02,-5.451385e-01,1.747250e-01,1.317612e-04
0.01,1075,1.696270e-01,2.349333e-02,-5.138795e-01,1.747720e-01,1.318003e-04
0.01,1100,1.696584e-01,2.349768e-02,-4.827588e-01,1.748010e-01,1.318247e-04
0.01,1125,1.696791e-01,2.350055e-02,-4.516745e-01,1.748190e-01,1.318408e-04
0.01,1150,1.696920e-01,2.350235e-02,-4.205675e-01,1.748310e-01,1.318508e-04
0.01,1175,1.697019e-01,2.350371e-02,-3.894071e-01,1.748380e-01,1.318585e-04
0.01,1200,1.697089e-01,2.350468e-02,-3.581736e-01,1.748430e-01,1.318639e-04
0.01,1225,1.697149e-01,2.350551e-02,-3.268553e-01,1.748470e-01,1.318686e-04
0.01,1250,1.697201e-01,2.350623e-02,-2.954472e-01,1.748490e-01,1.318726e-04
0.01,1275,1.697251e-01,2.350692e-02,-2.639455e-01,1.748510e-01,1.318765e-04
0.01,1300,1.697303e-01,2.350764e-02,-2.323482e-01,1.748520e-01,1.318806e-04
0.01,1325,1.697364e-01,2.350850e-02,-2.006538e-01,1.748520e-01,1.318854e-04
0.01,1350,1.697428e-01,2.350938e-02,-1.688609e-01,1.748530e-01,1.318903e-04
0.01,1375,1.697501e-01,2.351039e-02,-1.369683e-01,1.748530e-01,1.318959e-04
0.01,1400,1.697592e-01,2.351164e-02,-1.049755e-01,1.748540e-01,1.319030e-04
0.01,1425,1.697696e-01,2.351308e-02,-7.288019e-02,1.748540e-01,1.319111e-04
0.01,1450,1.697811e-01,2.351468e-02,-4.067938e-02,1.748540e-01,1.319200e-04
0.01,1475,1.697947e-01,2.351657e-02,-8.369811e-03,1.748540e-01,1.319306e-04
0.01,1500,1.698103e-01,2.351873e-02,2.405281e-02,1.748540e-01,1.319427e-04
0.01,1525,1.698282e-01,2.352120e-02,5.659387e-02,1.748540e-01,1.319566e-04
0.01,1550,1.698490e-01,2.352408e-02,8.926001e-02,1.748550e-01,1.319728e-04
0.01,1575,1.698728e-01,2.352739e-02,1.220594e-01,1.748550e-01,1.319913e-04
0.01,1600,1.699000e-01,2.353115e-02,1.550015e-01,1.748550e-01,1.320124e-04
0.01,1625,1.699302e-01,2.353533e-02,1.880984e-01,1.748550e-01,1.320359e-04
0.01,1650,1.699637e-01,2.353997e-02,2.213623e-01,1.748550e-01,1.320619e-04
0.01,1675,1.700022e-01,2.354531e-02,2.548094e-01,1.748550e-01,1.320918e-04
0.01,1700,1.700451e-01,2.355125e-02,2.884574e-01,1.748550e-01,1.321252e-04
0.01,1725,1.700921e-01,2.355776e-02,3.223262e-01,1.748550e-01,1.321617e-04
0.01,1750,1.701445e-01,2.356502e-02,3.564396e-01,1.748550e-01,1.322024e-04
0.01,1775,1.702031e-01,2.357313e-02,3.908241e-01,1.748550e-01,1.322479e-04
0.01,1800,1.702669e-01,2.358197e-02,4.255065e-01,1.748550e-01,1.322975e-04
0.01,1825,1.703363e-01,2.359158e-02,4.605213e-01,1.748550e-01,1.323514e-04
0.01,1850,1.704129e-01,2.360219e-02,4.959033e-01,1.748550e-01,1.324110e-04
0.01,1875,1.704968e-01,2.361381e-02,5.316910e-01,1.748550e-01,1.324762e-04
0.01,1900,1.705864e-01,2.362622e-02,5.679274e-01,1.748550e-01,1.325458e-04
0.01,1925,1.706843e-01,2.363978e-02,6.046577e-01,1.748560e-01,1.326219e-04
0.01,1950,1.707898e-01,2.365439e-02,6.419307e-01,1.748560e-01,1.327038e-04
0.01,1975,1.709035e-01,2.367014e-02,6.797991e-01,1.748570e-01,1.327922e-04
0.01,2000,1.710244e-01,2.368688e-02,7.183169e-01,1.748570e-01,1.328861e-04
0.01,2025,1.711538e-01,2.370480e-02,7.575406e-01,1.748580e-01,1.329866e-04
0.01,2050,1.712917e-01,2.372390e-02,7.975283e-01,1.748600e-01,1.330938e-04
0.01,2075,1.714375e-01,2.374410e-02,8.383385e-01,1.748610e-01,1.332071e-04
0.01,2100,1.715912e-01,2.376538e-02,8.800307e-01,1.748640e-01,1.333265e-04
0.01,2125,1.717528e-01,2.378776e-02,9.226607e-01,1.748670e-01,1.334521e-04
0.01,2150,1.719215e-01,2.381113e-02,9.662850e-01,1.748710e-01,1.335832e-04
0.01,2175,1.720982e-01,2.383561e-02,1.010951e+00,1.748760e-01,1.337205e-04
0.01,2200,1.722820e-01,2.386105e-02,1.056704e+00,1.748820e-01,1.338632e-04
0.01,2225,1.724718e-01,2.388734e-02,1.103583e+00,1.748910e-01,1.340107e-04
0.01,2250,1.726671e-01,2.391440e-02,1.151618e+00,1.749010e-01,1.341625e-04
0.01,2275,1.728682e-01,2.394225e-02,1.200826e+00,1.749150e-01,1.343187e-04
0.01,2300,1.730739e-01,2.397073e-02,1.251206e+00,1.749330e-01,1.344785e-04
0.01,2325,1.732828e-01,2.399967e-02,1.302756e+00,1.749550e-01,1.346409e-04
0.01,2350,1.734959e-01,2.402918e-02,1.355458e+00,1.749830e-01,1.348064e-04
0.01,2375,1.737120e-01,2.405912e-02,1.409282e+00,1.750190e-01,1.349744e-04
0.01,2400,1.739323e-01,2.408963e-02,1.464176e+00,1.750640e-01,1.351456e-04
0.01,2425,1.741564e-01,2.412066e-02,1.520107e+00,1.751210e-01,1.353196e-04
0.01,2450,1.743864e-01,2.415251e-02,1.577031e+00,1.751930e-01,1.354984e-04
0.01,2475,1.746239e-01,2.418542e-02,1.634897e+00,1.752830e-01,1.356829e-04
0.01,2500,1.748738e-01,2.422002e-02,1.693693e+00,1.753970e-01,1.358771e-04
0.01,2525,1.751407e-01,2.425699e-02,1.753439e+00,1.755420e-01,1.360845e-04
0.01,2550,1.754323e-01,2.429737e-02,1.814195e+00,1.757240e-01,1.363110e-04
0.01,2575,1.757588e-01,2.434260e-02,1.876120e+00,1.759560e-01,1.365647e-04
0.01,2600,1.761362e-01,2.439487e-02,1.939452e+00,1.762500e-01,1.368580e-04
0.01,2625,1.765813e-01,2.445652e-02,2.004586e+00,1.766250e-01,1.372038e-04
0.01,2650,1.771212e-01,2.453129e-02,2.072067e+00,1.771020e-01,1.376233e-04
0.01,2675,1.777860e-01,2.462337e-02,2.142670e+00,1.777120e-01,1.381399e-04
0.01,2700,1.786194e-01,2.473878e-02,2.217452e+00,1.784920e-01,1.387874e-04
0.01,2725,1.796756e-01,2.488507e-02,2.297809e+00,1.794920e-01,1.396081e-04
0.01,2750,1.810247e-01,2.507192e-02,2.385555e+00,1.807730e-01,1.406563e-04
0.01,2775,1.827568e-01,2.531182e-02,2.483035e+00,1.824180e-01,1.420022e-04
0.01,2800,1.849879e-01,2.562082e-02,2.593256e+00,1.845300e-01,1.437357e-04
