Bg,P_atm,Tw[K],B'c,hw[MJ/kg],C,H,O,N,CH4,CN,CO,CO2,C2,C2H,"C2H2,acetylene",C3,C4,"C4H2,butadiyne",C5,HCN,H2,H2O,N2,CH2OH,CNN,CNC,CNCOCN,C6H6,HNC,C(gr)
0.5,0.001,3.000000e+02,0.000000e+00,-4.978290e+00,1.502170e-114,2.579800e-36,8.625320e-75,1.105920e-78,8.431600e-02,1.740860e-70,1.504890e-10,1.570770e-02,1.271300e-132,2.169160e-92,8.210270e-41,1.855540e-132,6.383070e-170,1.881100e-77,1.502000e-171,6.051740e-24,3.774800e-04,4.225800e-01,4.770180e-01,3.864740e-44,1.632960e-109,4.980000e-112,6.029990e-81,1.215130e-39,2.005420e-34,1.000000e+00
0.5,0.001,3.250000e+02,0.000000e+00,-4.906100e+00,5.992150e-105,3.900440e-33,9.641000e-69,2.373970e-72,9.028550e-02,1.309520e-64,2.558020e-09,2.213940e-02,1.704390e-121,1.513720e-84,3.073330e-37,3.318940e-121,1.006670e-155,6.616250e-71,3.496050e-157,6.645320e-22,1.242170e-03,4.095210e-01,4.768120e-01,6.774290e-41,4.989870e-101,7.460480e-103,6.409900e-75,5.447590e-37,1.460820e-31,1.000000e+00
0.5,0.001,3.500000e+02,0.000000e+00,-4.831630e+00,1.023700e-96,2.092280e-30,1.462010e-63,6.372550e-67,9.590560e-02,1.429920e-59,2.873990e-08,2.895860e-02,5.975630e-112,8.096710e-78,3.586020e-34,1.479450e-111,1.511250e-143,2.750210e-65,7.347610e-145,3.744410e-20,3.486190e-03,3.953730e-01,4.762770e-01,4.050840e-38,9.379860e-94,5.507360e-95,9.330790e-70,1.018650e-34,4.178530e-29,1.000000e+00
0.5,0.001,3.750000e+02,0.000000e+00,-4.755000e+00,1.405130e-89,4.883570e-28,4.502140e-59,3.239740e-62,1.002190e-01,3.330520e-55,2.326660e-07,3.598650e-02,1.133040e-103,5.526680e-72,1.637380e-31,3.432750e-103,5.465930e-133,2.057470e-60,3.565190e-134,1.233200e-18,8.565330e-03,3.801640e-01,4.750650e-01,1.021350e-35,1.892560e-87,3.652520e-88,2.775860e-65,9.337700e-33,5.638120e-27,1.000000e+00
0.5,0.001,4.000000e+02,0.000000e+00,-4.674400e+00,2.484250e-83,5.775530e-26,3.809890e-55,4.257440e-58,1.020260e-01,2.207920e-51,1.448120e-06,4.323810e-02,2.003980e-96,7.050950e-67,3.463760e-29,7.205280e-96,9.560040e-124,3.791220e-56,8.078190e-125,2.614360e-17,1.875580e-02,3.633450e-01,4.726340e-01,1.269440e-33,6.218740e-82,3.414040e-82,2.277390e-61,4.710500e-31,4.113130e-25,1.000000e+00
0.5,0.001,4.250000e+02,0.000000e+00,-4.586100e+00,8.117240e-78,3.883650e-24,1.116720e-51,1.833990e-54,9.994210e-02,5.192920e-48,7.282730e-06,5.091160e-02,5.017060e-90,2.248650e-62,3.853260e-27,2.088200e-89,1.377910e-115,2.182100e-52,1.465210e-116,3.834880e-16,3.701860e-02,3.438450e-01,4.682760e-01,8.732730e-32,4.574270e-77,6.344720e-77,6.475890e-58,1.417710e-29,1.797960e-23,1.000000e+00
0.5,0.001,4.500000e+02,0.000000e+00,-4.484570e+00,6.491420e-73,1.621900e-22,1.357290e-48,3.114690e-51,9.277770e-02,5.142310e-45,3.076020e-05,5.935850e-02,2.459550e-84,2.244550e-58,2.480660e-25,1.161220e-83,2.477920e-108,4.706170e-49,3.235810e-109,4.110440e-15,6.625150e-02,3.202850e-01,4.612960e-01,3.622660e-30,9.642540e-73,3.063410e-72,7.620730e-55,2.687330e-28,5.093280e-22,1.000000e+00
0.5,0.001,4.750000e+02,0.000000e+00,-4.363540e+00,1.586080e-68,4.505320e-21,7.880780e-46,2.412990e-48,8.027280e-02,2.454780e-42,1.124390e-04,6.900820e-02,3.051090e-79,8.365640e-55,9.945030e-24,1.606800e-78,7.715090e-102,4.381340e-46,1.211830e-102,3.357810e-14,1.077790e-01,2.914570e-01,4.513700e-01,9.658000e-29,7.081770e-69,4.747420e-68,4.267900e-52,3.324950e-27,9.937400e-21,1.000000e+00
0.5,0.001,5.000000e+02,0.000000e+00,-4.218150e+00,1.414010e-64,8.792630e-20,2.443880e-43,9.589580e-46,6.383660e-02,6.299640e-40,3.637340e-04,8.017470e-02,1.175920e-74,1.340610e-51,2.632050e-22,6.811790e-74,5.405850e-96,1.971270e-43,1.003310e-96,2.163260e-13,1.596490e-01,2.570390e-01,4.389370e-01,1.737410e-27,2.121380e-65,2.798580e-64,1.271650e-49,2.760130e-26,1.402830e-19,1.000000e+00
0.5,0.001,5.250000e+02,0.000000e+00,-4.048270e+00,5.310650e-61,1.262180e-18,4.417050e-41,2.152070e-43,4.641810e-02,9.502640e-38,1.057220e-03,9.269830e-02,1.662770e-70,1.037110e-48,4.836020e-21,1.047120e-69,1.054130e-90,4.711430e-41,2.276470e-91,1.132850e-12,2.162820e-01,2.182830e-01,4.252610e-01,2.197310e-26,2.950600e-62,7.208030e-61,2.204150e-47,1.586200e-25,1.494950e-18,1.000000e+00
