Tw_K,P_bar,M[kg/mol],Cp[J/kg-K],h[J/kg],gamma[-],rho[kg/m3],mu[Pa-s]
200,0.00101325,2.199600e-02,1.511870e+03,-7.246370e+06,1.333370e+00,1.340280e-03,9.196210e-06
225,0.00101325,2.199600e-02,1.533660e+03,-7.208310e+06,1.327090e+00,1.191360e-03,1.024210e-05
250,0.00101325,2.199590e-02,1.560460e+03,-7.169650e+06,1.319720e+00,1.072220e-03,1.127750e-05
275,0.00101325,2.199560e-02,1.596190e+03,-7.130210e+06,1.310560e+00,9.747330e-04,1.229990e-05
300,0.00101325,2.199430e-02,1.646660e+03,-7.089720e+06,1.298980e+00,8.934500e-04,1.330680e-05
325,0.00101325,2.198980e-02,1.724630e+03,-7.047650e+06,1.283890e+00,8.245550e-04,1.432410e-05
350,0.00101325,2.197730e-02,1.854760e+03,-7.003050e+06,1.264010e+00,7.652250e-04,1.532420e-05
375,0.00101325,2.194760e-02,2.076630e+03,-6.954150e+06,1.239310e+00,7.132440e-04,1.630010e-05
400,0.00101325,2.188510e-02,2.440820e+03,-6.898030e+06,1.212590e+00,6.667610e-04,1.724010e-05
425,0.00101325,2.176870e-02,2.989760e+03,-6.830560e+06,1.188890e+00,6.242020e-04,1.812660e-05
450,0.00101325,2.157700e-02,3.719590e+03,-6.747020e+06,1.172110e+00,5.843330e-04,1.893810e-05
475,0.00101325,2.129950e-02,4.556820e+03,-6.643690e+06,1.162160e+00,5.464600e-04,1.965860e-05
500,0.00101325,2.094480e-02,5.491280e+03,-6.518510e+06,1.154330e+00,5.104920e-04,2.029600e-05
525,0.00101325,2.051540e-02,7.083260e+03,-6.363990e+06,1.142870e+00,4.762150e-04,2.086250e-05
550,0.00101325,1.993270e-02,1.086980e+04,-6.145970e+06,1.135450e+00,4.416560e-04,2.144260e-05
575,0.00101325,1.902210e-02,1.788710e+04,-5.792750e+06,1.148060e+00,4.031560e-04,2.207740e-05
600,0.00101325,1.769960e-02,2.660000e+04,-5.236670e+06,1.175430e+00,3.594950e-04,2.284350e-05
625,0.00101325,1.615430e-02,3.225000e+04,-4.487100e+06,1.196110e+00,3.149850e-04,2.386780e-05
650,0.00101325,1.482060e-02,2.745710e+04,-3.713410e+06,1.186110e+00,2.778650e-04,2.516030e-05
675,0.00101325,1.407550e-02,1.397230e+04,-3.192850e+06,1.160990e+00,2.541220e-04,2.635220e-05
700,0.00101325,1.382840e-02,5.723580e+03,-2.964270e+06,1.186600e+00,2.407440e-04,2.722680e-05
725,0.00101325,1.376930e-02,3.426330e+03,-2.856760e+06,1.242670e+00,2.314480e-04,2.794150e-05
750,0.00101325,1.375570e-02,2.937760e+03,-2.778810e+06,1.267720e+00,2.235140e-04,2.860870e-05
775,0.00101325,1.375160e-02,2.923800e+03,-2.706280e+06,1.266720e+00,2.162390e-04,2.925870e-05
800,0.00101325,1.373760e-02,3.953940e+03,-2.625070e+06,1.218350e+00,2.092690e-04,2.989450e-05
825,0.00101325,1.363790e-02,8.461760e+03,-2.475600e+06,1.168240e+00,2.014530e-04,3.049150e-05
850,0.00101325,1.340430e-02,1.180620e+04,-2.215050e+06,1.169180e+00,1.921790e-04,3.103160e-05
875,0.00101325,1.312570e-02,1.249620e+04,-1.907560e+06,1.173740e+00,1.828080e-04,3.154540e-05
900,0.00101325,1.286080e-02,1.195560e+04,-1.600270e+06,1.177060e+00,1.741440e-04,3.205540e-05
925,0.00101325,1.263130e-02,1.089430e+04,-1.314040e+06,1.179920e+00,1.664130e-04,3.257210e-05
950,0.00101325,1.244190e-02,9.699660e+03,-1.056630e+06,1.182970e+00,1.596040e-04,3.309980e-05
