Tw_K,P_bar,hw_Jkg
300,0.00101325,1.923390e+03
325,0.00101325,2.792160e+04
350,0.00101325,5.393720e+04
375,0.00101325,7.997940e+04
400,0.00101325,1.060590e+05
425,0.00101325,1.321880e+05
450,0.00101325,1.583790e+05
475,0.00101325,1.846450e+05
500,0.00101325,2.109980e+05
525,0.00101325,2.374480e+05
550,0.00101325,2.640080e+05
575,0.00101325,2.906850e+05
600,0.00101325,3.174900e+05
625,0.00101325,3.444280e+05
650,0.00101325,3.715060e+05
675,0.00101325,3.987290e+05
700,0.00101325,4.260990e+05
725,0.00101325,4.536200e+05
750,0.00101325,4.812930e+05
775,0.00101325,5.091190e+05
800,0.00101325,5.370960e+05
825,0.00101325,5.652230e+05
850,0.00101325,5.935000e+05
875,0.00101325,6.219230e+05
900,0.00101325,6.504900e+05
925,0.00101325,6.791980e+05
950,0.00101325,7.080450e+05
975,0.00101325,7.370260e+05
1000,0.00101325,7.661400e+05
1025,0.00101325,7.953830e+05
1050,0.00101325,8.247510e+05
1075,0.00101325,8.542410e+05
1100,0.00101325,8.838490e+05
1125,0.00101325,9.135720e+05
1150,0.00101325,9.434060e+05
1175,0.00101325,9.733470e+05
1200,0.00101325,1.003390e+06
1225,0.00101325,1.033540e+06
1250,0.00101325,1.063780e+06
1275,0.00101325,1.094120e+06
1300,0.00101325,1.124550e+06
1325,0.00101325,1.155060e+06
1350,0.00101325,1.185660e+06
1375,0.00101325,1.216340e+06
1400,0.00101325,1.247080e+06
1425,0.00101325,1.277870e+06
1450,0.00101325,1.308670e+06
1475,0.00101325,1.339450e+06
1500,0.00101325,1.370070e+06
1525,0.00101325,1.400360e+06
1550,0.00101325,1.429960e+06
1575,0.00101325,1.458260e+06
1600,0.00101325,1.484190e+06
1625,0.00101325,1.505900e+06
1650,0.00101325,1.520360e+06
1675,0.00101325,1.522590e+06
1700,0.00101325,1.504830e+06
1725,0.00101325,1.455440e+06
1750,0.00101325,1.358150e+06
1775,0.00101325,1.192660e+06
1800,0.00101325,9.380620e+05
1825,0.00101325,5.806100e+05
1850,0.00101325,1.244820e+05
1875,0.00101325,-1.853200e+05
1900,0.00101325,-1.034590e+05
1925,0.00101325,-2.087060e+04
1950,0.00101325,6.106960e+04
1975,0.00101325,1.411050e+05
2000,0.00101325,2.182920e+05
2025,0.00101325,2.921240e+05
2050,0.00101325,3.625620e+05
2075,0.00101325,4.299580e+05
2100,0.00101325,4.949290e+05
2125,0.00101325,5.582130e+05
2150,0.00101325,6.205610e+05
2175,0.00101325,6.826590e+05
2200,0.00101325,7.450960e+05
2225,0.00101325,8.083510e+05
2250,0.00101325,8.728010e+05
2275,0.00101325,9.387350e+05
2300,0.00101325,1.006380e+06
2325,0.00101325,1.075900e+06
2350,0.00101325,1.147450e+06
2375,0.00101325,1.221170e+06
2400,0.00101325,1.297190e+06
2425,0.00101325,1.375680e+06
2450,0.00101325,1.456850e+06
2475,0.00101325,1.540930e+06
2500,0.00101325,1.628220e+06
2525,0.00101325,1.719080e+06
2550,0.00101325,1.813910e+06
2575,0.00101325,1.913180e+06
2600,0.00101325,2.017380e+06
2625,0.00101325,2.127060e+06
2650,0.00101325,2.242780e+06
2675,0.00101325,2.365110e+06
2700,0.00101325,2.494580e+06
2725,0.00101325,2.631710e+06
2750,0.00101325,2.776930e+06
2775,0.00101325,2.930600e+06
2800,0.00101325,3.092940e+06
2825,0.00101325,3.264070e+06
2850,0.00101325,3.443950e+06
2875,0.00101325,3.632410e+06
2900,0.00101325,3.828790e+06
2925,0.00101325,4.030830e+06
2950,0.00101325,4.239220e+06
2975,0.00101325,4.453180e+06
3000,0.00101325,4.671890e+06
3025,0.00101325,4.894580e+06
3050,0.00101325,5.120470e+06
3075,0.00101325,5.348820e+06
3100,0.00101325,5.578900e+06
3125,0.00101325,5.809880e+06
3150,0.00101325,6.040890e+06
3175,0.00101325,6.270860e+06
3200,0.00101325,6.498580e+06
3225,0.00101325,6.722690e+06
3250,0.00101325,6.941660e+06
3275,0.00101325,7.153920e+06
3300,0.00101325,7.357770e+06
3325,0.00101325,7.550670e+06
3350,0.00101325,7.561810e+06
3375,0.00101325,7.571660e+06
3400,0.00101325,7.581590e+06
3425,0.00101325,7.591570e+06
3450,0.00101325,7.601610e+06
3475,0.00101325,7.611690e+06
3500,0.00101325,7.621810e+06
3525,0.00101325,7.631980e+06
3550,0.00101325,7.642190e+06
3575,0.00101325,7.652450e+06
3600,0.00101325,7.662780e+06
3625,0.00101325,7.673160e+06
3650,0.00101325,7.683630e+06
3675,0.00101325,7.694180e+06
3700,0.00101325,7.704830e+06
3725,0.00101325,7.715580e+06
3750,0.00101325,7.726460e+06
3775,0.00101325,7.737460e+06
3800,0.00101325,7.748610e+06
3825,0.00101325,7.759900e+06
3850,0.00101325,7.771350e+06
3875,0.00101325,7.782970e+06
3900,0.00101325,7.794760e+06
3925,0.00101325,7.806740e+06
3950,0.00101325,7.818910e+06
3975,0.00101325,7.831270e+06
4000,0.00101325,7.843830e+06
4025,0.00101325,7.856590e+06
4050,0.00101325,7.869560e+06
4075,0.00101325,7.882730e+06
4100,0.00101325,7.896110e+06
4125,0.00101325,7.909690e+06
4150,0.00101325,7.923460e+06
4175,0.00101325,7.937420e+06
4200,0.00101325,7.951570e+06
4225,0.00101325,7.965890e+06
4250,0.00101325,7.980370e+06
4275,0.00101325,7.995000e+06
4300,0.00101325,8.009770e+06
4325,0.00101325,8.024650e+06
4350,0.00101325,8.039630e+06
4375,0.00101325,8.054700e+06
4400,0.00101325,8.069830e+06
4425,0.00101325,8.085010e+06
4450,0.00101325,8.100220e+06
4475,0.00101325,8.115440e+06
4500,0.00101325,8.130650e+06
4525,0.00101325,8.145840e+06
4550,0.00101325,8.161000e+06
4575,0.00101325,8.176120e+06
4600,0.00101325,8.191180e+06
4625,0.00101325,8.206180e+06
4650,0.00101325,8.221120e+06
4675,0.00101325,8.236000e+06
4700,0.00101325,8.250810e+06
4725,0.00101325,8.265560e+06
4750,0.00101325,8.280250e+06
4775,0.00101325,8.294880e+06
4800,0.00101325,8.309470e+06
4825,0.00101325,8.324020e+06
4850,0.00101325,8.338540e+06
4875,0.00101325,8.353030e+06
4900,0.00101325,8.367500e+06
4925,0.00101325,8.381970e+06
4950,0.00101325,8.396440e+06
4975,0.00101325,8.410910e+06
5000,0.00101325,8.425390e+06
300,0.00180184,1.923390e+03
325,0.00180184,2.792160e+04
350,0.00180184,5.393720e+04
375,0.00180184,7.997940e+04
400,0.00180184,1.060590e+05
425,0.00180184,1.321880e+05
450,0.00180184,1.583790e+05
475,0.00180184,1.846450e+05
500,0.00180184,2.109980e+05
525,0.00180184,2.374480e+05
550,0.00180184,2.640080e+05
575,0.00180184,2.906850e+05
600,0.00180184,3.174900e+05
625,0.00180184,3.444280e+05
650,0.00180184,3.715060e+05
675,0.00180184,3.987290e+05
700,0.00180184,4.260990e+05
725,0.00180184,4.536200e+05
750,0.00180184,4.812930e+05
775,0.00180184,5.091190e+05
800,0.00180184,5.370960e+05
825,0.00180184,5.652230e+05
850,0.00180184,5.935000e+05
875,0.00180184,6.219230e+05
900,0.00180184,6.504900e+05
925,0.00180184,6.791980e+05
950,0.00180184,7.080450e+05
975,0.00180184,7.370260e+05
1000,0.00180184,7.661400e+05
1025,0.00180184,7.953830e+05
1050,0.00180184,8.247510e+05
1075,0.00180184,8.542410e+05
1100,0.00180184,8.838490e+05
1125,0.00180184,9.135720e+05
1150,0.00180184,9.434060e+05
1175,0.00180184,9.733470e+05
1200,0.00180184,1.003390e+06
1225,0.00180184,1.033540e+06
1250,0.00180184,1.063780e+06
1275,0.00180184,1.094120e+06
1300,0.00180184,1.124550e+06
1325,0.00180184,1.155070e+06
1350,0.00180184,1.185670e+06
1375,0.00180184,1.216340e+06
1400,0.00180184,1.247100e+06
1425,0.00180184,1.277910e+06
1450,0.00180184,1.308770e+06
1475,0.00180184,1.339630e+06
1500,0.00180184,1.370450e+06
1525,0.00180184,1.401100e+06
1550,0.00180184,1.431400e+06
1575,0.00180184,1.460990e+06
1600,0.00180184,1.489270e+06
1625,0.00180184,1.515200e+06
1650,0.00180184,1.537030e+06
1675,0.00180184,1.551910e+06
1700,0.00180184,1.555240e+06
1725,0.00180184,1.539940e+06
1750,0.00180184,1.495460e+06
1775,0.00180184,1.407160e+06
1800,0.00180184,1.256630e+06
