Tw_K,P_bar,Bc
300,0.00101325,4.656580e-01
325,0.00101325,4.656580e-01
350,0.00101325,4.656580e-01
375,0.00101325,4.656580e-01
400,0.00101325,4.656580e-01
425,0.00101325,4.656580e-01
450,0.00101325,4.656580e-01
475,0.00101325,4.656580e-01
500,0.00101325,4.656580e-01
525,0.00101325,4.656580e-01
550,0.00101325,4.656580e-01
575,0.00101325,4.656580e-01
600,0.00101325,4.656580e-01
625,0.00101325,4.656580e-01
650,0.00101325,4.656580e-01
675,0.00101325,4.656580e-01
700,0.00101325,4.656580e-01
725,0.00101325,4.656580e-01
750,0.00101325,4.656580e-01
775,0.00101325,4.656580e-01
800,0.00101325,4.656580e-01
825,0.00101325,4.656580e-01
850,0.00101325,4.656580e-01
875,0.00101325,4.656580e-01
900,0.00101325,4.656580e-01
925,0.00101325,4.656580e-01
950,0.00101325,4.656580e-01
975,0.00101325,4.656580e-01
1000,0.00101325,4.656580e-01
1025,0.00101325,4.656580e-01
1050,0.00101325,4.656580e-01
1075,0.00101325,4.656580e-01
1100,0.00101325,4.656580e-01
1125,0.00101325,4.656580e-01
1150,0.00101325,4.656580e-01
1175,0.00101325,4.656580e-01
1200,0.00101325,4.656580e-01
1225,0.00101325,4.656580e-01
1250,0.00101325,4.656580e-01
1275,0.00101325,4.656580e-01
1300,0.00101325,4.656580e-01
1325,0.00101325,4.656590e-01
1350,0.00101325,4.656590e-01
1375,0.00101325,4.656590e-01
1400,0.00101325,4.656600e-01
1425,0.00101325,4.656610e-01
1450,0.00101325,4.656630e-01
1475,0.00101325,4.656660e-01
1500,0.00101325,4.656720e-01
1525,0.00101325,4.656810e-01
1550,0.00101325,4.656960e-01
1575,0.00101325,4.657190e-01
1600,0.00101325,4.657540e-01
1625,0.00101325,4.658060e-01
1650,0.00101325,4.658840e-01
1675,0.00101325,4.659980e-01
1700,0.00101325,4.661600e-01
1725,0.00101325,4.663900e-01
1750,0.00101325,4.667090e-01
1775,0.00101325,4.671440e-01
1800,0.00101325,4.677280e-01
1825,0.00101325,4.684990e-01
1850,0.00101325,4.694960e-01
1875,0.00101325,4.707620e-01
1900,0.00101325,4.723370e-01
1925,0.00101325,4.742560e-01
1950,0.00101325,4.765460e-01
1975,0.00101325,4.792260e-01
2000,0.00101325,4.823030e-01
2025,0.00101325,4.857770e-01
2050,0.00101325,4.896460e-01
2075,0.00101325,4.939020e-01
2100,0.00101325,4.985400e-01
2125,0.00101325,5.035520e-01
2150,0.00101325,5.089280e-01
2175,0.00101325,5.146570e-01
2200,0.00101325,5.207190e-01
2225,0.00101325,5.270900e-01
2250,0.00101325,5.337410e-01
2275,0.00101325,5.406320e-01
2300,0.00101325,5.477210e-01
2325,0.00101325,5.549570e-01
2350,0.00101325,5.622920e-01
2375,0.00101325,5.696720e-01
2400,0.00101325,5.770500e-01
2425,0.00101325,5.843830e-01
2450,0.00101325,5.916420e-01
2475,0.00101325,5.988090e-01
2500,0.00101325,6.058870e-01
2525,0.00101325,6.129000e-01
2550,0.00101325,6.199000e-01
2575,0.00101325,6.269720e-01
2600,0.00101325,6.342340e-01
2625,0.00101325,6.418450e-01
2650,0.00101325,6.500100e-01
2675,0.00101325,6.589860e-01
2700,0.00101325,6.690920e-01
2725,0.00101325,6.807150e-01
2750,0.00101325,6.943260e-01
2775,0.00101325,7.104960e-01
2800,0.00101325,7.299180e-01
2825,0.00101325,7.534350e-01
2850,0.00101325,7.820760e-01
2875,0.00101325,8.171110e-01
2900,0.00101325,8.593360e-01
2925,0.00101325,9.065780e-01
2950,0.00101325,9.645150e-01
2975,0.00101325,1.035830e+00
3000,0.00101325,1.124010e+00
3025,0.00101325,1.233630e+00
3050,0.00101325,1.370920e+00
3075,0.00101325,1.544470e+00
3100,0.00101325,1.766600e+00
3125,0.00101325,2.055630e+00
3150,0.00101325,2.440060e+00
3175,0.00101325,2.966880e+00
3200,0.00101325,3.719630e+00
3225,0.00101325,4.862540e+00
3250,0.00101325,6.769370e+00
3275,0.00101325,1.051460e+01
3300,0.00101325,2.096470e+01
3325,0.00101325,1.882600e+02
3350,0.00101325,2.000000e+02
3375,0.00101325,2.000000e+02
3400,0.00101325,2.000000e+02
3425,0.00101325,2.000000e+02
3450,0.00101325,2.000000e+02
3475,0.00101325,2.000000e+02
3500,0.00101325,2.000000e+02
3525,0.00101325,2.000000e+02
3550,0.00101325,2.000000e+02
3575,0.00101325,2.000000e+02
3600,0.00101325,2.000000e+02
