Tw_K,P_bar,hw_Jkg
300,0.00101325,-2.203000e+06
325,0.00101325,-2.183420e+06
350,0.00101325,-2.163620e+06
375,0.00101325,-2.143610e+06
400,0.00101325,-2.123360e+06
425,0.00101325,-2.102810e+06
450,0.00101325,-2.081930e+06
475,0.00101325,-2.060640e+06
500,0.00101325,-2.038920e+06
525,0.00101325,-2.016720e+06
550,0.00101325,-1.994050e+06
575,0.00101325,-1.970950e+06
600,0.00101325,-1.947470e+06
625,0.00101325,-1.923700e+06
650,0.00101325,-1.899700e+06
675,0.00101325,-1.875510e+06
700,0.00101325,-1.851120e+06
725,0.00101325,-1.826520e+06
750,0.00101325,-1.801640e+06
775,0.00101325,-1.776430e+06
800,0.00101325,-1.750840e+06
825,0.00101325,-1.724830e+06
850,0.00101325,-1.698400e+06
875,0.00101325,-1.671590e+06
900,0.00101325,-1.644480e+06
925,0.00101325,-1.617170e+06
950,0.00101325,-1.589780e+06
975,0.00101325,-1.562410e+06
1000,0.00101325,-1.535170e+06
1025,0.00101325,-1.508130e+06
1050,0.00101325,-1.481330e+06
1075,0.00101325,-1.454770e+06
1100,0.00101325,-1.428460e+06
1125,0.00101325,-1.402330e+06
1150,0.00101325,-1.376350e+06
1175,0.00101325,-1.350460e+06
1200,0.00101325,-1.324590e+06
1225,0.00101325,-1.298670e+06
1250,0.00101325,-1.272630e+06
1275,0.00101325,-1.246420e+06
1300,0.00101325,-1.219940e+06
1325,0.00101325,-1.193140e+06
1350,0.00101325,-1.165940e+06
1375,0.00101325,-1.138240e+06
1400,0.00101325,-1.109960e+06
1425,0.00101325,-1.080980e+06
1450,0.00101325,-1.051190e+06
1475,0.00101325,-1.020430e+06
1500,0.00101325,-9.885380e+05
1525,0.00101325,-9.553130e+05
1550,0.00101325,-9.205190e+05
1575,0.00101325,-8.838890e+05
1600,0.00101325,-8.451160e+05
1625,0.00101325,-8.038590e+05
1650,0.00101325,-7.597440e+05
1675,0.00101325,-7.123800e+05
1700,0.00101325,-6.613710e+05
1725,0.00101325,-6.063460e+05
1750,0.00101325,-5.469950e+05
1775,0.00101325,-4.831170e+05
1800,0.00101325,-4.146760e+05
1825,0.00101325,-3.418630e+05
1850,0.00101325,-2.651490e+05
1875,0.00101325,-1.853200e+05
1900,0.00101325,-1.034590e+05
1925,0.00101325,-2.087060e+04
1950,0.00101325,6.106960e+04
1975,0.00101325,1.411050e+05
2000,0.00101325,2.182920e+05
2025,0.00101325,2.921240e+05
2050,0.00101325,3.625620e+05
2075,0.00101325,4.299580e+05
2100,0.00101325,4.949290e+05
2125,0.00101325,5.582130e+05
2150,0.00101325,6.205610e+05
2175,0.00101325,6.826590e+05
2200,0.00101325,7.450960e+05
2225,0.00101325,8.083510e+05
2250,0.00101325,8.728010e+05
2275,0.00101325,9.387350e+05
2300,0.00101325,1.006380e+06
2325,0.00101325,1.075900e+06
2350,0.00101325,1.147450e+06
2375,0.00101325,1.221170e+06
2400,0.00101325,1.297190e+06
2425,0.00101325,1.375680e+06
2450,0.00101325,1.456850e+06
2475,0.00101325,1.540930e+06
2500,0.00101325,1.628220e+06
2525,0.00101325,1.719080e+06
2550,0.00101325,1.813910e+06
2575,0.00101325,1.913180e+06
2600,0.00101325,2.017380e+06
2625,0.00101325,2.127060e+06
2650,0.00101325,2.242780e+06
2675,0.00101325,2.365110e+06
2700,0.00101325,2.494580e+06
2725,0.00101325,2.631710e+06
2750,0.00101325,2.776930e+06
2775,0.00101325,2.930600e+06
2800,0.00101325,3.092940e+06
2825,0.00101325,3.264070e+06
2850,0.00101325,3.443950e+06
2875,0.00101325,3.632410e+06
2900,0.00101325,3.828790e+06
2925,0.00101325,4.030830e+06
2950,0.00101325,4.239220e+06
2975,0.00101325,4.453180e+06
3000,0.00101325,4.671890e+06
3025,0.00101325,4.894580e+06
3050,0.00101325,5.120470e+06
3075,0.00101325,5.348820e+06
3100,0.00101325,5.578900e+06
3125,0.00101325,5.809880e+06
3150,0.00101325,6.040890e+06
3175,0.00101325,6.270860e+06
3200,0.00101325,6.498580e+06
3225,0.00101325,6.722690e+06
3250,0.00101325,6.941660e+06
3275,0.00101325,7.153920e+06
3300,0.00101325,7.357770e+06
3325,0.00101325,7.550670e+06
3350,0.00101325,7.561810e+06
3375,0.00101325,7.571660e+06
3400,0.00101325,7.581590e+06
3425,0.00101325,7.591570e+06
3450,0.00101325,7.601610e+06
3475,0.00101325,7.611690e+06
3500,0.00101325,7.621810e+06
3525,0.00101325,7.631980e+06
3550,0.00101325,7.642190e+06
3575,0.00101325,7.652450e+06
3600,0.00101325,7.662780e+06
3625,0.00101325,7.673160e+06
3650,0.00101325,7.683630e+06
3675,0.00101325,7.694180e+06
3700,0.00101325,7.704830e+06
3725,0.00101325,7.715580e+06
3750,0.00101325,7.726460e+06
3775,0.00101325,7.737460e+06
3800,0.00101325,7.748610e+06
3825,0.00101325,7.759900e+06
3850,0.00101325,7.771350e+06
3875,0.00101325,7.782970e+06
3900,0.00101325,7.794760e+06
3925,0.00101325,7.806740e+06
3950,0.00101325,7.818910e+06
3975,0.00101325,7.831270e+06
4000,0.00101325,7.843830e+06
4025,0.00101325,7.856590e+06
4050,0.00101325,7.869560e+06
4075,0.00101325,7.882730e+06
4100,0.00101325,7.896110e+06
4125,0.00101325,7.909690e+06
4150,0.00101325,7.923460e+06
4175,0.00101325,7.937420e+06
4200,0.00101325,7.951570e+06
4225,0.00101325,7.965890e+06
4250,0.00101325,7.980370e+06
4275,0.00101325,7.995000e+06
4300,0.00101325,8.009770e+06
4325,0.00101325,8.024650e+06
4350,0.00101325,8.039630e+06
4375,0.00101325,8.054700e+06
4400,0.00101325,8.069830e+06
4425,0.00101325,8.085010e+06
4450,0.00101325,8.100220e+06
4475,0.00101325,8.115440e+06
4500,0.00101325,8.130650e+06
4525,0.00101325,8.145840e+06
4550,0.00101325,8.161000e+06
4575,0.00101325,8.176120e+06
4600,0.00101325,8.191180e+06
4625,0.00101325,8.206180e+06
4650,0.00101325,8.221120e+06
4675,0.00101325,8.236000e+06
4700,0.00101325,8.250810e+06
4725,0.00101325,8.265560e+06
4750,0.00101325,8.280250e+06
4775,0.00101325,8.294880e+06
4800,0.00101325,8.309470e+06
4825,0.00101325,8.324020e+06
4850,0.00101325,8.338540e+06
4875,0.00101325,8.353030e+06
4900,0.00101325,8.367500e+06
4925,0.00101325,8.381970e+06
4950,0.00101325,8.396440e+06
4975,0.00101325,8.410910e+06
5000,0.00101325,8.425390e+06
300,0.00180184,-2.203000e+06
325,0.00180184,-2.183420e+06
350,0.00180184,-2.163630e+06
375,0.00180184,-2.143630e+06
400,0.00180184,-2.123400e+06
425,0.00180184,-2.102880e+06
450,0.00180184,-2.082050e+06
475,0.00180184,-2.060850e+06
500,0.00180184,-2.039220e+06
525,0.00180184,-2.017150e+06
550,0.00180184,-1.994630e+06
575,0.00180184,-1.971670e+06
600,0.00180184,-1.948340e+06
625,0.00180184,-1.924700e+06
650,0.00180184,-1.900800e+06
675,0.00180184,-1.876710e+06
700,0.00180184,-1.852420e+06
725,0.00180184,-1.827920e+06
750,0.00180184,-1.803180e+06
775,0.00180184,-1.778140e+06
800,0.00180184,-1.752760e+06
825,0.00180184,-1.726990e+06
850,0.00180184,-1.700830e+06
875,0.00180184,-1.674290e+06
900,0.00180184,-1.647420e+06
925,0.00180184,-1.620310e+06
950,0.00180184,-1.593040e+06
975,0.00180184,-1.565740e+06
1000,0.00180184,-1.538490e+06
1025,0.00180184,-1.511390e+06
1050,0.00180184,-1.484470e+06
1075,0.00180184,-1.457780e+06
1100,0.00180184,-1.431320e+06
1125,0.00180184,-1.405060e+06
1150,0.00180184,-1.378970e+06
1175,0.00180184,-1.353000e+06
1200,0.00180184,-1.327100e+06
1225,0.00180184,-1.301220e+06
1250,0.00180184,-1.275280e+06
1275,0.00180184,-1.249220e+06
1300,0.00180184,-1.223000e+06
1325,0.00180184,-1.196530e+06
1350,0.00180184,-1.169760e+06
1375,0.00180184,-1.142610e+06
1400,0.00180184,-1.115010e+06
1425,0.00180184,-1.086870e+06
1450,0.00180184,-1.058090e+06
1475,0.00180184,-1.028570e+06
1500,0.00180184,-9.981570e+05
1525,0.00180184,-9.667180e+05
1550,0.00180184,-9.340700e+05
1575,0.00180184,-9.000080e+05
1600,0.00180184,-8.642960e+05
1625,0.00180184,-8.266660e+05
1650,0.00180184,-7.868160e+05
1675,0.00180184,-7.444190e+05
1700,0.00180184,-6.991220e+05
1725,0.00180184,-6.505650e+05
1750,0.00180184,-5.983960e+05
1775,0.00180184,-5.422990e+05
1800,0.00180184,-4.820250e+05
1825,0.00180184,-4.174430e+05
1850,0.00180184,-3.485810e+05
1875,0.00180184,-2.756830e+05
1900,0.00180184,-1.992470e+05
1925,0.00180184,-1.200430e+05
1950,0.00180184,-3.909190e+04
1975,0.00180184,4.241830e+04
2000,0.00180184,1.232590e+05
2025,0.00180184,2.023270e+05
2050,0.00180184,2.788010e+05
2075,0.00180184,3.522420e+05
2100,0.00180184,4.226090e+05
2125,0.00180184,4.901990e+05
2150,0.00180184,5.555410e+05
2175,0.00180184,6.192740e+05
2200,0.00180184,6.820590e+05
2225,0.00180184,7.445080e+05
2250,0.00180184,8.071530e+05
2275,0.00180184,8.704320e+05
2300,0.00180184,9.346980e+05
2325,0.00180184,1.000230e+06
2350,0.00180184,1.067240e+06
2375,0.00180184,1.135900e+06
2400,0.00180184,1.206380e+06
2425,0.00180184,1.278790e+06
2450,0.00180184,1.353310e+06
2475,0.00180184,1.430070e+06
2500,0.00180184,1.509290e+06
2525,0.00180184,1.591190e+06
2550,0.00180184,1.676040e+06
2575,0.00180184,1.764160e+06
2600,0.00180184,1.855910e+06
2625,0.00180184,1.951680e+06
2650,0.00180184,2.051920e+06
2675,0.00180184,2.157090e+06
2700,0.00180184,2.267670e+06
2725,0.00180184,2.384140e+06
2750,0.00180184,2.506950e+06
2775,0.00180184,2.636530e+06
2800,0.00180184,2.773250e+06
2825,0.00180184,2.917420e+06
2850,0.00180184,3.069250e+06
2875,0.00180184,3.228830e+06
2900,0.00180184,3.395960e+06
2925,0.00180184,3.569430e+06
2950,0.00180184,3.749760e+06
2975,0.00180184,3.936440e+06
3000,0.00180184,4.128890e+06
3025,0.00180184,4.326470e+06
3050,0.00180184,4.528520e+06
3075,0.00180184,4.734370e+06
3100,0.00180184,4.943400e+06
3125,0.00180184,5.155020e+06
3150,0.00180184,5.368690e+06
3175,0.00180184,5.583840e+06
3200,0.00180184,5.799900e+06
3225,0.00180184,6.016180e+06
3250,0.00180184,6.231900e+06
3275,0.00180184,6.446100e+06
3300,0.00180184,6.657690e+06
3325,0.00180184,6.865450e+06
3350,0.00180184,7.068040e+06
3375,0.00180184,7.264070e+06
3400,0.00180184,7.451940e+06
3425,0.00180184,7.585040e+06
3450,0.00180184,7.595070e+06
3475,0.00180184,7.605190e+06
3500,0.00180184,7.615380e+06
3525,0.00180184,7.625650e+06
3550,0.00180184,7.635980e+06
3575,0.00180184,7.646370e+06
3600,0.00180184,7.656810e+06
3625,0.00180184,7.667310e+06
3650,0.00180184,7.677880e+06
3675,0.00180184,7.688510e+06
3700,0.00180184,7.699210e+06
3725,0.00180184,7.709980e+06
3750,0.00180184,7.720850e+06
3775,0.00180184,7.731810e+06
3800,0.00180184,7.742870e+06
3825,0.00180184,7.754040e+06
3850,0.00180184,7.765340e+06
3875,0.00180184,7.776770e+06
3900,0.00180184,7.788340e+06
3925,0.00180184,7.800060e+06
3950,0.00180184,7.811940e+06
3975,0.00180184,7.823980e+06
4000,0.00180184,7.836190e+06
4025,0.00180184,7.848580e+06
4050,0.00180184,7.861160e+06
4075,0.00180184,7.873920e+06
4100,0.00180184,7.886870e+06
4125,0.00180184,7.900010e+06
4150,0.00180184,7.913350e+06
4175,0.00180184,7.926880e+06
4200,0.00180184,7.940610e+06
4225,0.00180184,7.954520e+06
4250,0.00180184,7.968610e+06
4275,0.00180184,7.982880e+06
4300,0.00180184,7.997330e+06
4325,0.00180184,8.011930e+06
4350,0.00180184,8.026680e+06
4375,0.00180184,8.041570e+06
4400,0.00180184,8.056590e+06
4425,0.00180184,8.071720e+06
4450,0.00180184,8.086940e+06
4475,0.00180184,8.102240e+06
4500,0.00180184,8.117610e+06
4525,0.00180184,8.133020e+06
4550,0.00180184,8.148460e+06
4575,0.00180184,8.163920e+06
4600,0.00180184,8.179380e+06
4625,0.00180184,8.194830e+06
4650,0.00180184,8.210260e+06
4675,0.00180184,8.225650e+06
4700,0.00180184,8.241000e+06
4725,0.00180184,8.256310e+06
4750,0.00180184,8.271560e+06
4775,0.00180184,8.286760e+06
4800,0.00180184,8.301900e+06
4825,0.00180184,8.317000e+06
4850,0.00180184,8.332040e+06
4875,0.00180184,8.347040e+06
4900,0.00180184,8.362000e+06
4925,0.00180184,8.376920e+06
4950,0.00180184,8.391810e+06
4975,0.00180184,8.406680e+06
5000,0.00180184,8.421540e+06
300,0.00320418,-2.203000e+06
325,0.00320418,-2.183420e+06
350,0.00320418,-2.163640e+06
375,0.00320418,-2.143650e+06
400,0.00320418,-2.123430e+06
425,0.00320418,-2.102950e+06
450,0.00320418,-2.082170e+06
475,0.00320418,-2.061030e+06
500,0.00320418,-2.039500e+06
525,0.00320418,-2.017550e+06
550,0.00320418,-1.995160e+06
575,0.00320418,-1.972350e+06
600,0.00320418,-1.949160e+06
625,0.00320418,-1.925640e+06
650,0.00320418,-1.901870e+06
675,0.00320418,-1.877870e+06
700,0.00320418,-1.853680e+06
725,0.00320418,-1.829290e+06
750,0.00320418,-1.804670e+06
775,0.00320418,-1.779790e+06
800,0.00320418,-1.754600e+06
825,0.00320418,-1.729050e+06
850,0.00320418,-1.703140e+06
875,0.00320418,-1.676850e+06
900,0.00320418,-1.650230e+06
925,0.00320418,-1.623340e+06
950,0.00320418,-1.596250e+06
975,0.00320418,-1.569050e+06
1000,0.00320418,-1.541850e+06
1025,0.00320418,-1.514720e+06
1050,0.00320418,-1.487730e+06
1075,0.00320418,-1.460930e+06
1100,0.00320418,-1.434330e+06
1125,0.00320418,-1.407930e+06
1150,0.00320418,-1.381720e+06
1175,0.00320418,-1.355650e+06
1200,0.00320418,-1.329690e+06
1225,0.00320418,-1.303790e+06
1250,0.00320418,-1.277890e+06
1275,0.00320418,-1.251930e+06
1300,0.00320418,-1.225870e+06
1325,0.00320418,-1.199650e+06
1350,0.00320418,-1.173200e+06
1375,0.00320418,-1.146470e+06
1400,0.00320418,-1.119390e+06
1425,0.00320418,-1.091900e+06
1450,0.00320418,-1.063910e+06
1475,0.00320418,-1.035350e+06
1500,0.00320418,-1.006100e+06
1525,0.00320418,-9.760500e+05
1550,0.00320418,-9.450720e+05
1575,0.00320418,-9.130080e+05
1600,0.00320418,-8.796780e+05
1625,0.00320418,-8.448760e+05
1650,0.00320418,-8.083690e+05
1675,0.00320418,-7.698940e+05
1700,0.00320418,-7.291630e+05
1725,0.00320418,-6.858640e+05
1750,0.00320418,-6.396740e+05
1775,0.00320418,-5.902640e+05
1800,0.00320418,-5.373240e+05
1825,0.00320418,-4.805840e+05
1850,0.00320418,-4.198490e+05
1875,0.00320418,-3.550320e+05
1900,0.00320418,-2.862010e+05
1925,0.00320418,-2.136210e+05
1950,0.00320418,-1.377790e+05
1975,0.00320418,-5.940020e+04
2000,0.00320418,2.058130e+04
2025,0.00320418,1.010930e+05
2050,0.00320418,1.810340e+05
2075,0.00320418,2.594180e+05
2100,0.00320418,3.354980e+05
2125,0.00320418,4.088530e+05
2150,0.00320418,4.794060e+05
2175,0.00320418,5.473780e+05
2200,0.00320418,6.132050e+05
2225,0.00320418,6.774320e+05
2250,0.00320418,7.406390e+05
2275,0.00320418,8.033750e+05
2300,0.00320418,8.661280e+05
2325,0.00320418,9.293080e+05
2350,0.00320418,9.932530e+05
2375,0.00320418,1.058230e+06
2400,0.00320418,1.124460e+06
2425,0.00320418,1.192130e+06
2450,0.00320418,1.261380e+06
2475,0.00320418,1.332360e+06
2500,0.00320418,1.405220e+06
2525,0.00320418,1.480130e+06
2550,0.00320418,1.557260e+06
2575,0.00320418,1.636830e+06
2600,0.00320418,1.719090e+06
2625,0.00320418,1.804300e+06
2650,0.00320418,1.892800e+06
2675,0.00320418,1.984920e+06
2700,0.00320418,2.081040e+06
2725,0.00320418,2.181560e+06
2750,0.00320418,2.286880e+06
2775,0.00320418,2.397400e+06
2800,0.00320418,2.513510e+06
2825,0.00320418,2.635570e+06
2850,0.00320418,2.763900e+06
2875,0.00320418,2.898760e+06
2900,0.00320418,3.040200e+06
2925,0.00320418,3.187630e+06
2950,0.00320418,3.341640e+06
2975,0.00320418,3.502050e+06
3000,0.00320418,3.668570e+06
3025,0.00320418,3.840800e+06
3050,0.00320418,4.018280e+06
3075,0.00320418,4.200480e+06
3100,0.00320418,4.386830e+06
3125,0.00320418,4.576790e+06
3150,0.00320418,4.769820e+06
3175,0.00320418,4.965420e+06
3200,0.00320418,5.163150e+06
3225,0.00320418,5.362600e+06
3250,0.00320418,5.563380e+06
3275,0.00320418,5.765060e+06
3300,0.00320418,5.967170e+06
3325,0.00320418,6.169120e+06
3350,0.00320418,6.370220e+06
3375,0.00320418,6.569640e+06
3400,0.00320418,6.766410e+06
3425,0.00320418,6.959450e+06
3450,0.00320418,7.147620e+06
3475,0.00320418,7.329670e+06
3500,0.00320418,7.504120e+06
3525,0.00320418,7.618960e+06
3550,0.00320418,7.629260e+06
3575,0.00320418,7.639660e+06
3600,0.00320418,7.650140e+06
3625,0.00320418,7.660710e+06
3650,0.00320418,7.671350e+06
3675,0.00320418,7.682070e+06
3700,0.00320418,7.692860e+06
3725,0.00320418,7.703720e+06
3750,0.00320418,7.714650e+06
3775,0.00320418,7.725660e+06
3800,0.00320418,7.736750e+06
3825,0.00320418,7.747930e+06
3850,0.00320418,7.759200e+06
3875,0.00320418,7.770570e+06
3900,0.00320418,7.782050e+06
3925,0.00320418,7.793640e+06
3950,0.00320418,7.805360e+06
3975,0.00320418,7.817220e+06
4000,0.00320418,7.829210e+06
4025,0.00320418,7.841350e+06
4050,0.00320418,7.853640e+06
4075,0.00320418,7.866090e+06
4100,0.00320418,7.878710e+06
4125,0.00320418,7.891500e+06
4150,0.00320418,7.904470e+06
4175,0.00320418,7.917610e+06
4200,0.00320418,7.930930e+06
4225,0.00320418,7.944440e+06
4250,0.00320418,7.958130e+06
4275,0.00320418,7.972000e+06
4300,0.00320418,7.986050e+06
4325,0.00320418,8.000280e+06
4350,0.00320418,8.014680e+06
4375,0.00320418,8.029250e+06
4400,0.00320418,8.043970e+06
4425,0.00320418,8.058850e+06
4450,0.00320418,8.073870e+06
4475,0.00320418,8.089020e+06
4500,0.00320418,8.104280e+06
4525,0.00320418,8.119660e+06
4550,0.00320418,8.135120e+06
4575,0.00320418,8.150660e+06
4600,0.00320418,8.166270e+06
4625,0.00320418,8.181930e+06
4650,0.00320418,8.197620e+06
4675,0.00320418,8.213330e+06
4700,0.00320418,8.229060e+06
4725,0.00320418,8.244780e+06
4750,0.00320418,8.260490e+06
4775,0.00320418,8.276180e+06
4800,0.00320418,8.291840e+06
4825,0.00320418,8.307460e+06
4850,0.00320418,8.323040e+06
4875,0.00320418,8.338580e+06
4900,0.00320418,8.354070e+06
4925,0.00320418,8.369520e+06
4950,0.00320418,8.384930e+06
4975,0.00320418,8.400300e+06
5000,0.00320418,8.415630e+06
300,0.00569792,-2.203000e+06
325,0.00569792,-2.183420e+06
350,0.00569792,-2.163640e+06
375,0.00569792,-2.143660e+06
400,0.00569792,-2.123460e+06
425,0.00569792,-2.103010e+06
450,0.00569792,-2.082270e+06
475,0.00569792,-2.061200e+06
500,0.00569792,-2.039750e+06
525,0.00569792,-2.017910e+06
550,0.00569792,-1.995650e+06
575,0.00569792,-1.972980e+06
600,0.00569792,-1.949930e+06
625,0.00569792,-1.926540e+06
650,0.00569792,-1.902890e+06
675,0.00569792,-1.878990e+06
700,0.00569792,-1.854900e+06
725,0.00569792,-1.830610e+06
750,0.00569792,-1.806110e+06
775,0.00569792,-1.781370e+06
800,0.00569792,-1.756350e+06
