P_atm,Tw[K],B'c,hw[MJ/kg],N,O,NO,N2,O2,Mo,MoO,MoO2,MoO3,Mo2O6,Mo3O9,Mo4O12,Mo5O15,Mo(cr),Mo(L),MoO2(cr),MoO3(cr),MoO3(L)
0.001,3.000000e+02,0.000000e+00,1.923390e-03,1.601230e-78,1.816160e-84,6.967340e-61,1.000000e+00,1.502250e-90,2.278930e-104,1.542830e-100,9.621960e-86,1.227710e-76,5.799400e-91,2.132770e-110,5.746550e-136,4.698540e-165,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,3.250000e+02,0.000000e+00,2.792160e-02,3.437960e-72,3.497070e-77,1.026960e-55,1.000000e+00,1.171320e-82,1.501450e-95,8.481710e-92,4.621170e-78,1.108840e-69,1.105630e-82,2.338920e-100,8.888980e-124,1.893780e-150,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,3.500000e+02,0.000000e+00,5.393720e-02,9.233870e-67,6.150050e-71,2.761120e-51,1.000000e+00,6.787570e-76,5.425780e-88,2.619920e-84,1.755420e-71,1.006330e-63,1.367410e-75,9.332080e-92,2.467950e-113,6.188140e-138,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,3.750000e+02,0.000000e+00,7.997940e-02,4.700380e-62,1.592850e-65,1.902090e-47,1.000000e+00,4.911860e-70,1.921950e-81,8.083520e-78,8.759820e-66,1.452600e-58,1.894300e-69,2.623010e-84,2.740370e-104,4.278210e-127,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,4.000000e+02,0.000000e+00,1.060590e-01,6.192790e-58,8.695800e-61,4.332540e-44,1.000000e+00,6.553230e-65,1.031530e-75,3.836200e-72,8.403070e-61,4.707500e-54,4.429990e-64,8.533530e-78,2.222300e-96,1.287110e-117,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,4.250000e+02,0.000000e+00,1.321880e-01,2.680070e-54,1.316520e-56,3.966100e-41,1.000000e+00,2.171790e-60,1.170330e-70,3.895920e-67,2.073460e-56,4.458860e-50,2.394090e-59,4.700380e-72,2.087690e-89,2.927870e-109,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,4.500000e+02,0.000000e+00,1.583790e-01,4.585910e-51,6.842900e-53,1.698400e-38,1.000000e+00,2.254680e-56,3.636790e-66,1.094730e-62,1.650680e-52,1.515560e-46,3.817640e-55,5.893730e-67,3.253720e-83,7.742590e-102,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,4.750000e+02,0.000000e+00,1.846450e-01,3.591610e-48,1.445310e-49,3.835720e-36,1.000000e+00,8.806990e-53,3.797740e-62,1.042540e-58,5.070110e-49,2.173700e-43,2.178510e-51,2.125380e-62,1.117210e-77,3.343220e-95,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,5.000000e+02,0.000000e+00,2.109980e-01,1.447430e-45,1.419640e-46,5.028750e-34,1.000000e+00,1.498720e-49,1.569560e-58,3.957840e-55,6.932680e-46,1.497600e-40,5.191300e-48,2.657780e-58,1.060500e-72,3.093600e-89,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,5.250000e+02,0.000000e+00,2.374480e-01,3.300120e-43,7.233460e-44,4.136440e-32,1.000000e+00,1.251210e-46,2.930880e-55,6.830990e-52,4.738290e-43,5.504850e-38,5.853880e-45,1.341110e-54,3.344940e-68,7.646590e-84,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
