P_atm,T_K,Bg,Bc,hw_MJkg
0.01,2000,0,1.748570e-01,6.418260e-01
0.01,2000,0.02,1.695180e-01,7.038530e-01
0.01,2000,0.04,1.635320e-01,7.458660e-01
0.01,2000,0.07,1.543570e-01,8.018310e-01
0.01,2000,0.1,1.450730e-01,8.531780e-01
0.01,2000,0.15,1.294740e-01,9.321150e-01
0.01,2000,0.2,1.137810e-01,1.004900e+00
0.01,2000,0.25,9.802740e-02,1.072810e+00
0.01,2000,0.32,7.590360e-02,1.161040e+00
0.01,2000,0.4,5.054930e-02,1.253610e+00
0.01,2000,0.5,1.878230e-02,1.358880e+00
0.01,2000,0.6,0.000000e+00,1.454310e+00
0.01,2000,0.7,0.000000e+00,1.541350e+00
0.01,2000,0.8,0.000000e+00,1.621120e+00
0.01,2000,0.9,0.000000e+00,1.694520e+00
0.01,2000,1,0.000000e+00,1.762330e+00
0.01,2000,1.2,0.000000e+00,1.883580e+00
0.01,2000,1.5,0.000000e+00,2.036500e+00
0.01,2000,1.9,0.000000e+00,2.200210e+00
0.01,2000,2.4,0.000000e+00,2.359450e+00
0.01,2000,3,0.000000e+00,2.505440e+00
0.01,2000,4,0.000000e+00,2.679950e+00
0.01,2000,5.5,0.000000e+00,2.850220e+00
0.01,2000,7.5,0.000000e+00,2.990280e+00
0.01,2000,10,0.000000e+00,3.097500e+00
0.01,3000,0,2.462070e-01,3.665700e+00
0.01,3000,0.02,2.471710e-01,4.198020e+00
0.01,3000,0.04,2.478090e-01,4.691880e+00
0.01,3000,0.07,2.483070e-01,5.376400e+00
0.01,3000,0.1,2.483900e-01,6.007240e+00
0.01,3000,0.15,2.478540e-01,6.965710e+00
0.01,3000,0.2,2.466990e-01,7.832300e+00
0.01,3000,0.25,2.450850e-01,8.625260e+00
0.01,3000,0.32,2.422450e-01,9.634390e+00
0.01,3000,0.4,2.383690e-01,1.066950e+01
0.01,3000,0.5,2.328160e-01,1.182010e+01
0.01,3000,0.6,2.266670e-01,1.284110e+01
0.01,3000,0.7,2.200530e-01,1.375560e+01
0.01,3000,0.8,2.130650e-01,1.458080e+01
0.01,3000,0.9,2.057680e-01,1.533010e+01
0.01,3000,1,1.982100e-01,1.601400e+01
0.01,3000,1.2,1.824520e-01,1.721880e+01
0.01,3000,1.5,1.575670e-01,1.870800e+01
0.01,3000,1.9,1.226960e-01,2.026870e+01
0.01,3000,2.4,7.718150e-02,2.175760e+01
0.01,3000,3,2.057040e-02,2.310090e+01
0.01,3000,4,0.000000e+00,2.468410e+01
0.01,3000,5.5,0.000000e+00,2.621140e+01
0.01,3000,7.5,0.000000e+00,2.746090e+01
0.01,3000,10,0.000000e+00,2.841820e+01
0.01,3400,0,2.000000e+02,3.018200e+01
0.01,3400,0.02,2.000000e+02,3.018390e+01
0.01,3400,0.04,2.000000e+02,3.018580e+01
0.01,3400,0.07,2.000000e+02,3.018860e+01
0.01,3400,0.1,2.000000e+02,3.019140e+01
0.01,3400,0.15,2.000000e+02,3.019620e+01
0.01,3400,0.2,2.000000e+02,3.020090e+01
0.01,3400,0.25,2.000000e+02,3.020560e+01
0.01,3400,0.32,2.000000e+02,3.021210e+01
0.01,3400,0.4,2.000000e+02,3.021960e+01
0.01,3400,0.5,2.000000e+02,3.022900e+01
0.01,3400,0.6,2.000000e+02,3.023830e+01
0.01,3400,0.7,2.000000e+02,3.024770e+01
0.01,3400,0.8,2.000000e+02,3.025700e+01
0.01,3400,0.9,2.000000e+02,3.026630e+01
0.01,3400,1,2.000000e+02,3.027560e+01
0.01,3400,1.2,2.000000e+02,3.029410e+01
0.01,3400,1.5,2.000000e+02,3.032170e+01
0.01,3400,1.9,2.000000e+02,3.035830e+01
0.01,3400,2.4,2.400000e+02,3.038800e+01
0.01,3400,3,3.000000e+02,3.040840e+01
0.01,3400,4,4.000000e+02,3.042860e+01
0.01,3400,5.5,5.500000e+02,3.044480e+01
0.01,3400,7.5,7.500000e+02,3.045620e+01
0.01,3400,10,1.000000e+03,3.046390e+01
0.01,3700,0,2.000000e+02,3.652900e+01
0.01,3700,0.02,2.000000e+02,3.653170e+01
0.01,3700,0.04,2.000000e+02,3.653450e+01
0.01,3700,0.07,2.000000e+02,3.653850e+01
0.01,3700,0.1,2.000000e+02,3.654260e+01
0.01,3700,0.15,2.000000e+02,3.654930e+01
0.01,3700,0.2,2.000000e+02,3.655610e+01
0.01,3700,0.25,2.000000e+02,3.656290e+01
0.01,3700,0.32,2.000000e+02,3.657230e+01
0.01,3700,0.4,2.000000e+02,3.658310e+01
0.01,3700,0.5,2.000000e+02,3.659650e+01
0.01,3700,0.6,2.000000e+02,3.660990e+01
0.01,3700,0.7,2.000000e+02,3.662330e+01
0.01,3700,0.8,2.000000e+02,3.663670e+01
0.01,3700,0.9,2.000000e+02,3.665000e+01
0.01,3700,1,2.000000e+02,3.666340e+01
0.01,3700,1.2,2.000000e+02,3.668990e+01
0.01,3700,1.5,2.000000e+02,3.672960e+01
0.01,3700,1.9,2.000000e+02,3.678210e+01
0.01,3700,2.4,2.400000e+02,3.681870e+01
0.01,3700,3,3.000000e+02,3.684200e+01
0.01,3700,4,4.000000e+02,3.686510e+01
0.01,3700,5.5,5.500000e+02,3.688390e+01
0.01,3700,7.5,7.500000e+02,3.689730e+01
0.01,3700,10,1.000000e+03,3.690640e+01
1,2000,0,1.748540e-01,6.417310e-01
1,2000,0.02,1.695400e-01,6.848630e-01
1,2000,0.04,1.635550e-01,7.183770e-01
1,2000,0.07,1.543820e-01,7.647780e-01
1,2000,0.1,1.451000e-01,8.083130e-01
1,2000,0.15,1.295040e-01,8.762750e-01
1,2000,0.2,1.138160e-01,9.396340e-01
1,2000,0.25,9.806870e-02,9.991250e-01
1,2000,0.32,7.595390e-02,1.076810e+00
1,2000,0.4,5.061130e-02,1.158630e+00
1,2000,0.5,1.886020e-02,1.251960e+00
1,2000,0.6,0.000000e+00,1.336740e+00
1,2000,0.7,0.000000e+00,1.414170e+00
