Bg,P_atm,Tw[K],B'c,hw[MJ/kg],C,H,O,N,CH4,CN,CO,CO2,C2,C2H,"C2H2,acetylene",C3,C4,"C4H2,butadiyne",C5,HCN,H2,H2O,N2,CH2OH,CNN,CNC,CNCOCN,C6H6,"C6H5OH,phenol",HNC,C(gr)
1.0,0.001,3.000000e+02,0.000000e+00,-5.762800e+00,1.502170e-114,3.104220e-36,6.285900e-75,9.719580e-79,1.767570e-01,1.529990e-70,1.096720e-10,8.342550e-03,1.271300e-132,2.610110e-92,1.188750e-40,1.855540e-132,6.383070e-170,2.723610e-77,1.502000e-171,6.399890e-24,5.465460e-04,4.458970e-01,3.684570e-01,4.906950e-44,1.261320e-109,4.376780e-112,3.394380e-81,3.688270e-39,9.078800e-48,2.120790e-34,1.000000e+00
1.0,0.001,3.250000e+02,0.000000e+00,-5.694600e+00,5.992150e-105,4.636900e-33,7.280350e-69,2.086230e-72,1.803320e-01,1.150800e-64,1.931680e-09,1.262480e-02,1.704390e-121,1.799530e-84,4.343470e-37,3.318940e-121,1.006670e-155,9.350600e-71,3.496050e-157,6.942540e-22,1.755540e-03,4.370530e-01,3.682340e-01,8.594800e-41,3.853590e-101,6.556250e-103,3.738160e-75,1.537760e-36,8.007220e-45,1.526160e-31,1.000000e+00
1.0,0.001,3.500000e+02,0.000000e+00,-5.621230e+00,1.023700e-96,2.460810e-30,1.139820e-63,5.599020e-67,1.835170e-01,1.256350e-59,2.240630e-08,1.760140e-02,5.975630e-112,9.522850e-78,4.960540e-34,1.479450e-111,1.511250e-143,3.804360e-65,7.347610e-145,3.869370e-20,4.822440e-03,4.263900e-01,3.676690e-01,5.138110e-38,7.240930e-94,4.838850e-95,5.615660e-70,2.696320e-34,2.651540e-42,4.317980e-29,1.000000e+00
1.0,0.001,3.750000e+02,0.000000e+00,-5.543210e+00,1.405130e-89,5.692590e-28,3.606780e-59,2.845240e-62,1.850290e-01,2.924970e-55,1.863940e-07,2.309620e-02,1.133040e-103,6.442240e-72,2.224810e-31,3.432750e-103,5.465930e-133,2.795610e-60,3.565190e-134,1.262450e-18,1.163830e-02,4.138240e-01,3.664130e-01,1.295960e-35,1.459710e-87,3.207760e-88,1.715210e-65,2.342460e-32,3.982360e-40,5.771850e-27,1.000000e+00
1.0,0.001,4.000000e+02,0.000000e+00,-5.459470e+00,2.484250e-83,6.684620e-26,3.121860e-55,3.735890e-58,1.830830e-01,1.937440e-51,1.186610e-06,2.903140e-02,2.003980e-96,8.160800e-67,4.640000e-29,7.205280e-96,9.560040e-124,5.078660e-56,8.078190e-125,2.655190e-17,2.512490e-02,3.988320e-01,3.639270e-01,1.612750e-33,4.788420e-82,2.995800e-82,1.436900e-61,1.132340e-30,3.106610e-38,4.177360e-25,1.000000e+00
1.0,0.001,4.250000e+02,0.000000e+00,-5.366810e+00,8.117240e-78,4.470940e-24,9.321860e-52,1.606960e-54,1.755430e-01,4.550090e-48,6.079300e-06,3.547610e-02,5.017060e-90,2.588690e-62,5.106760e-27,2.088200e-89,1.377910e-115,2.891950e-52,1.465210e-116,3.868280e-16,4.906100e-02,3.803990e-01,3.595160e-01,1.112210e-31,3.511860e-77,5.559310e-77,4.150260e-58,3.300180e-29,1.385310e-36,1.813630e-23,1.000000e+00
1.0,0.001,4.500000e+02,0.000000e+00,-5.259410e+00,6.491420e-73,1.860070e-22,1.150810e-48,2.722710e-51,1.604960e-01,4.495150e-45,2.608070e-05,4.267220e-02,2.459550e-84,2.574150e-58,3.262710e-25,1.161220e-83,2.477920e-108,6.189820e-49,3.235810e-109,4.120790e-15,8.713780e-02,3.571730e-01,3.524950e-01,4.633120e-30,7.368260e-73,2.677880e-72,4.937420e-55,6.114380e-28,3.770360e-35,5.106100e-22,1.000000e+00
1.0,0.001,4.750000e+02,0.000000e+00,-5.129090e+00,1.586080e-68,5.153260e-21,6.776910e-46,2.102100e-48,1.374030e-01,2.138510e-42,9.668930e-05,5.103000e-02,3.051090e-79,9.568760e-55,1.301130e-23,1.606800e-78,7.715090e-102,5.732190e-46,1.211830e-102,3.345890e-14,1.410090e-01,3.279070e-01,3.425550e-01,1.242850e-28,5.374510e-69,4.135770e-68,2.785310e-52,7.446020e-27,6.540930e-34,9.902110e-21,1.000000e+00
1.0,0.001,5.000000e+02,0.000000e+00,-4.966960e+00,1.414010e-64,1.003590e-19,2.132120e-43,8.317030e-46,1.083470e-01,5.463670e-40,3.173340e-04,6.102430e-02,1.175920e-74,1.530170e-51,3.429010e-22,6.811790e-74,5.405850e-96,2.568160e-43,1.003310e-96,2.141480e-13,2.079900e-01,2.921500e-01,3.301710e-01,2.253970e-27,1.595720e-65,2.427210e-64,8.345240e-50,6.103120e-26,7.458040e-33,1.388710e-19,1.000000e+00
1.0,0.001,5.250000e+02,0.000000e+00,-4.767830e+00,5.310650e-61,1.437360e-18,3.915790e-41,1.857170e-43,7.806810e-02,8.200470e-38,9.372450e-04,7.285280e-02,1.662770e-70,1.181060e-48,6.271630e-21,1.047120e-69,1.054130e-90,6.110060e-41,2.276470e-91,1.113300e-12,2.804880e-01,2.509570e-01,3.166970e-01,2.876850e-26,2.197350e-62,6.220290e-61,1.455180e-47,3.459680e-25,5.756880e-32,1.469150e-18,1.000000e+00
