P_atm,T_K,Bc_ss,Bg_ss,hw_ss_MJkg,Bc_Bg0,Bc_kmin,Bc_kmax,recession_over_mdote_m3_per_kg
0.01,300,7.634150e-02,1.387125e-02,-2.709074e+00,8.742740e-02,7.740018e-02,7.538923e-02,6.216734e-05
0.01,325,7.635579e-02,1.387385e-02,-2.684033e+00,8.742740e-02,7.741329e-02,7.540456e-02,6.217898e-05
0.01,350,7.637609e-02,1.387754e-02,-2.658770e+00,8.742740e-02,7.743191e-02,7.542634e-02,6.219552e-05
0.01,375,7.640508e-02,1.388280e-02,-2.633259e+00,8.742740e-02,7.745848e-02,7.545742e-02,6.221912e-05
0.01,400,7.644811e-02,1.389062e-02,-2.607450e+00,8.742760e-02,7.749795e-02,7.550356e-02,6.225416e-05
0.01,425,7.651384e-02,1.390257e-02,-2.581230e+00,8.742840e-02,7.755828e-02,7.557401e-02,6.230769e-05
0.01,450,7.661546e-02,1.392103e-02,-2.554436e+00,8.743120e-02,7.765166e-02,7.568283e-02,6.239044e-05
0.01,475,7.677128e-02,1.394934e-02,-2.526829e+00,8.744030e-02,7.779521e-02,7.584938e-02,6.251733e-05
0.01,500,7.700483e-02,1.399178e-02,-2.498078e+00,8.746620e-02,7.801131e-02,7.609816e-02,6.270751e-05
0.01,525,7.734532e-02,1.405364e-02,-2.467707e+00,8.753210e-02,7.832863e-02,7.645893e-02,6.298479e-05
0.01,550,7.783284e-02,1.414223e-02,-2.434995e+00,8.768580e-02,7.878783e-02,7.697127e-02,6.338179e-05
0.01,575,7.853216e-02,1.426929e-02,-2.398769e+00,8.801610e-02,7.945569e-02,7.769817e-02,6.395127e-05
0.01,600,7.955922e-02,1.445591e-02,-2.356956e+00,8.867750e-02,8.045157e-02,7.875256e-02,6.478764e-05
0.01,625,8.111765e-02,1.473908e-02,-2.306040e+00,8.991850e-02,8.198322e-02,8.033440e-02,6.605672e-05
0.01,650,8.353498e-02,1.517831e-02,-2.240583e+00,9.210920e-02,8.438229e-02,8.276748e-02,6.802522e-05
0.01,675,8.727730e-02,1.585828e-02,-2.153105e+00,9.575030e-02,8.811843e-02,8.651467e-02,7.107272e-05
0.01,700,9.291091e-02,1.688191e-02,-2.034948e+00,1.014280e-01,9.376019e-02,9.214017e-02,7.566035e-05
0.01,725,1.009532e-01,1.834320e-02,-1.878997e+00,1.096580e-01,1.018251e-01,1.001612e-01,8.220947e-05
0.01,750,1.115522e-01,2.026903e-02,-1.684944e+00,1.205450e-01,1.124567e-01,1.107326e-01,9.084052e-05
0.01,775,1.240174e-01,2.253396e-02,-1.465774e+00,1.333250e-01,1.249558e-01,1.231632e-01,1.009914e-04
0.01,800,1.366065e-01,2.482139e-02,-1.249256e+00,1.461720e-01,1.375759e-01,1.357233e-01,1.112430e-04
0.01,825,1.472161e-01,2.674916e-02,-1.065688e+00,1.569380e-01,1.482053e-01,1.463142e-01,1.198828e-04
0.01,850,1.546963e-01,2.810832e-02,-9.294407e-01,1.644860e-01,1.556951e-01,1.537853e-01,1.259742e-04
0.01,875,1.592890e-01,2.894281e-02,-8.350780e-01,1.690950e-01,1.602911e-01,1.583746e-01,1.297141e-04
0.01,900,1.618874e-01,2.941493e-02,-7.689744e-01,1.716880e-01,1.628900e-01,1.609724e-01,1.318301e-04
0.01,925,1.633074e-01,2.967295e-02,-7.192968e-01,1.730970e-01,1.643096e-01,1.623927e-01,1.329865e-04
0.01,950,1.640816e-01,2.981363e-02,-6.785158e-01,1.738600e-01,1.650831e-01,1.631675e-01,1.336170e-04
0.01,975,1.645081e-01,2.989112e-02,-6.424281e-01,1.742790e-01,1.655089e-01,1.635945e-01,1.339642e-04
0.01,1000,1.647487e-01,2.993485e-02,-6.087955e-01,1.745130e-01,1.657490e-01,1.638357e-01,1.341602e-04
0.01,1025,1.648875e-01,2.996006e-02,-5.764434e-01,1.746470e-01,1.658875e-01,1.639747e-01,1.342732e-04
0.01,1050,1.649692e-01,2.997490e-02,-5.447495e-01,1.747250e-01,1.659689e-01,1.640566e-01,1.343397e-04
0.01,1075,1.650187e-01,2.998390e-02,-5.133779e-01,1.747720e-01,1.660183e-01,1.641063e-01,1.343801e-04
0.01,1100,1.650494e-01,2.998948e-02,-4.821453e-01,1.748010e-01,1.660488e-01,1.641372e-01,1.344051e-04
