Tw_K,P_bar,M[kg/kmol],Cp[kJ/kg-K],h[J/kg],gamma[-],rho[kg/m3],mu[millipoise]
200,0.00101325,2.575290e+01,1.321060e+00,-5.940200e+06,1.323440e+00,1.569200e-03,8.941740e-02
225,0.00101325,2.575290e+01,1.352440e+00,-5.906790e+06,1.313580e+00,1.394840e-03,9.938210e-02
250,0.00101325,2.575290e+01,1.388780e+00,-5.872540e+06,1.302890e+00,1.255360e-03,1.092570e-01
275,0.00101325,2.575290e+01,1.431070e+00,-5.837300e+06,1.291340e+00,1.141240e-03,1.190290e-01
300,0.00101325,2.575280e+01,1.479700e+00,-5.800930e+06,1.279150e+00,1.046130e-03,1.286840e-01
325,0.00101325,2.575220e+01,1.538660e+00,-5.763240e+06,1.265970e+00,9.656360e-04,1.385850e-01
350,0.00101325,2.574920e+01,1.626530e+00,-5.723770e+06,1.249660e+00,8.965560e-04,1.484190e-01
375,0.00101325,2.573650e+01,1.802960e+00,-5.681200e+06,1.225340e+00,8.363730e-04,1.581980e-01
400,0.00101325,2.569280e+01,2.219670e+00,-5.631670e+06,1.189260e+00,7.827690e-04,1.679680e-01
425,0.00101325,2.556550e+01,3.190410e+00,-5.565650e+06,1.149650e+00,7.330740e-04,1.778610e-01
450,0.00101325,2.524980e+01,5.207240e+00,-5.463420e+06,1.123950e+00,6.837970e-04,1.881450e-01
475,0.00101325,2.459540e+01,8.622990e+00,-5.293300e+06,1.119730e+00,6.310190e-04,1.991800e-01
500,0.00101325,2.352470e+01,1.245610e+01,-5.027910e+06,1.130130e+00,5.733700e-04,2.110790e-01
525,0.00101325,2.226670e+01,1.326320e+01,-4.695950e+06,1.137900e+00,5.168660e-04,2.227560e-01
550,0.00101325,2.132440e+01,8.838320e+00,-4.410320e+06,1.135230e+00,4.724940e-04,2.331950e-01
575,0.00101325,2.085510e+01,7.664310e+00,-4.227530e+06,1.134170e+00,4.420050e-04,2.418530e-01
600,0.00101325,2.025180e+01,1.094240e+01,-3.991330e+06,1.138960e+00,4.113340e-04,2.501010e-01
625,0.00101325,1.959280e+01,9.348260e+00,-3.723500e+06,1.142480e+00,3.820300e-04,2.582860e-01
650,0.00101325,1.925400e+01,4.687130e+00,-3.552000e+06,1.161450e+00,3.609860e-04,2.661770e-01
675,0.00101325,1.912760e+01,4.540900e+00,-3.448670e+06,1.159600e+00,3.453330e-04,2.735440e-01
700,0.00101325,1.891430e+01,6.788280e+00,-3.305660e+06,1.144000e+00,3.292870e-04,2.804070e-01
725,0.00101325,1.859560e+01,8.448680e+00,-3.114510e+06,1.143860e+00,3.125740e-04,2.868850e-01
750,0.00101325,1.820410e+01,9.890720e+00,-2.884920e+06,1.147620e+00,2.957950e-04,2.930430e-01
775,0.00101325,1.776060e+01,1.112530e+01,-2.621680e+06,1.153000e+00,2.792790e-04,2.989130e-01
800,0.00101325,1.728750e+01,1.202910e+01,-2.331410e+06,1.158680e+00,2.633440e-04,3.045360e-01
825,0.00101325,1.681040e+01,1.247100e+01,-2.024090e+06,1.163670e+00,2.483160e-04,3.099720e-01
850,0.00101325,1.635480e+01,1.238220e+01,-1.712310e+06,1.167360e+00,2.344810e-04,3.152960e-01
875,0.00101325,1.594180e+01,1.179730e+01,-1.409140e+06,1.169700e+00,2.220290e-04,3.205910e-01
900,0.00101325,1.558430e+01,1.085080e+01,-1.125470e+06,1.171150e+00,2.110210e-04,3.259240e-01
925,0.00101325,1.528680e+01,9.731270e+00,-8.680400e+05,1.172300e+00,2.013990e-04,3.313440e-01
950,0.00101325,1.504640e+01,8.623470e+00,-6.387990e+05,1.173560e+00,1.930150e-04,3.368750e-01
975,0.00101325,1.485550e+01,7.672300e+00,-4.355480e+05,1.174700e+00,1.856800e-04,3.425200e-01
1000,0.00101325,1.470410e+01,6.978570e+00,-2.530310e+05,1.174630e+00,1.791930e-04,3.482750e-01
1025,0.00101325,1.458150e+01,6.616540e+00,-8.385830e+04,1.171690e+00,1.733640e-04,3.539130e-01
1050,0.00101325,1.447660e+01,6.662090e+00,8.118510e+04,1.164450e+00,1.680190e-04,3.596470e-01
1075,0.00101325,1.437830e+01,7.214610e+00,2.534590e+05,1.153110e+00,1.629980e-04,3.654900e-01
1100,0.00101325,1.427450e+01,8.414080e+00,4.472950e+05,1.140140e+00,1.581430e-04,3.714720e-01
1125,0.00101325,1.415160e+01,1.044030e+01,6.810520e+05,1.129030e+00,1.532980e-04,3.776390e-01
1150,0.00101325,1.399460e+01,1.346120e+01,9.776450e+05,1.122520e+00,1.483010e-04,3.840450e-01
1175,0.00101325,1.378910e+01,1.743080e+01,1.362210e+06,1.121650e+00,1.430140e-04,3.907310e-01
1200,0.00101325,1.352900e+01,2.152670e+01,1.850730e+06,1.125160e+00,1.373940e-04,3.976710e-01
1225,0.00101325,1.323390e+01,2.329610e+01,2.419550e+06,1.128800e+00,1.316540e-04,4.046920e-01
1250,0.00101325,1.296280e+01,1.975770e+01,2.969730e+06,1.128580e+00,1.263770e-04,4.114570e-01
1275,0.00101325,1.277970e+01,1.270960e+01,3.376800e+06,1.132680e+00,1.221500e-04,4.176990e-01
1300,0.00101325,1.268810e+01,7.365440e+00,3.621160e+06,1.156840e+00,1.189420e-04,4.234720e-01
1325,0.00101325,1.264920e+01,4.848790e+00,3.769220e+06,1.195980e+00,1.163400e-04,4.289840e-01
1350,0.00101325,1.263280e+01,3.867660e+00,3.876200e+06,1.227970e+00,1.140380e-04,4.343750e-01
1375,0.00101325,1.262520e+01,3.500380e+00,3.967560e+06,1.244830e+00,1.118970e-04,4.397030e-01
1400,0.00101325,1.262120e+01,3.362650e+00,4.053070e+06,1.251690e+00,1.098640e-04,4.449910e-01
1425,0.00101325,1.261880e+01,3.313810e+00,4.136410e+06,1.253750e+00,1.079160e-04,4.502470e-01
1450,0.00101325,1.261700e+01,3.303020e+00,4.219070e+06,1.253620e+00,1.060400e-04,4.554740e-01
