Bg,P_atm,Tw[K],B'c,hw[MJ/kg],C,H,O,N,CH4,CN,CO,CO2,C2,C2H,"C2H2,acetylene",C3,C4,"C4H2,butadiyne",C5,HCN,H2,H2O,N2,CH2OH,CNN,CNC,CNCOCN,C6H6,HNC,C(gr)
5.0,0.001,3.000000e+02,0.000000e+00,-1.007310e+01,1.502170e-114,2.441860e-36,1.695010e-74,5.713490e-79,6.767800e-02,8.993800e-71,2.957330e-10,6.066080e-02,1.271300e-132,2.053180e-92,7.355740e-41,1.855540e-132,6.383070e-170,1.685310e-77,1.502000e-171,2.959330e-24,3.381910e-04,7.440040e-01,1.273190e-01,6.440510e-44,4.358470e-110,2.572820e-112,3.162810e-81,8.738370e-40,9.806610e-35,1.000000e+00
5.0,0.001,3.250000e+02,0.000000e+00,-9.860120e+00,5.992150e-105,3.801320e-33,1.772800e-68,1.226470e-72,8.145170e-02,6.765410e-65,4.703730e-09,7.485830e-02,1.704390e-121,1.475250e-84,2.919100e-37,3.318940e-121,1.006670e-155,6.284240e-71,3.496050e-157,3.345940e-22,1.179840e-03,7.152440e-01,1.272660e-01,1.153090e-40,1.331840e-101,3.854330e-103,3.145960e-75,4.667960e-37,7.355280e-32,1.000000e+00
5.0,0.001,3.500000e+02,0.000000e+00,-9.656680e+00,1.023700e-96,2.083200e-30,2.560230e-63,3.292240e-67,9.425140e-02,7.387400e-60,5.032840e-08,8.880430e-02,5.975630e-112,8.061570e-78,3.554960e-34,1.479450e-111,1.511250e-143,2.726390e-65,7.347610e-145,1.926070e-20,3.455990e-03,6.863670e-01,1.271210e-01,7.001740e-38,2.503540e-94,2.845260e-95,4.361180e-70,9.924070e-35,2.149380e-29,1.000000e+00
5.0,0.001,3.750000e+02,0.000000e+00,-9.463110e+00,1.405130e-89,4.942710e-28,7.594250e-59,1.673640e-62,1.051620e-01,1.720540e-55,3.924620e-07,1.023930e-01,1.133040e-103,5.593610e-72,1.677270e-31,3.432750e-103,5.465930e-133,2.107600e-60,3.565190e-134,6.447810e-19,8.774020e-03,6.568880e-01,1.267820e-01,1.786170e-35,5.050740e-88,1.886890e-88,1.249600e-65,1.003700e-32,2.947910e-27,1.000000e+00
5.0,0.001,4.000000e+02,0.000000e+00,-9.276920e+00,2.484250e-83,5.924550e-26,6.232810e-55,2.198960e-58,1.129700e-01,1.140380e-51,2.369070e-06,1.157200e-01,2.003980e-96,7.232880e-67,3.644810e-29,7.205280e-96,9.560040e-124,3.989390e-56,8.078190e-125,1.385150e-17,1.973610e-02,6.254870e-01,1.260840e-01,2.241690e-33,1.658970e-82,1.763340e-82,9.939030e-62,5.488430e-31,2.179230e-25,1.000000e+00
5.0,0.001,4.250000e+02,0.000000e+00,-9.092960e+00,8.117240e-78,4.032240e-24,1.777860e-51,9.467880e-55,1.161380e-01,2.680820e-48,1.159440e-05,1.290410e-01,5.017060e-90,2.334680e-62,4.153750e-27,2.088200e-89,1.377910e-115,2.352270e-52,1.465210e-116,2.055480e-16,3.990540e-02,5.901050e-01,1.247990e-01,1.556050e-31,1.219080e-77,3.275430e-77,2.747670e-58,1.775920e-29,9.637020e-24,1.000000e+00
5.0,0.001,4.500000e+02,0.000000e+00,-8.903290e+00,6.491420e-73,1.704200e-22,2.104610e-48,1.606250e-51,1.130930e-01,2.651890e-45,4.769650e-05,1.427180e-01,2.459550e-84,2.358450e-58,2.738820e-25,1.161220e-83,2.477920e-108,5.195930e-49,3.235810e-109,2.227330e-15,7.314620e-02,5.483150e-01,1.226810e-01,6.516560e-30,2.564410e-73,1.579800e-72,3.142600e-55,3.616670e-28,2.759900e-22,1.000000e+00
5.0,0.001,4.750000e+02,0.000000e+00,-8.697280e+00,1.586080e-68,4.794510e-21,1.189260e-45,1.241880e-48,1.029550e-01,1.263390e-42,1.696780e-04,1.571510e-01,3.051090e-79,8.902630e-55,1.126280e-23,1.606800e-78,7.715090e-102,4.961870e-46,1.211830e-102,1.839080e-14,1.220600e-01,4.981060e-01,1.195580e-01,1.756520e-28,1.875810e-69,2.443330e-68,1.705970e-52,4.829480e-27,5.442720e-21,1.000000e+00
5.0,0.001,5.000000e+02,0.000000e+00,-8.462860e+00,1.414010e-64,9.486360e-20,3.586050e-43,4.918610e-46,8.649510e-02,3.231160e-40,5.337290e-04,1.726280e-01,1.175920e-74,1.446380e-51,3.063760e-22,6.811790e-74,5.405850e-96,2.294610e-43,1.003310e-96,1.197100e-13,1.858350e-01,4.390330e-01,1.154750e-01,3.201710e-27,5.580900e-66,1.435420e-64,4.908980e-50,4.353230e-26,7.762970e-20,1.000000e+00
5.0,0.001,5.250000e+02,0.000000e+00,-8.190440e+00,5.310650e-61,1.381110e-18,6.307380e-41,1.098280e-43,6.654500e-02,4.849550e-38,1.509670e-03,1.890190e-01,1.662770e-70,1.134840e-48,5.790310e-21,1.047120e-69,1.054130e-90,5.641130e-41,2.276470e-91,6.326110e-13,2.589610e-01,3.732080e-01,1.107570e-01,4.110820e-26,7.684660e-63,3.678520e-61,8.197340e-48,2.722690e-25,8.348140e-19,1.000000e+00
5.0,0.001,5.500000e+02,0.000000e+00,-7.878150e+00,9.451540e-58,1.538700e-17,6.946740e-39,1.497120e-41,4.699590e-02,4.599720e-36,3.885720e-03,2.053760e-01,9.884180e-67,4.735530e-46,7.949280e-20,6.700040e-66,6.806800e-86,7.992720e-39,1.687670e-86,2.789420e-12,3.326020e-01,3.052230e-01,1.059170e-01,3.861950e-25,5.455860e-60,4.610390e-58,8.558310e-46,1.224340e-24,7.026640e-18,1.000000e+00
5.0,0.001,5.750000e+02,0.000000e+00,-7.531790e+00,8.784870e-55,1.358920e-16,5.069640e-37,1.331020e-39,3.087800e-02,2.932200e-34,9.172100e-03,2.197120e-01,2.764290e-63,1.141450e-43,8.271890e-19,1.999940e-62,1.680420e-81,7.017390e-37,4.727630e-82,1.053180e-11,3.982860e-01,2.405550e-01,1.013980e-01,2.757320e-24,2.185270e-57,3.107350e-55,5.933740e-44,4.146740e-24,4.789990e-17,1.000000e+00
5.0,0.001,6.000000e+02,0.000000e+00,-7.154490e+00,4.624220e-52,9.817790e-16,2.565730e-35,8.149260e-38,1.924570e-02,1.321510e-32,1.995290e-02,2.291890e-01,3.995060e-60,1.706130e-41,6.787920e-18,3.062650e-59,1.787940e-77,4.072560e-35,5.649010e-78,3.483870e-11,4.508300e-01,1.834170e-01,9.736590e-02,1.551300e-23,5.314900e-55,1.218080e-52,2.864230e-42,1.113300e-23,2.724630e-16,1.000000e+00
5.0,0.001,6.250000e+02,0.000000e+00,-6.733720e+00,1.475650e-49,5.960980e-15,9.341300e-34,3.592010e-36,1.159000e-02,4.388060e-31,4.010370e-02,2.304850e-01,3.228700e-57,1.679370e-39,4.545920e-17,2.606250e-56,9.067370e-74,1.651180e-33,3.188020e-74,1.028520e-10,4.884700e-01,1.356650e-01,9.368640e-02,7.089280e-23,8.328010e-53,2.962350e-50,9.973500e-41,2.480620e-23,1.324990e-15,1.000000e+00
5.0,0.001,6.500000e+02,0.000000e+00,-6.238540e+00,3.024120e-47,3.109650e-14,2.517210e-32,1.182080e-34,6.830210e-03,1.110310e-29,7.444300e-02,2.201850e-01,1.559960e-54,1.144620e-37,2.554300e-16,1.318690e-53,2.386850e-70,4.894400e-32,9.262920e-71,2.747530e-10,5.113170e-01,9.717960e-02,9.004530e-02,2.687380e-22,8.818160e-51,4.715190e-48,2.568980e-39,4.749170e-23,5.612590e-15,1.000000e+00
5.0,0.001,6.750000e+02,0.000000e+00,-5.633720e+00,4.180330e-45,1.419000e-13,5.122500e-31,2.994260e-33,3.967360e-03,2.202150e-28,1.270530e-01,1.956980e-01,4.769950e-52,5.633150e-36,1.230620e-15,4.202540e-51,3.507020e-67,1.100560e-30,1.491360e-67,6.709970e-10,5.202360e-01,6.691910e-02,8.612770e-02,8.543800e-22,6.564840e-49,5.138470e-46,4.975270e-38,8.002040e-23,2.101170e-14,1.000000e+00
5.0,0.001,7.000000e+02,0.000000e+00,-4.912130e+00,4.065410e-43,5.751400e-13,7.969480e-30,5.996810e-32,2.284560e-03,3.509890e-27,1.976270e-01,1.573880e-01,9.692660e-50,2.074770e-34,5.178420e-15,8.863110e-49,3.061090e-64,1.937400e-29,1.417130e-64,1.512360e-09,5.170720e-01,4.379370e-02,8.183570e-02,2.287680e-21,3.559960e-47,3.987710e-44,7.320310e-37,1.210630e-22,7.043210e-14,1.000000e+00
5.0,0.001,7.250000e+02,0.000000e+00,-4.134470e+00,2.884350e-41,2.101210e-12,9.552830e-29,9.741010e-31,1.318700e-03,4.603900e-26,2.772630e-01,1.111950e-01,1.365210e-47,5.907430e-33,1.939700e-14,1.290860e-46,1.674860e-61,2.751900e-28,8.391590e-62,3.183900e-09,5.057630e-01,2.697470e-02,7.748520e-02,5.186600e-21,1.456530e-45,2.285150e-42,8.271710e-36,1.688510e-22,2.146140e-13,1.000000e+00
5.0,0.001,7.500000e+02,0.000000e+00,-3.429350e+00,1.540670e-39,7.024740e-12,8.929180e-28,1.315860e-29,7.776580e-04,5.088470e-25,3.495530e-01,6.798110e-02,1.382470e-45,1.340500e-31,6.605810e-14,1.347210e-44,6.018320e-59,3.253000e-27,3.246140e-59,6.360060e-09,4.922840e-01,1.566360e-02,7.374070e-02,1.012740e-20,4.662840e-44,1.000770e-40,7.327400e-35,2.252880e-22,6.055040e-13,1.000000e+00
5.0,0.001,7.750000e+02,1.535830e-01,-2.907990e+00,6.367950e-38,2.178140e-11,6.685810e-27,1.511390e-28,4.768360e-04,4.839140e-24,4.012740e-01,3.668180e-02,1.039040e-43,2.490120e-30,2.084520e-13,1.040510e-42,1.479110e-56,3.289270e-26,8.547220e-57,1.222880e-08,4.817130e-01,8.733620e-03,7.112070e-02,1.758520e-20,1.206520e-42,3.452740e-39,5.270440e-34,2.974240e-22,1.608400e-12,1.000000e+00
5.0,0.001,8.000000e+02,2.532960e-01,-2.580230e+00,2.086110e-36,6.320090e-11,4.174740e-26,1.500420e-27,3.052860e-04,4.020770e-23,4.314590e-01,1.837650e-02,5.959930e-42,3.865710e-29,6.162370e-13,6.117140e-41,2.576210e-54,2.897930e-25,1.587960e-54,2.278490e-08,4.754580e-01,4.804550e-03,6.959710e-02,2.815730e-20,2.580300e-41,9.607480e-38,3.208090e-33,3.934990e-22,4.057840e-12,1.000000e+00
