Tw_K,P_bar,Bg,Bc
300,0.00101325,0,8.742740e-02
325,0.00101325,0,8.742740e-02
350,0.00101325,0,8.742740e-02
375,0.00101325,0,8.742750e-02
400,0.00101325,0,8.742810e-02
425,0.00101325,0,8.743050e-02
450,0.00101325,0,8.743950e-02
475,0.00101325,0,8.746820e-02
500,0.00101325,0,8.754990e-02
525,0.00101325,0,8.775820e-02
550,0.00101325,0,8.824230e-02
575,0.00101325,0,8.927820e-02
600,0.00101325,0,9.133150e-02
625,0.00101325,0,9.510760e-02
650,0.00101325,0,1.015200e-01
675,0.00101325,0,1.114260e-01
700,0.00101325,0,1.249220e-01
725,0.00101325,0,1.403370e-01
750,0.00101325,0,1.542730e-01
775,0.00101325,0,1.640120e-01
800,0.00101325,0,1.695160e-01
825,0.00101325,0,1.722670e-01
850,0.00101325,0,1.735820e-01
875,0.00101325,0,1.742110e-01
900,0.00101325,0,1.745180e-01
925,0.00101325,0,1.746730e-01
950,0.00101325,0,1.747530e-01
975,0.00101325,0,1.747970e-01
1000,0.00101325,0,1.748200e-01
1025,0.00101325,0,1.748340e-01
1050,0.00101325,0,1.748420e-01
1075,0.00101325,0,1.748470e-01
1100,0.00101325,0,1.748490e-01
1125,0.00101325,0,1.748510e-01
1150,0.00101325,0,1.748520e-01
1175,0.00101325,0,1.748530e-01
1200,0.00101325,0,1.748540e-01
1225,0.00101325,0,1.748540e-01
1250,0.00101325,0,1.748540e-01
1275,0.00101325,0,1.748540e-01
1300,0.00101325,0,1.748550e-01
1325,0.00101325,0,1.748550e-01
1350,0.00101325,0,1.748550e-01
1375,0.00101325,0,1.748550e-01
1400,0.00101325,0,1.748550e-01
1425,0.00101325,0,1.748550e-01
1450,0.00101325,0,1.748550e-01
1475,0.00101325,0,1.748550e-01
1500,0.00101325,0,1.748550e-01
1525,0.00101325,0,1.748550e-01
1550,0.00101325,0,1.748550e-01
1575,0.00101325,0,1.748550e-01
1600,0.00101325,0,1.748550e-01
1625,0.00101325,0,1.748550e-01
1650,0.00101325,0,1.748550e-01
1675,0.00101325,0,1.748550e-01
1700,0.00101325,0,1.748550e-01
1725,0.00101325,0,1.748550e-01
1750,0.00101325,0,1.748550e-01
1775,0.00101325,0,1.748550e-01
1800,0.00101325,0,1.748550e-01
1825,0.00101325,0,1.748550e-01
1850,0.00101325,0,1.748560e-01
1875,0.00101325,0,1.748560e-01
1900,0.00101325,0,1.748570e-01
1925,0.00101325,0,1.748580e-01
1950,0.00101325,0,1.748590e-01
1975,0.00101325,0,1.748610e-01
2000,0.00101325,0,1.748630e-01
2025,0.00101325,0,1.748660e-01
2050,0.00101325,0,1.748700e-01
2075,0.00101325,0,1.748760e-01
2100,0.00101325,0,1.748830e-01
2125,0.00101325,0,1.748930e-01
2150,0.00101325,0,1.749060e-01
2175,0.00101325,0,1.749220e-01
2200,0.00101325,0,1.749440e-01
2225,0.00101325,0,1.749730e-01
2250,0.00101325,0,1.750110e-01
2275,0.00101325,0,1.750590e-01
2300,0.00101325,0,1.751230e-01
2325,0.00101325,0,1.752050e-01
2350,0.00101325,0,1.753130e-01
2375,0.00101325,0,1.754540e-01
2400,0.00101325,0,1.756380e-01
2425,0.00101325,0,1.758800e-01
2450,0.00101325,0,1.761990e-01
2475,0.00101325,0,1.766200e-01
2500,0.00101325,0,1.771760e-01
2525,0.00101325,0,1.779150e-01
2550,0.00101325,0,1.788970e-01
2575,0.00101325,0,1.802050e-01
2600,0.00101325,0,1.819500e-01
2625,0.00101325,0,1.842800e-01
2650,0.00101325,0,1.873940e-01
2675,0.00101325,0,1.915560e-01
2700,0.00101325,0,1.971240e-01
2725,0.00101325,0,2.045770e-01
2750,0.00101325,0,2.145630e-01
2775,0.00101325,0,2.279670e-01
2800,0.00101325,0,2.460090e-01
2825,0.00101325,0,2.704000e-01
2850,0.00101325,0,3.035910e-01
2875,0.00101325,0,3.492040e-01
2900,0.00101325,0,4.127860e-01
2925,0.00101325,0,5.032830e-01
2950,0.00101325,0,6.360980e-01
2975,0.00101325,0,8.402160e-01
3000,0.00101325,0,1.177460e+00
3025,0.00101325,0,1.807330e+00
3050,0.00101325,0,3.303730e+00
3075,0.00101325,0,1.036840e+01
3100,0.00101325,0,2.000000e+02
3125,0.00101325,0,2.000000e+02
3150,0.00101325,0,2.000000e+02
3175,0.00101325,0,2.000000e+02
3200,0.00101325,0,2.000000e+02
3225,0.00101325,0,2.000000e+02
3250,0.00101325,0,2.000000e+02
3275,0.00101325,0,2.000000e+02
3300,0.00101325,0,2.000000e+02
3325,0.00101325,0,2.000000e+02
3350,0.00101325,0,2.000000e+02
