P_atm,T_K,Bc_ss,Bg_ss,hw_ss_MJkg,Bc_Bg0,recession_over_mdote_m3_per_kg
0.01,300,3.409722e-02,1.363889e-01,-3.428688e+00,8.742740e-02,1.339534e-04
0.01,325,3.425544e-02,1.370217e-01,-3.404273e+00,8.742740e-02,1.345749e-04
0.01,350,3.446227e-02,1.378491e-01,-3.380200e+00,8.742740e-02,1.353875e-04
0.01,375,3.472214e-02,1.388886e-01,-3.356388e+00,8.742740e-02,1.364084e-04
0.01,400,3.504256e-02,1.401703e-01,-3.332663e+00,8.742760e-02,1.376672e-04
0.01,425,3.543606e-02,1.417443e-01,-3.308731e+00,8.742840e-02,1.392131e-04
0.01,450,3.592134e-02,1.436854e-01,-3.284141e+00,8.743120e-02,1.411195e-04
0.01,475,3.652232e-02,1.460893e-01,-3.258275e+00,8.744030e-02,1.434806e-04
0.01,500,3.726651e-02,1.490660e-01,-3.230357e+00,8.746620e-02,1.464041e-04
0.01,525,3.820038e-02,1.528015e-01,-3.199053e+00,8.753210e-02,1.500729e-04
0.01,550,3.934606e-02,1.573843e-01,-3.163874e+00,8.768580e-02,1.545738e-04
0.01,575,4.073865e-02,1.629546e-01,-3.124453e+00,8.801610e-02,1.600447e-04
0.01,600,4.245138e-02,1.698055e-01,-3.080092e+00,8.867750e-02,1.667733e-04
0.01,625,4.462398e-02,1.784959e-01,-3.029426e+00,8.991850e-02,1.753085e-04
0.01,650,4.751349e-02,1.900540e-01,-2.969784e+00,9.210920e-02,1.866601e-04
0.01,675,5.156052e-02,2.062421e-01,-2.895614e+00,9.575030e-02,2.025592e-04
0.01,700,5.743609e-02,2.297443e-01,-2.799324e+00,1.014280e-01,2.256418e-04
0.01,725,6.606620e-02,2.642648e-01,-2.674405e+00,1.096580e-01,2.595458e-04
0.01,750,7.855690e-02,3.142276e-01,-2.515422e+00,1.205450e-01,3.086164e-04
0.01,775,9.578460e-02,3.831384e-01,-2.321391e+00,1.333250e-01,3.762966e-04
0.01,800,1.174613e-01,4.698451e-01,-2.108239e+00,1.461720e-01,4.614550e-04
0.01,825,1.411030e-01,5.644120e-01,-1.903491e+00,1.569380e-01,5.543332e-04
0.01,850,1.626055e-01,6.504220e-01,-1.731330e+00,1.644860e-01,6.388073e-04
0.01,875,1.789252e-01,7.157008e-01,-1.601099e+00,1.690950e-01,7.029204e-04
0.01,900,1.896906e-01,7.587622e-01,-1.504810e+00,1.716880e-01,7.452129e-04
0.01,925,1.962187e-01,7.848747e-01,-1.432609e+00,1.730970e-01,7.708591e-04
0.01,950,2.000276e-01,8.001104e-01,-1.374344e+00,1.738600e-01,7.858227e-04
0.01,975,2.022298e-01,8.089192e-01,-1.323396e+00,1.742790e-01,7.944742e-04
0.01,1000,2.035145e-01,8.140578e-01,-1.276916e+00,1.745130e-01,7.995211e-04
0.01,1025,2.042739e-01,8.170955e-01,-1.232883e+00,1.746470e-01,8.025045e-04
0.01,1050,2.047338e-01,8.189351e-01,-1.190196e+00,1.747250e-01,8.043113e-04
0.01,1075,2.050171e-01,8.200685e-01,-1.148240e+00,1.747720e-01,8.054244e-04
0.01,1100,2.051967e-01,8.207870e-01,-1.106653e+00,1.748010e-01,8.061301e-04
0.01,1125,2.053131e-01,8.212524e-01,-1.065235e+00,1.748190e-01,8.065872e-04
0.01,1150,2.053921e-01,8.215685e-01,-1.023879e+00,1.748310e-01,8.068977e-04
0.01,1175,2.054475e-01,8.217898e-01,-9.824982e-01,1.748380e-01,8.071150e-04
0.01,1200,2.054894e-01,8.219574e-01,-9.410552e-01,1.748430e-01,8.072796e-04
0.01,1225,2.055228e-01,8.220911e-01,-8.995199e-01,1.748470e-01,8.074109e-04
0.01,1250,2.055527e-01,8.222107e-01,-8.578745e-01,1.748490e-01,8.075284e-04
0.01,1275,2.055814e-01,8.223257e-01,-8.161052e-01,1.748510e-01,8.076413e-04
0.01,1300,2.056102e-01,8.224406e-01,-7.742000e-01,1.748520e-01,8.077542e-04
