Tw_K,P_bar,M[kg/mol],Cp[J/kg-K],h[J/kg],gamma[-],rho[kg/m3],mu[Pa-s]
200,0.00101325,2.772030e-02,1.191100e+03,-8.321660e+06,1.336570e+00,1.689080e-03,1.026650e-05
225,0.00101325,2.772030e-02,1.214550e+03,-8.291600e+06,1.327950e+00,1.501400e-03,1.132950e-05
250,0.00101325,2.772030e-02,1.241000e+03,-8.260910e+06,1.318770e+00,1.351260e-03,1.237060e-05
275,0.00101325,2.771990e-02,1.272420e+03,-8.229510e+06,1.308670e+00,1.228400e-03,1.338930e-05
300,0.00101325,2.771830e-02,1.312850e+03,-8.197220e+06,1.297050e+00,1.125970e-03,1.438440e-05
325,0.00101325,2.771320e-02,1.371620e+03,-8.163710e+06,1.282770e+00,1.039170e-03,1.545290e-05
350,0.00101325,2.769890e-02,1.467020e+03,-8.128330e+06,1.264390e+00,9.644420e-04,1.650860e-05
375,0.00101325,2.766450e-02,1.629150e+03,-8.089810e+06,1.241310e+00,8.990280e-04,1.754340e-05
400,0.00101325,2.759150e-02,1.899900e+03,-8.045970e+06,1.215470e+00,8.406140e-04,1.854190e-05
425,0.00101325,2.745270e-02,2.325890e+03,-7.993520e+06,1.191250e+00,7.871880e-04,1.947900e-05
450,0.00101325,2.721560e-02,2.941310e+03,-7.928090e+06,1.172890e+00,7.370340e-04,2.032080e-05
475,0.00101325,2.685140e-02,3.750570e+03,-7.844830e+06,1.161600e+00,6.888990e-04,2.103260e-05
500,0.00101325,2.634670e-02,4.767720e+03,-7.738880e+06,1.154730e+00,6.421520e-04,2.159900e-05
525,0.00101325,2.569650e-02,6.251570e+03,-7.602760e+06,1.147830e+00,5.964810e-04,2.195260e-05
550,0.00101325,2.484680e-02,9.141240e+03,-7.414780e+06,1.143040e+00,5.505400e-04,2.225110e-05
575,0.00101325,2.362980e-02,1.475140e+04,-7.122570e+06,1.153640e+00,5.008110e-04,2.256390e-05
600,0.00101325,2.188890e-02,2.290320e+04,-6.655230e+06,1.182770e+00,4.445840e-04,2.295830e-05
625,0.00101325,1.975420e-02,3.066950e+04,-5.979860e+06,1.213590e+00,3.851780e-04,2.354420e-05
650,0.00101325,1.767090e-02,3.291920e+04,-5.168270e+06,1.223030e+00,3.313040e-04,2.453650e-05
675,0.00101325,1.608780e-02,2.689520e+04,-4.405330e+06,1.204480e+00,2.904530e-04,2.583600e-05
700,0.00101325,1.514570e-02,1.675070e+04,-3.858220e+06,1.178960e+00,2.636770e-04,2.710610e-05
725,0.00101325,1.470630e-02,8.416010e+03,-3.551580e+06,1.177810e+00,2.471990e-04,2.814080e-05
750,0.00101325,1.454880e-02,4.238510e+03,-3.401530e+06,1.223480e+00,2.364010e-04,2.897670e-05
775,0.00101325,1.450240e-02,2.847450e+03,-3.316470e+06,1.283780e+00,2.280450e-04,2.972490e-05
800,0.00101325,1.448930e-02,2.463610e+03,-3.251110e+06,1.314980e+00,2.207190e-04,3.044620e-05
825,0.00101325,1.448550e-02,2.361760e+03,-3.191070e+06,1.324810e+00,2.139750e-04,3.115970e-05
