Bg,P_atm,Tw[K],B'c,hw[MJ/kg],C,H,O,N,CH4,CN,CO,CO2,C2,C2H,"C2H2,acetylene",C3,C4,"C4H2,butadiyne",C5,HCN,H2,H2O,N2,CH2OH,CNN,CNC,CNCOCN,C6H6,CH,CH2,CH3,C2H4,C2H6,"C3H3,1-propynl","C3H3,2-propynl","C6H5O,phenoxy","C6H5OH,phenol",O2,OH,C(gr)
1.0,0.001,3.000000e+02,0.000000e+00,-6.745390e+00,1.502170e-114,1.660640e-36,2.414500e-74,9.767740e-79,1.447660e-02,1.537570e-70,4.212640e-10,1.230880e-01,1.271300e-132,1.396310e-92,3.402010e-41,1.855540e-132,6.383070e-170,7.794530e-78,1.502000e-171,3.440660e-24,1.564130e-04,4.901610e-01,3.721170e-01,2.885620e-44,1.273850e-109,4.398470e-112,1.316780e-80,8.644890e-41,2.732850e-99,1.808170e-69,7.111510e-34,2.836620e-23,1.198130e-12,2.566700e-84,1.507990e-63,1.800530e-67,8.173790e-49,2.655130e-70,4.417670e-43,1.000000e+00
1.0,0.001,3.250000e+02,0.000000e+00,-6.665920e+00,5.992150e-105,2.705160e-33,2.333490e-68,2.096970e-72,2.088980e-02,1.156730e-64,6.191400e-09,1.296980e-01,1.704390e-121,1.049840e-84,1.478310e-37,3.318940e-121,1.006670e-155,3.182510e-71,3.496050e-157,4.071110e-22,5.975030e-04,4.767800e-01,3.720350e-01,5.469960e-41,3.893370e-101,6.590000e-103,1.210520e-74,6.062850e-38,5.363360e-91,1.166920e-63,4.861290e-31,2.061240e-21,4.922050e-12,2.024800e-77,3.120210e-58,9.726500e-63,1.011870e-45,5.215310e-65,1.208450e-39,1.000000e+00
1.0,0.001,3.500000e+02,0.000000e+00,-6.581850e+00,1.023700e-96,1.532990e-30,3.180140e-63,5.630380e-67,2.763870e-02,1.263390e-59,6.251430e-08,1.370150e-01,5.975630e-112,5.932360e-78,1.925090e-34,1.479450e-111,1.511250e-143,1.476400e-65,7.347610e-145,2.423960e-20,1.871490e-03,4.616770e-01,3.717980e-01,3.465730e-38,7.322250e-94,4.865950e-95,1.584390e-69,1.575920e-35,6.879370e-84,1.103960e-58,1.282500e-28,7.841740e-20,1.565140e-11,1.617190e-71,1.107050e-53,1.064590e-58,4.323840e-43,1.814890e-60,1.069420e-36,1.000000e+00
1.0,0.001,3.750000e+02,0.000000e+00,-6.493990e+00,1.405130e-89,3.729530e-28,9.032750e-59,2.863830e-62,3.408920e-02,2.944080e-55,4.668020e-07,1.448570e-01,1.133040e-103,4.220670e-72,9.549520e-32,3.432750e-103,5.465930e-133,1.199960e-60,3.565190e-134,8.325030e-19,4.995470e-03,4.448410e-01,3.712170e-01,9.126960e-36,1.478850e-87,3.228720e-88,4.351850e-65,1.852410e-33,9.938840e-78,2.244900e-54,1.577910e-26,1.776920e-18,4.053170e-11,2.064980e-66,9.569130e-50,3.248190e-55,7.886910e-41,1.579560e-56,3.831650e-34,1.000000e+00
1.0,0.001,4.000000e+02,0.000000e+00,-6.401210e+00,2.484250e-83,4.555770e-26,7.172440e-55,3.766800e-58,3.949920e-02,1.953470e-51,2.726220e-06,1.532410e-01,2.003980e-96,5.561830e-67,2.155200e-29,7.205280e-96,9.560040e-124,2.358950e-56,8.078190e-125,1.824560e-17,1.167010e-02,4.256120e-01,3.699740e-01,1.172940e-33,4.867990e-82,3.020590e-82,3.356130e-61,1.134710e-31,2.430160e-72,1.304550e-50,1.039810e-24,2.629210e-17,8.816540e-11,5.917610e-62,2.613220e-46,3.489970e-52,7.152390e-39,4.458310e-53,6.573240e-32,1.000000e+00
1.0,0.001,4.250000e+02,0.000000e+00,-6.300390e+00,8.117240e-78,3.145270e-24,1.994180e-51,1.624990e-54,4.299500e-02,4.601130e-48,1.300510e-05,1.623520e-01,5.017060e-90,1.821120e-62,2.527340e-27,2.088200e-89,1.377910e-115,1.431230e-52,1.465210e-116,2.751830e-16,2.428030e-02,4.027330e-01,3.676260e-01,8.283670e-32,3.591090e-77,5.621660e-77,9.078720e-58,4.000290e-30,1.371120e-67,2.685700e-47,4.061970e-23,2.709030e-16,1.634570e-10,4.911030e-58,2.738160e-43,1.567540e-49,3.592220e-37,4.982960e-50,6.132420e-30,1.000000e+00
1.0,0.001,4.500000e+02,0.000000e+00,-6.186920e+00,6.491420e-73,1.343570e-22,2.313590e-48,2.765560e-51,4.369070e-02,4.565890e-45,5.243270e-05,1.724680e-01,2.459550e-84,1.859370e-58,1.702320e-25,1.161220e-83,2.477920e-108,3.229540e-49,3.235810e-109,3.023380e-15,4.546410e-02,3.746470e-01,3.636770e-01,3.510340e-30,7.601990e-73,2.720020e-72,1.024110e-54,8.684400e-29,2.268440e-63,2.308070e-44,1.013170e-21,2.030620e-15,2.587880e-10,1.432530e-54,1.274510e-40,3.337530e-47,1.076590e-35,2.577380e-47,3.430900e-28,1.000000e+00
1.0,0.001,4.750000e+02,0.000000e+00,-6.055700e+00,1.586080e-68,3.809580e-21,1.286240e-45,2.148290e-48,4.103700e-02,2.185490e-42,1.835140e-04,1.838260e-01,3.051090e-79,7.073770e-55,7.110650e-24,1.606800e-78,7.715090e-102,3.132640e-46,1.211830e-102,2.527820e-14,7.706160e-02,3.401190e-01,3.577730e-01,9.530050e-29,5.613280e-69,4.226640e-68,5.521300e-52,1.215330e-27,1.328130e-59,9.401990e-42,1.704620e-20,1.140430e-14,3.477600e-10,1.704960e-51,2.947340e-38,3.695640e-45,2.026290e-34,6.975120e-45,1.241740e-26,1.000000e+00
1.0,0.001,5.000000e+02,0.000000e+00,-5.902980e+00,1.414010e-64,7.581240e-20,3.825110e-43,8.562590e-46,3.528210e-02,5.624990e-40,5.693090e-04,1.964110e-01,1.175920e-74,1.155910e-51,1.956750e-22,6.811790e-74,5.405850e-96,1.465510e-43,1.003310e-96,1.665470e-13,1.186890e-01,2.990930e-01,3.499560e-01,1.743130e-27,1.691340e-65,2.498870e-64,1.586880e-49,1.134110e-26,3.197160e-56,2.007960e-39,2.018780e-19,4.904510e-14,3.936690e-10,9.316970e-49,3.698720e-36,2.285140e-43,2.486340e-33,1.088050e-42,3.085740e-25,1.000000e+00
1.0,0.001,5.250000e+02,0.000000e+00,-5.728580e+00,5.310650e-61,1.108790e-18,6.643490e-41,1.926530e-43,2.764420e-02,8.506720e-38,1.590120e-03,2.097010e-01,1.662770e-70,9.110790e-49,3.732040e-21,1.047120e-69,1.054130e-90,3.635890e-41,2.276470e-91,8.908810e-13,1.669090e-01,2.533630e-01,3.407930e-01,2.240490e-26,2.364540e-62,6.452590e-61,2.656690e-47,7.290080e-26,3.576360e-53,2.443810e-37,1.746560e-18,1.649560e-13,3.750410e-10,2.578820e-46,2.712560e-34,8.383200e-42,2.058080e-32,1.055430e-40,5.522950e-24,1.000000e+00
