Tw_K,P_bar,Bc
300,0.00101325,0.000000e+00
325,0.00101325,0.000000e+00
350,0.00101325,0.000000e+00
375,0.00101325,0.000000e+00
400,0.00101325,0.000000e+00
425,0.00101325,0.000000e+00
450,0.00101325,0.000000e+00
475,0.00101325,0.000000e+00
500,0.00101325,0.000000e+00
525,0.00101325,0.000000e+00
550,0.00101325,0.000000e+00
575,0.00101325,0.000000e+00
600,0.00101325,0.000000e+00
625,0.00101325,0.000000e+00
650,0.00101325,0.000000e+00
675,0.00101325,0.000000e+00
700,0.00101325,0.000000e+00
725,0.00101325,0.000000e+00
750,0.00101325,0.000000e+00
775,0.00101325,0.000000e+00
800,0.00101325,0.000000e+00
825,0.00101325,0.000000e+00
850,0.00101325,0.000000e+00
875,0.00101325,0.000000e+00
900,0.00101325,0.000000e+00
925,0.00101325,0.000000e+00
950,0.00101325,0.000000e+00
975,0.00101325,0.000000e+00
1000,0.00101325,0.000000e+00
1025,0.00101325,0.000000e+00
1050,0.00101325,0.000000e+00
1075,0.00101325,0.000000e+00
1100,0.00101325,0.000000e+00
1125,0.00101325,0.000000e+00
1150,0.00101325,0.000000e+00
1175,0.00101325,0.000000e+00
1200,0.00101325,0.000000e+00
1225,0.00101325,0.000000e+00
1250,0.00101325,0.000000e+00
1275,0.00101325,0.000000e+00
1300,0.00101325,0.000000e+00
1325,0.00101325,0.000000e+00
1350,0.00101325,0.000000e+00
1375,0.00101325,0.000000e+00
1400,0.00101325,0.000000e+00
1425,0.00101325,0.000000e+00
1450,0.00101325,3.213950e-03
1475,0.00101325,1.114990e-01
1500,0.00101325,2.918580e-01
1525,0.00101325,2.918590e-01
1550,0.00101325,2.918620e-01
1575,0.00101325,2.918670e-01
1600,0.00101325,2.918750e-01
1625,0.00101325,2.918880e-01
1650,0.00101325,2.919110e-01
1675,0.00101325,2.919480e-01
1700,0.00101325,2.920090e-01
1725,0.00101325,2.921080e-01
1750,0.00101325,2.922640e-01
1775,0.00101325,2.925090e-01
1800,0.00101325,2.928900e-01
1825,0.00101325,2.934750e-01
1850,0.00101325,2.943620e-01
1875,0.00101325,2.956930e-01
1900,0.00101325,2.976680e-01
1925,0.00101325,3.005660e-01
1950,0.00101325,3.047620e-01
1975,0.00101325,3.107530e-01
2000,0.00101325,3.191710e-01
2025,0.00101325,3.307840e-01
2050,0.00101325,3.464610e-01
2075,0.00101325,3.671010e-01
2100,0.00101325,3.934840e-01
2125,0.00101325,4.260610e-01
2150,0.00101325,4.646940e-01
2175,0.00101325,5.084990e-01
2200,0.00101325,5.561310e-01
2225,0.00101325,6.070080e-01
2250,0.00101325,6.638290e-01
2275,0.00101325,7.363390e-01
2300,0.00101325,8.469400e-01
2325,0.00101325,1.042080e+00
2350,0.00101325,1.492150e+00
2375,0.00101325,2.718778e+00
2400,0.00101325,7.594936e+00
2425,0.00101325,1.781300e+02
2450,0.00101325,1.804240e+02
2475,0.00101325,1.828660e+02
2500,0.00101325,1.854190e+02
2525,0.00101325,1.880490e+02
2550,0.00101325,1.907240e+02
2575,0.00101325,1.934210e+02
2600,0.00101325,1.961270e+02
2625,0.00101325,1.988367e+02
2650,0.00101325,2.000000e+02
2675,0.00101325,2.000000e+02
2700,0.00101325,2.000000e+02
2725,0.00101325,2.000000e+02
2750,0.00101325,2.000000e+02
2775,0.00101325,2.000000e+02
2800,0.00101325,2.000000e+02
2825,0.00101325,2.000000e+02
2850,0.00101325,2.000000e+02
2875,0.00101325,2.000000e+02
2900,0.00101325,2.000000e+02
2925,0.00101325,2.000000e+02
2950,0.00101325,2.000000e+02
2975,0.00101325,2.000000e+02
3000,0.00101325,2.000000e+02
3025,0.00101325,2.000000e+02
3050,0.00101325,2.000000e+02
3075,0.00101325,2.000000e+02
3100,0.00101325,2.000000e+02
3125,0.00101325,2.000000e+02
3150,0.00101325,2.000000e+02
3175,0.00101325,2.000000e+02
3200,0.00101325,2.000000e+02
3225,0.00101325,2.000000e+02
3250,0.00101325,2.000000e+02
3275,0.00101325,2.000000e+02
3300,0.00101325,2.000000e+02
3325,0.00101325,2.000000e+02
3350,0.00101325,2.000000e+02
3375,0.00101325,2.000000e+02
3400,0.00101325,2.000000e+02
3425,0.00101325,2.000000e+02
3450,0.00101325,2.000000e+02
3475,0.00101325,2.000000e+02
3500,0.00101325,2.000000e+02
3525,0.00101325,2.000000e+02
3550,0.00101325,2.000000e+02
3575,0.00101325,2.000000e+02
3600,0.00101325,2.000000e+02
3625,0.00101325,2.000000e+02
3650,0.00101325,2.000000e+02
3675,0.00101325,2.000000e+02
3700,0.00101325,2.000000e+02
3725,0.00101325,2.000000e+02
3750,0.00101325,2.000000e+02
3775,0.00101325,2.000000e+02
3800,0.00101325,2.000000e+02
3825,0.00101325,2.000000e+02
3850,0.00101325,2.000000e+02
3875,0.00101325,2.000000e+02
3900,0.00101325,2.000000e+02
3925,0.00101325,2.000000e+02
3950,0.00101325,2.000000e+02
3975,0.00101325,2.000000e+02
4000,0.00101325,2.000000e+02
4025,0.00101325,2.000000e+02
4050,0.00101325,2.000000e+02
4075,0.00101325,2.000000e+02
4100,0.00101325,2.000000e+02
4125,0.00101325,2.000000e+02
4150,0.00101325,2.000000e+02
4175,0.00101325,2.000000e+02
4200,0.00101325,2.000000e+02
4225,0.00101325,2.000000e+02
4250,0.00101325,2.000000e+02
4275,0.00101325,2.000000e+02
4300,0.00101325,2.000000e+02
4325,0.00101325,2.000000e+02
4350,0.00101325,2.000000e+02
4375,0.00101325,2.000000e+02
4400,0.00101325,2.000000e+02
4425,0.00101325,2.000000e+02
4450,0.00101325,2.000000e+02
4475,0.00101325,2.000000e+02
4500,0.00101325,2.000000e+02
4525,0.00101325,2.000000e+02
4550,0.00101325,2.000000e+02
4575,0.00101325,2.000000e+02
4600,0.00101325,2.000000e+02
4625,0.00101325,2.000000e+02
4650,0.00101325,2.000000e+02
4675,0.00101325,2.000000e+02
4700,0.00101325,2.000000e+02
4725,0.00101325,2.000000e+02
4750,0.00101325,2.000000e+02
4775,0.00101325,2.000000e+02
4800,0.00101325,2.000000e+02
4825,0.00101325,2.000000e+02
4850,0.00101325,2.000000e+02
4875,0.00101325,2.000000e+02
4900,0.00101325,2.000000e+02
4925,0.00101325,2.000000e+02
4950,0.00101325,2.000000e+02
4975,0.00101325,2.000000e+02
5000,0.00101325,2.000000e+02
300,0.00180184,0.000000e+00
325,0.00180184,0.000000e+00
350,0.00180184,0.000000e+00
375,0.00180184,0.000000e+00
400,0.00180184,0.000000e+00
425,0.00180184,0.000000e+00
450,0.00180184,0.000000e+00
475,0.00180184,0.000000e+00
500,0.00180184,0.000000e+00
525,0.00180184,0.000000e+00
550,0.00180184,0.000000e+00
575,0.00180184,0.000000e+00
600,0.00180184,0.000000e+00
625,0.00180184,0.000000e+00
650,0.00180184,0.000000e+00
675,0.00180184,0.000000e+00
700,0.00180184,0.000000e+00
725,0.00180184,0.000000e+00
750,0.00180184,0.000000e+00
775,0.00180184,0.000000e+00
800,0.00180184,0.000000e+00
825,0.00180184,0.000000e+00
850,0.00180184,0.000000e+00
875,0.00180184,0.000000e+00
900,0.00180184,0.000000e+00
925,0.00180184,0.000000e+00
950,0.00180184,0.000000e+00
975,0.00180184,0.000000e+00
1000,0.00180184,0.000000e+00
1025,0.00180184,0.000000e+00
1050,0.00180184,0.000000e+00
1075,0.00180184,0.000000e+00
1100,0.00180184,0.000000e+00
1125,0.00180184,0.000000e+00
1150,0.00180184,0.000000e+00
1175,0.00180184,0.000000e+00
1200,0.00180184,0.000000e+00
1225,0.00180184,0.000000e+00
1250,0.00180184,0.000000e+00
1275,0.00180184,0.000000e+00
1300,0.00180184,0.000000e+00
1325,0.00180184,0.000000e+00
1350,0.00180184,0.000000e+00
1375,0.00180184,0.000000e+00
1400,0.00180184,0.000000e+00
1425,0.00180184,0.000000e+00
1450,0.00180184,0.000000e+00
1475,0.00180184,0.000000e+00
1500,0.00180184,8.546330e-02
1525,0.00180184,2.822590e-01
1550,0.00180184,2.918590e-01
1575,0.00180184,2.918620e-01
1600,0.00180184,2.918670e-01
1625,0.00180184,2.918740e-01
1650,0.00180184,2.918870e-01
1675,0.00180184,2.919080e-01
1700,0.00180184,2.919430e-01
1725,0.00180184,2.919980e-01
1750,0.00180184,2.920870e-01
1775,0.00180184,2.922260e-01
1800,0.00180184,2.924410e-01
1825,0.00180184,2.927720e-01
1850,0.00180184,2.932740e-01
1875,0.00180184,2.940300e-01
1900,0.00180184,2.951550e-01
1925,0.00180184,2.968130e-01
1950,0.00180184,2.992280e-01
1975,0.00180184,3.027080e-01
2000,0.00180184,3.076580e-01
2025,0.00180184,3.146030e-01
2050,0.00180184,3.241910e-01
2075,0.00180184,3.371850e-01
2100,0.00180184,3.544220e-01
2125,0.00180184,3.767300e-01
2150,0.00180184,4.047890e-01
2175,0.00180184,4.389410e-01
2200,0.00180184,4.790010e-01
2225,0.00180184,5.242200e-01
2250,0.00180184,5.737290e-01
2275,0.00180184,6.279140e-01
2300,0.00180184,6.910120e-01
2325,0.00180184,7.750420e-01
2350,0.00180184,9.060800e-01
2375,0.00180184,1.137810e+00
2400,0.00180184,1.651060e+00
2425,0.00180184,3.050249e+00
2450,0.00180184,9.054194e+00
2475,0.00180184,1.810160e+02
2500,0.00180184,1.834790e+02
2525,0.00180184,1.860720e+02
2550,0.00180184,1.887570e+02
2575,0.00180184,1.914970e+02
2600,0.00180184,1.942610e+02
2625,0.00180184,1.970255e+02
2650,0.00180184,1.997774e+02
2675,0.00180184,2.000000e+02
2700,0.00180184,2.000000e+02
2725,0.00180184,2.000000e+02
2750,0.00180184,2.000000e+02
2775,0.00180184,2.000000e+02
2800,0.00180184,2.000000e+02
2825,0.00180184,2.000000e+02
2850,0.00180184,2.000000e+02
2875,0.00180184,2.000000e+02
2900,0.00180184,2.000000e+02
2925,0.00180184,2.000000e+02
2950,0.00180184,2.000000e+02
2975,0.00180184,2.000000e+02
3000,0.00180184,2.000000e+02
3025,0.00180184,2.000000e+02
3050,0.00180184,2.000000e+02
3075,0.00180184,2.000000e+02
3100,0.00180184,2.000000e+02
3125,0.00180184,2.000000e+02
3150,0.00180184,2.000000e+02
3175,0.00180184,2.000000e+02
3200,0.00180184,2.000000e+02
3225,0.00180184,2.000000e+02
3250,0.00180184,2.000000e+02
3275,0.00180184,2.000000e+02
3300,0.00180184,2.000000e+02
3325,0.00180184,2.000000e+02
3350,0.00180184,2.000000e+02
3375,0.00180184,2.000000e+02
3400,0.00180184,2.000000e+02
3425,0.00180184,2.000000e+02
3450,0.00180184,2.000000e+02
3475,0.00180184,2.000000e+02
3500,0.00180184,2.000000e+02
3525,0.00180184,2.000000e+02
3550,0.00180184,2.000000e+02
3575,0.00180184,2.000000e+02
3600,0.00180184,2.000000e+02
3625,0.00180184,2.000000e+02
3650,0.00180184,2.000000e+02
3675,0.00180184,2.000000e+02
3700,0.00180184,2.000000e+02
3725,0.00180184,2.000000e+02
3750,0.00180184,2.000000e+02
3775,0.00180184,2.000000e+02
3800,0.00180184,2.000000e+02
3825,0.00180184,2.000000e+02
3850,0.00180184,2.000000e+02
3875,0.00180184,2.000000e+02
3900,0.00180184,2.000000e+02
3925,0.00180184,2.000000e+02
3950,0.00180184,2.000000e+02
3975,0.00180184,2.000000e+02
4000,0.00180184,2.000000e+02
4025,0.00180184,2.000000e+02
4050,0.00180184,2.000000e+02
4075,0.00180184,2.000000e+02
4100,0.00180184,2.000000e+02
4125,0.00180184,2.000000e+02
4150,0.00180184,2.000000e+02
4175,0.00180184,2.000000e+02
4200,0.00180184,2.000000e+02
4225,0.00180184,2.000000e+02
4250,0.00180184,2.000000e+02
4275,0.00180184,2.000000e+02
4300,0.00180184,2.000000e+02
4325,0.00180184,2.000000e+02
4350,0.00180184,2.000000e+02
4375,0.00180184,2.000000e+02
4400,0.00180184,2.000000e+02
4425,0.00180184,2.000000e+02
4450,0.00180184,2.000000e+02
4475,0.00180184,2.000000e+02
4500,0.00180184,2.000000e+02
4525,0.00180184,2.000000e+02
4550,0.00180184,2.000000e+02
4575,0.00180184,2.000000e+02
4600,0.00180184,2.000000e+02
4625,0.00180184,2.000000e+02
4650,0.00180184,2.000000e+02
4675,0.00180184,2.000000e+02
4700,0.00180184,2.000000e+02
4725,0.00180184,2.000000e+02
4750,0.00180184,2.000000e+02
4775,0.00180184,2.000000e+02
4800,0.00180184,2.000000e+02
4825,0.00180184,2.000000e+02
4850,0.00180184,2.000000e+02
4875,0.00180184,2.000000e+02
4900,0.00180184,2.000000e+02
4925,0.00180184,2.000000e+02
4950,0.00180184,2.000000e+02
4975,0.00180184,2.000000e+02
5000,0.00180184,2.000000e+02
300,0.00320418,0.000000e+00
325,0.00320418,0.000000e+00
350,0.00320418,0.000000e+00
375,0.00320418,0.000000e+00
400,0.00320418,0.000000e+00
425,0.00320418,0.000000e+00
450,0.00320418,0.000000e+00
475,0.00320418,0.000000e+00
500,0.00320418,0.000000e+00
525,0.00320418,0.000000e+00
550,0.00320418,0.000000e+00
575,0.00320418,0.000000e+00
600,0.00320418,0.000000e+00
625,0.00320418,0.000000e+00
650,0.00320418,0.000000e+00
675,0.00320418,0.000000e+00
700,0.00320418,0.000000e+00
725,0.00320418,0.000000e+00
750,0.00320418,0.000000e+00
775,0.00320418,0.000000e+00
800,0.00320418,0.000000e+00
825,0.00320418,0.000000e+00
850,0.00320418,0.000000e+00
875,0.00320418,0.000000e+00
900,0.00320418,0.000000e+00
925,0.00320418,0.000000e+00
950,0.00320418,0.000000e+00
975,0.00320418,0.000000e+00
1000,0.00320418,0.000000e+00
1025,0.00320418,0.000000e+00
1050,0.00320418,0.000000e+00
1075,0.00320418,0.000000e+00
1100,0.00320418,0.000000e+00
1125,0.00320418,0.000000e+00
1150,0.00320418,0.000000e+00
1175,0.00320418,0.000000e+00
1200,0.00320418,0.000000e+00
1225,0.00320418,0.000000e+00
1250,0.00320418,0.000000e+00
1275,0.00320418,0.000000e+00
1300,0.00320418,0.000000e+00
1325,0.00320418,0.000000e+00
1350,0.00320418,0.000000e+00
1375,0.00320418,0.000000e+00
1400,0.00320418,0.000000e+00
1425,0.00320418,0.000000e+00
1450,0.00320418,0.000000e+00
1475,0.00320418,0.000000e+00
1500,0.00320418,0.000000e+00
1525,0.00320418,5.918410e-02
1550,0.00320418,2.145730e-01
1575,0.00320418,2.918590e-01
1600,0.00320418,2.918620e-01
1625,0.00320418,2.918660e-01
1650,0.00320418,2.918740e-01
1675,0.00320418,2.918860e-01
1700,0.00320418,2.919050e-01
1725,0.00320418,2.919370e-01
1750,0.00320418,2.919870e-01
1775,0.00320418,2.920650e-01
1800,0.00320418,2.921870e-01
1825,0.00320418,2.923750e-01
1850,0.00320418,2.926590e-01
1875,0.00320418,2.930880e-01
1900,0.00320418,2.937270e-01
1925,0.00320418,2.946700e-01
1950,0.00320418,2.960500e-01
1975,0.00320418,2.980480e-01
2000,0.00320418,3.009130e-01
2025,0.00320418,3.049720e-01
2050,0.00320418,3.106530e-01
2075,0.00320418,3.184960e-01
2100,0.00320418,3.291500e-01
2125,0.00320418,3.433610e-01
2150,0.00320418,3.619240e-01
2175,0.00320418,3.856000e-01
2200,0.00320418,4.149920e-01
2225,0.00320418,4.503910e-01
2250,0.00320418,4.916520e-01
2275,0.00320418,5.382580e-01
2300,0.00320418,5.898730e-01
2325,0.00320418,6.477760e-01
2350,0.00320418,7.174610e-01
2375,0.00320418,8.126820e-01
2400,0.00320418,9.622330e-01
2425,0.00320418,1.225160e+00
2450,0.00320418,1.772824e+00
2475,0.00320418,3.275031e+00
2500,0.00320418,9.799210e+00
2525,0.00320418,1.836910e+02
2550,0.00320418,1.862990e+02
2575,0.00320418,1.890220e+02
2600,0.00320418,1.918200e+02
2625,0.00320418,1.946562e+02
2650,0.00320418,1.974970e+02
2675,0.00320418,2.000000e+02
2700,0.00320418,2.000000e+02
2725,0.00320418,2.000000e+02
2750,0.00320418,2.000000e+02
2775,0.00320418,2.000000e+02
2800,0.00320418,2.000000e+02
2825,0.00320418,2.000000e+02
2850,0.00320418,2.000000e+02
2875,0.00320418,2.000000e+02
2900,0.00320418,2.000000e+02
2925,0.00320418,2.000000e+02
2950,0.00320418,2.000000e+02
2975,0.00320418,2.000000e+02
3000,0.00320418,2.000000e+02
3025,0.00320418,2.000000e+02
3050,0.00320418,2.000000e+02
3075,0.00320418,2.000000e+02
3100,0.00320418,2.000000e+02
3125,0.00320418,2.000000e+02
3150,0.00320418,2.000000e+02
3175,0.00320418,2.000000e+02
3200,0.00320418,2.000000e+02
3225,0.00320418,2.000000e+02
3250,0.00320418,2.000000e+02
3275,0.00320418,2.000000e+02
3300,0.00320418,2.000000e+02
3325,0.00320418,2.000000e+02
3350,0.00320418,2.000000e+02
3375,0.00320418,2.000000e+02
3400,0.00320418,2.000000e+02
3425,0.00320418,2.000000e+02
3450,0.00320418,2.000000e+02
3475,0.00320418,2.000000e+02
3500,0.00320418,2.000000e+02
3525,0.00320418,2.000000e+02
3550,0.00320418,2.000000e+02
3575,0.00320418,2.000000e+02
3600,0.00320418,2.000000e+02
3625,0.00320418,2.000000e+02
3650,0.00320418,2.000000e+02
3675,0.00320418,2.000000e+02
3700,0.00320418,2.000000e+02
3725,0.00320418,2.000000e+02
3750,0.00320418,2.000000e+02
3775,0.00320418,2.000000e+02
3800,0.00320418,2.000000e+02
3825,0.00320418,2.000000e+02
3850,0.00320418,2.000000e+02
3875,0.00320418,2.000000e+02
3900,0.00320418,2.000000e+02
3925,0.00320418,2.000000e+02
3950,0.00320418,2.000000e+02
3975,0.00320418,2.000000e+02
4000,0.00320418,2.000000e+02
4025,0.00320418,2.000000e+02
4050,0.00320418,2.000000e+02
4075,0.00320418,2.000000e+02
4100,0.00320418,2.000000e+02
4125,0.00320418,2.000000e+02
4150,0.00320418,2.000000e+02
4175,0.00320418,2.000000e+02
4200,0.00320418,2.000000e+02
4225,0.00320418,2.000000e+02
4250,0.00320418,2.000000e+02
4275,0.00320418,2.000000e+02
4300,0.00320418,2.000000e+02
4325,0.00320418,2.000000e+02
4350,0.00320418,2.000000e+02
4375,0.00320418,2.000000e+02
4400,0.00320418,2.000000e+02
4425,0.00320418,2.000000e+02
4450,0.00320418,2.000000e+02
4475,0.00320418,2.000000e+02
4500,0.00320418,2.000000e+02
4525,0.00320418,2.000000e+02
4550,0.00320418,2.000000e+02
4575,0.00320418,2.000000e+02
4600,0.00320418,2.000000e+02
4625,0.00320418,2.000000e+02
4650,0.00320418,2.000000e+02
4675,0.00320418,2.000000e+02
4700,0.00320418,2.000000e+02
4725,0.00320418,2.000000e+02
4750,0.00320418,2.000000e+02
4775,0.00320418,2.000000e+02
4800,0.00320418,2.000000e+02
4825,0.00320418,2.000000e+02
4850,0.00320418,2.000000e+02
4875,0.00320418,2.000000e+02
4900,0.00320418,2.000000e+02
4925,0.00320418,2.000000e+02
4950,0.00320418,2.000000e+02
4975,0.00320418,2.000000e+02
5000,0.00320418,2.000000e+02
300,0.00569792,0.000000e+00
325,0.00569792,0.000000e+00
350,0.00569792,0.000000e+00
375,0.00569792,0.000000e+00
400,0.00569792,0.000000e+00
425,0.00569792,0.000000e+00
450,0.00569792,0.000000e+00
475,0.00569792,0.000000e+00
500,0.00569792,0.000000e+00
525,0.00569792,0.000000e+00
550,0.00569792,0.000000e+00
575,0.00569792,0.000000e+00
600,0.00569792,0.000000e+00
625,0.00569792,0.000000e+00
650,0.00569792,0.000000e+00
675,0.00569792,0.000000e+00
700,0.00569792,0.000000e+00
725,0.00569792,0.000000e+00
750,0.00569792,0.000000e+00
775,0.00569792,0.000000e+00
800,0.00569792,0.000000e+00
825,0.00569792,0.000000e+00
850,0.00569792,0.000000e+00
875,0.00569792,0.000000e+00
900,0.00569792,0.000000e+00
925,0.00569792,0.000000e+00
950,0.00569792,0.000000e+00
975,0.00569792,0.000000e+00
1000,0.00569792,0.000000e+00
1025,0.00569792,0.000000e+00
1050,0.00569792,0.000000e+00
1075,0.00569792,0.000000e+00
1100,0.00569792,0.000000e+00
1125,0.00569792,0.000000e+00
1150,0.00569792,0.000000e+00
1175,0.00569792,0.000000e+00
1200,0.00569792,0.000000e+00
1225,0.00569792,0.000000e+00
1250,0.00569792,0.000000e+00
1275,0.00569792,0.000000e+00
1300,0.00569792,0.000000e+00
1325,0.00569792,0.000000e+00
1350,0.00569792,0.000000e+00
1375,0.00569792,0.000000e+00
1400,0.00569792,0.000000e+00
1425,0.00569792,0.000000e+00
1450,0.00569792,0.000000e+00
1475,0.00569792,0.000000e+00
1500,0.00569792,0.000000e+00
1525,0.00569792,0.000000e+00
1550,0.00569792,3.400230e-02
1575,0.00569792,1.547540e-01
1600,0.00569792,2.918590e-01
1625,0.00569792,2.918620e-01
1650,0.00569792,2.918660e-01
1675,0.00569792,2.918730e-01
1700,0.00569792,2.918840e-01
1725,0.00569792,2.919020e-01
1750,0.00569792,2.919300e-01
1775,0.00569792,2.919750e-01
1800,0.00569792,2.920440e-01
1825,0.00569792,2.921500e-01
1850,0.00569792,2.923120e-01
1875,0.00569792,2.925550e-01
