Tw_K,P_bar,hw_Jkg
300,0.00101325,1.923390e+03
325,0.00101325,2.792160e+04
350,0.00101325,5.393720e+04
375,0.00101325,7.997940e+04
400,0.00101325,1.060590e+05
425,0.00101325,1.321880e+05
450,0.00101325,1.583790e+05
475,0.00101325,1.846450e+05
500,0.00101325,2.109980e+05
525,0.00101325,2.374480e+05
550,0.00101325,2.640080e+05
575,0.00101325,2.906850e+05
600,0.00101325,3.174900e+05
625,0.00101325,3.444280e+05
650,0.00101325,3.715060e+05
675,0.00101325,3.987290e+05
700,0.00101325,4.260990e+05
725,0.00101325,4.536200e+05
750,0.00101325,4.812930e+05
775,0.00101325,5.091190e+05
800,0.00101325,5.370960e+05
825,0.00101325,5.652230e+05
850,0.00101325,5.934990e+05
875,0.00101325,6.219210e+05
900,0.00101325,6.504820e+05
925,0.00101325,6.791730e+05
950,0.00101325,7.079740e+05
975,0.00101325,7.368350e+05
1000,0.00101325,7.656530e+05
1025,0.00101325,7.941970e+05
1050,0.00101325,8.219810e+05
1075,0.00101325,8.480260e+05
1100,0.00101325,8.704170e+05
1125,0.00101325,8.855340e+05
1150,0.00101325,8.867560e+05
1175,0.00101325,8.623280e+05
1200,0.00101325,7.919570e+05
1225,0.00101325,6.424290e+05
1250,0.00101325,4.712310e+05
1275,0.00101325,5.010350e+05
1300,0.00101325,5.301350e+05
1325,0.00101325,5.575730e+05
1350,0.00101325,5.813680e+05
1375,0.00101325,5.975610e+05
1400,0.00101325,5.985510e+05
1425,0.00101325,5.704240e+05
1450,0.00101325,4.894010e+05
1475,0.00101325,3.189180e+05
1500,0.00101325,8.792470e+04
1525,0.00101325,1.165870e+05
1550,0.00101325,1.453230e+05
1575,0.00101325,1.741440e+05
1600,0.00101325,2.030730e+05
1625,0.00101325,2.321480e+05
1650,0.00101325,2.614280e+05
1675,0.00101325,2.910090e+05
1700,0.00101325,3.210400e+05
1725,0.00101325,3.517470e+05
1750,0.00101325,3.834740e+05
1775,0.00101325,4.167340e+05
1800,0.00101325,4.522760e+05
1825,0.00101325,4.911890e+05
1850,0.00101325,5.350270e+05
1875,0.00101325,5.859700e+05
1900,0.00101325,6.470220e+05
1925,0.00101325,7.222230e+05
1950,0.00101325,8.168430e+05
1975,0.00101325,9.374900e+05
2000,0.00101325,1.092000e+06
2025,0.00101325,1.288940e+06
2050,0.00101325,1.536580e+06
2075,0.00101325,1.841140e+06
2100,0.00101325,2.204380e+06
2125,0.00101325,2.621080e+06
2150,0.00101325,3.077020e+06
2175,0.00101325,3.549630e+06
2200,0.00101325,4.013280e+06
2225,0.00101325,4.451050e+06
2250,0.00101325,4.870870e+06
2275,0.00101325,5.319750e+06
2300,0.00101325,5.889770e+06
2325,0.00101325,6.710220e+06
2350,0.00101325,8.083576e+06
2375,0.00101325,1.010754e+07
2400,0.00101325,1.241135e+07
2425,0.00101325,1.415270e+07
2450,0.00101325,1.440140e+07
2475,0.00101325,1.462290e+07
2500,0.00101325,1.481580e+07
2525,0.00101325,1.498080e+07
2550,0.00101325,1.511970e+07
2575,0.00101325,1.523580e+07
2600,0.00101325,1.533300e+07
2625,0.00101325,1.541567e+07
2650,0.00101325,1.550770e+07
2675,0.00101325,1.560870e+07
2700,0.00101325,1.570680e+07
2725,0.00101325,1.580400e+07
2750,0.00101325,1.590230e+07
2775,0.00101325,1.600390e+07
2800,0.00101325,1.611070e+07
2825,0.00101325,1.622470e+07
2850,0.00101325,1.634780e+07
2875,0.00101325,1.648190e+07
2900,0.00101325,1.662860e+07
2925,0.00101325,1.678990e+07
2950,0.00101325,1.696720e+07
2975,0.00101325,1.716230e+07
3000,0.00101325,1.737650e+07
3025,0.00101325,1.761150e+07
3050,0.00101325,1.786860e+07
3075,0.00101325,1.814930e+07
3100,0.00101325,1.845490e+07
3125,0.00101325,1.878690e+07
3150,0.00101325,1.914660e+07
3175,0.00101325,1.953530e+07
3200,0.00101325,1.995410e+07
3225,0.00101325,2.040400e+07
3250,0.00101325,2.088570e+07
3275,0.00101325,2.139950e+07
3300,0.00101325,2.194490e+07
3325,0.00101325,2.252100e+07
3350,0.00101325,2.312550e+07
3375,0.00101325,2.375530e+07
3400,0.00101325,2.440550e+07
3425,0.00101325,2.507020e+07
3450,0.00101325,2.574150e+07
3475,0.00101325,2.641070e+07
3500,0.00101325,2.706770e+07
3525,0.00101325,2.770270e+07
3550,0.00101325,2.830580e+07
3575,0.00101325,2.886900e+07
3600,0.00101325,2.938590e+07
3625,0.00101325,2.985270e+07
3650,0.00101325,3.026830e+07
3675,0.00101325,3.063380e+07
3700,0.00101325,3.095210e+07
3725,0.00101325,3.122740e+07
3750,0.00101325,3.146470e+07
3775,0.00101325,3.166880e+07
3800,0.00101325,3.184480e+07
3825,0.00101325,3.199710e+07
3850,0.00101325,3.212960e+07
3875,0.00101325,3.224570e+07
3900,0.00101325,3.234830e+07
3925,0.00101325,3.243990e+07
3950,0.00101325,3.252220e+07
3975,0.00101325,3.259710e+07
4000,0.00101325,3.266570e+07
4025,0.00101325,3.272920e+07
4050,0.00101325,3.278850e+07
4075,0.00101325,3.284420e+07
4100,0.00101325,3.289680e+07
4125,0.00101325,3.294700e+07
4150,0.00101325,3.299490e+07
4175,0.00101325,3.304100e+07
4200,0.00101325,3.308550e+07
4225,0.00101325,3.312860e+07
4250,0.00101325,3.317040e+07
4275,0.00101325,3.321110e+07
4300,0.00101325,3.325070e+07
4325,0.00101325,3.328950e+07
4350,0.00101325,3.332740e+07
4375,0.00101325,3.336460e+07
4400,0.00101325,3.340110e+07
4425,0.00101325,3.343690e+07
4450,0.00101325,3.347210e+07
4475,0.00101325,3.350680e+07
4500,0.00101325,3.354100e+07
4525,0.00101325,3.357470e+07
4550,0.00101325,3.360800e+07
4575,0.00101325,3.364090e+07
4600,0.00101325,3.367350e+07
4625,0.00101325,3.370570e+07
4650,0.00101325,3.373770e+07
4675,0.00101325,3.376950e+07
4700,0.00101325,3.380100e+07
4725,0.00101325,3.383240e+07
4750,0.00101325,3.386360e+07
4775,0.00101325,3.389480e+07
4800,0.00101325,3.392580e+07
4825,0.00101325,3.395670e+07
4850,0.00101325,3.398760e+07
4875,0.00101325,3.401850e+07
4900,0.00101325,3.404930e+07
4925,0.00101325,3.408020e+07
4950,0.00101325,3.411100e+07
4975,0.00101325,3.414200e+07
5000,0.00101325,3.417290e+07
300,0.00180184,1.923390e+03
325,0.00180184,2.792160e+04
350,0.00180184,5.393720e+04
375,0.00180184,7.997940e+04
400,0.00180184,1.060590e+05
425,0.00180184,1.321880e+05
450,0.00180184,1.583790e+05
475,0.00180184,1.846450e+05
500,0.00180184,2.109980e+05
525,0.00180184,2.374480e+05
550,0.00180184,2.640080e+05
575,0.00180184,2.906850e+05
600,0.00180184,3.174900e+05
625,0.00180184,3.444280e+05
650,0.00180184,3.715060e+05
675,0.00180184,3.987290e+05
700,0.00180184,4.260990e+05
725,0.00180184,4.536200e+05
750,0.00180184,4.812930e+05
775,0.00180184,5.091190e+05
800,0.00180184,5.370960e+05
825,0.00180184,5.652230e+05
850,0.00180184,5.935000e+05
875,0.00180184,6.219220e+05
900,0.00180184,6.504860e+05
925,0.00180184,6.791840e+05
950,0.00180184,7.080050e+05
975,0.00180184,7.369190e+05
1000,0.00180184,7.658660e+05
1025,0.00180184,7.947160e+05
1050,0.00180184,8.231930e+05
1075,0.00180184,8.507460e+05
1100,0.00180184,8.762960e+05
1125,0.00180184,8.978050e+05
1150,0.00180184,9.115490e+05
1175,0.00180184,9.109170e+05
1200,0.00180184,8.844930e+05
1225,0.00180184,8.136000e+05
1250,0.00180184,6.670390e+05
1275,0.00180184,5.015650e+05
1300,0.00180184,5.314080e+05
1325,0.00180184,5.605250e+05
1350,0.00180184,5.879920e+05
1375,0.00180184,6.119510e+05
1400,0.00180184,6.288000e+05
1425,0.00180184,6.317910e+05
1450,0.00180184,6.088510e+05
1475,0.00180184,5.396830e+05
1500,0.00180184,3.932140e+05
1525,0.00180184,1.286250e+05
1550,0.00180184,1.452780e+05
1575,0.00180184,1.740640e+05
1600,0.00180184,2.029340e+05
1625,0.00180184,2.319060e+05
1650,0.00180184,2.610140e+05
1675,0.00180184,2.903110e+05
1700,0.00180184,3.198810e+05
1725,0.00180184,3.498510e+05
1750,0.00180184,3.804150e+05
1775,0.00180184,4.118620e+05
1800,0.00180184,4.446160e+05
