Tw_K,P_atm,phases_condensees,methode,violation_stabilite
300,0.001,C(gr) SiC(b) SiO2(a-qz),direct,0.00e+00
325,0.001,C(gr) SiC(b) SiO2(a-qz),direct,0.00e+00
350,0.001,C(gr) SiC(b) SiO2(a-qz),direct,0.00e+00
375,0.001,C(gr) SiC(b) SiO2(a-qz),direct,0.00e+00
400,0.001,C(gr) SiC(b) SiO2(a-qz),direct,0.00e+00
425,0.001,C(gr) SiC(b) SiO2(a-qz),direct,0.00e+00
450,0.001,C(gr) SiC(b) SiO2(a-qz),direct,0.00e+00
475,0.001,C(gr) SiC(b) SiO2(a-qz),direct,0.00e+00
500,0.001,C(gr) SiC(b) SiO2(a-qz),direct,0.00e+00
525,0.001,C(gr) SiC(b) SiO2(a-qz),direct,0.00e+00
550,0.001,C(gr) SiC(b) SiO2(a-qz),direct,0.00e+00
575,0.001,C(gr) SiC(b) SiO2(a-qz),direct,0.00e+00
600,0.001,C(gr) SiC(b) SiO2(a-qz),direct,0.00e+00
625,0.001,C(gr) SiC(b) SiO2(a-qz),direct,0.00e+00
650,0.001,C(gr) SiC(b) SiO2(a-qz),direct,0.00e+00
675,0.001,C(gr) SiC(b) SiO2(a-qz),direct,0.00e+00
700,0.001,C(gr) SiC(b) SiO2(a-qz),direct,0.00e+00
725,0.001,C(gr) SiC(b) SiO2(a-qz),direct,0.00e+00
750,0.001,C(gr) SiC(b) SiO2(a-qz),direct,0.00e+00
775,0.001,C(gr) SiC(b) SiO2(a-qz),direct,0.00e+00
800,0.001,C(gr) SiC(b) SiO2(a-qz),direct,0.00e+00
825,0.001,C(gr) SiC(b) SiO2(a-qz),direct,0.00e+00
850,0.001,C(gr) SiC(b) SiO2(b-qz),direct,0.00e+00
875,0.001,C(gr) SiC(b) SiO2(b-qz),direct,0.00e+00
900,0.001,C(gr) SiC(b) SiO2(b-qz),direct,0.00e+00
925,0.001,C(gr) SiC(b) SiO2(b-qz),direct,0.00e+00
950,0.001,C(gr) SiC(b) SiO2(b-qz),direct,0.00e+00
975,0.001,C(gr) SiC(b) SiO2(b-qz),direct,0.00e+00
1000,0.001,C(gr) SiC(b) SiO2(b-qz),direct,0.00e+00
1025,0.001,C(gr) SiC(b) SiO2(b-qz),direct,0.00e+00
1050,0.001,C(gr) SiC(b) SiO2(b-qz),direct,0.00e+00
