P_atm,Tw[K],B'c,hw[MJ/kg],N,O,NO,N2,O2,C,C2,C3,CN,CO,CO2,Si,Si2,Si3,SiO,SiO2,SiN,Si2N,SiC,SiC2,Si2C,C(gr),Si(cr),Si(L),SiC(b),SiC(L),SiO2(a-qz),SiO2(b-qz),SiO2(b-crt),SiO2(L)
0.001,3.000000e+02,0.000000e+00,1.923390e-03,1.601230e-78,2.011080e-106,7.715090e-83,1.000000e+00,1.842000e-134,1.502170e-114,1.271300e-132,1.855540e-132,2.520550e-70,3.508780e-42,8.539260e-66,1.399850e-80,7.194930e-113,2.688190e-132,1.814390e-56,1.972440e-90,1.817140e-76,1.352330e-86,1.887470e-127,2.350540e-108,2.239450e-107,1.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.001,3.250000e+02,0.000000e+00,2.792160e-02,3.437960e-72,1.786510e-97,5.246300e-76,1.000000e+00,3.056880e-123,5.992150e-105,1.704390e-121,3.318940e-121,1.896440e-64,4.740110e-38,7.602080e-60,1.416850e-73,3.826530e-103,5.897900e-121,3.326130e-51,1.507960e-82,4.394580e-70,2.568100e-79,1.251640e-116,6.401490e-99,5.326390e-98,1.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.001,3.500000e+02,0.000000e+00,5.393720e-02,9.233870e-67,8.405370e-90,3.773670e-70,1.000000e+00,1.267860e-113,1.023700e-96,5.975630e-112,1.479450e-111,2.071970e-59,1.652300e-34,9.571700e-55,1.433670e-67,8.284090e-95,3.087740e-111,1.077280e-46,8.611070e-76,1.298550e-64,4.440360e-73,2.364600e-107,7.858760e-91,5.786830e-90,1.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.001,3.750000e+02,0.000000e+00,7.997940e-02,4.700380e-62,3.766670e-83,4.497950e-65,1.000000e+00,2.746700e-105,1.405130e-89,1.133040e-103,3.432750e-103,4.832100e-55,1.946570e-31,2.518930e-50,2.296820e-62,1.383450e-87,8.134450e-103,8.713270e-43,6.167170e-70,7.137150e-60,1.128250e-67,2.590350e-99,8.072130e-84,5.317820e-83,1.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.001,4.000000e+02,0.000000e+00,1.060590e-01,6.192790e-58,2.496830e-77,1.244010e-60,1.000000e+00,5.402760e-98,2.484250e-83,2.003980e-96,7.205280e-96,3.211600e-51,9.490360e-29,1.857040e-46,8.226600e-58,2.879640e-81,1.887970e-95,2.281870e-39,8.171940e-65,1.000180e-55,6.034150e-63,2.804600e-92,1.103510e-77,6.563790e-77,1.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.001,4.250000e+02,0.000000e+00,1.321880e-01,2.680070e-54,3.428300e-72,1.032800e-56,1.000000e+00,1.472720e-91,8.117240e-78,5.017060e-90,2.088200e-89,7.588590e-48,2.235790e-26,4.798320e-43,8.578160e-54,1.078520e-75,5.925950e-89,2.360250e-36,2.697300e-60,4.548790e-52,8.942370e-59,4.513070e-86,2.864010e-72,1.550230e-71,1.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.001,4.500000e+02,0.000000e+00,1.583790e-01,4.585910e-51,1.267030e-67,3.144750e-53,1.000000e+00,7.729990e-86,6.491420e-73,2.459550e-84,1.161220e-83,7.571260e-45,2.871460e-24,5.172600e-40,3.197990e-50,9.671880e-71,3.511110e-83,1.125510e-33,2.795010e-56,8.100280e-49,4.547990e-55,1.482550e-80,1.860460e-67,9.226870e-67,1.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.001,4.750000e+02,0.000000e+00,1.846450e-01,3.591610e-48,1.550060e-63,4.113740e-50,1.000000e+00,1.012990e-80,1.586080e-68,3.051090e-79,1.606800e-78,3.653810e-42,2.211550e-22,2.669690e-37,5.013490e-47,2.602480e-66,5.110100e-78,2.795820e-31,1.091550e-52,6.550260e-46,9.399020e-52,1.277460e-75,3.762940e-63,1.720260e-62,1.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.001,5.000000e+02,0.000000e+00,2.109980e-01,1.447430e-45,7.407280e-60,2.623860e-47,1.000000e+00,4.080190e-76,1.414010e-64,1.175920e-74,6.811790e-74,9.508570e-40,1.102460e-20,7.365400e-35,3.763410e-44,2.516980e-62,2.255420e-73,3.989350e-29,1.859620e-49,2.708150e-43,9.035350e-49,3.528530e-71,2.822150e-59,1.195660e-58,1.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.001,5.250000e+02,0.000000e+00,2.374480e-01,3.300120e-43,1.581010e-56,9.040990e-45,1.000000e+00,5.977340e-72,5.310650e-61,1.662770e-70,1.047120e-69,1.457190e-37,3.784160e-19,1.187620e-32,1.502680e-41,1.012710e-58,3.580420e-69,3.539300e-27,1.555810e-46,6.301350e-41,4.507440e-46,3.675240e-67,9.041380e-56,3.567030e-55,1.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.001,5.500000e+02,0.000000e+00,2.640080e-01,4.600170e-41,1.682010e-53,1.830200e-42,1.000000e+00,3.655350e-68,9.451540e-58,9.884180e-67,6.700040e-66,1.413350e-35,9.408490e-18,1.204060e-30,3.478260e-39,1.910570e-55,2.350540e-65,2.083050e-25,7.042710e-44,8.925840e-39,1.276210e-43,1.648700e-63,1.389280e-52,5.126030e-52,1.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.001,5.750000e+02,0.000000e+00,2.906850e-01,4.179930e-39,9.766070e-51,2.332900e-40,1.000000e+00,1.045660e-64,8.784870e-55,2.764290e-63,1.999940e-62,9.208300e-34,1.766900e-16,8.153390e-29,5.011270e-37,1.865690e-52,7.161530e-62,8.580400e-24,1.868800e-41,8.212810e-37,2.208180e-41,3.555130e-60,1.126700e-49,3.903150e-49,1.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
