Tw_K,P_bar,Bc
300,0.00101325,4.110300e-90
325,0.00101325,3.142390e-82
350,0.00101325,1.794430e-75
375,0.00101325,1.285160e-69
400,0.00101325,1.702920e-64
425,0.00101325,5.620820e-60
450,0.00101325,5.824430e-56
475,0.00101325,2.274650e-52
500,0.00101325,3.875200e-49
525,0.00101325,3.242100e-46
550,0.00101325,1.467610e-43
575,0.00101325,3.894330e-41
600,0.00101325,6.475810e-39
625,0.00101325,7.137640e-37
650,0.00101325,5.468010e-35
675,0.00101325,3.031590e-33
700,0.00101325,1.259270e-31
725,0.00101325,4.037630e-30
750,0.00101325,1.025430e-28
775,0.00101325,2.109600e-27
800,0.00101325,3.585280e-26
825,0.00101325,5.120640e-25
850,0.00101325,6.238800e-24
875,0.00101325,6.568330e-23
900,0.00101325,6.061660e-22
925,0.00101325,4.956330e-21
950,0.00101325,3.625110e-20
975,0.00101325,2.392250e-19
1000,0.00101325,1.435390e-18
1025,0.00101325,7.885830e-18
1050,0.00101325,3.991860e-17
1075,0.00101325,1.872580e-16
1100,0.00101325,8.182790e-16
1125,0.00101325,3.346710e-15
1150,0.00101325,1.286690e-14
1175,0.00101325,4.668580e-14
1200,0.00101325,1.604480e-13
1225,0.00101325,5.216380e-13
1250,0.00101325,1.617010e-12
1275,0.00101325,4.793000e-12
1300,0.00101325,1.362070e-11
1325,0.00101325,3.720160e-11
1350,0.00101325,9.788010e-11
1375,0.00101325,2.486210e-10
1400,0.00101325,6.109130e-10
1425,0.00101325,1.455000e-09
1450,0.00101325,3.365080e-09
1475,0.00101325,7.570950e-09
1500,0.00101325,1.659890e-08
1525,0.00101325,3.552360e-08
1550,0.00101325,7.433190e-08
1575,0.00101325,1.523220e-07
1600,0.00101325,3.061750e-07
1625,0.00101325,6.046190e-07
1650,0.00101325,1.174800e-06
1675,0.00101325,2.249410e-06
1700,0.00101325,4.250180e-06
1725,0.00101325,7.935340e-06
1750,0.00101325,1.465790e-05
1775,0.00101325,2.681640e-05
1800,0.00101325,4.863510e-05
1825,0.00101325,8.750830e-05
1850,0.00101325,1.562950e-04
1875,0.00101325,2.772160e-04
1900,0.00101325,4.883960e-04
1925,0.00101325,8.548030e-04
1950,0.00101325,1.486350e-03
1975,0.00101325,2.567680e-03
2000,0.00101325,4.401890e-03
2025,0.00101325,7.452930e-03
2050,0.00101325,1.254240e-02
2075,0.00101325,2.099200e-02
2100,0.00101325,3.497780e-02
2125,0.00101325,5.812580e-02
2150,0.00101325,9.662220e-02
2175,0.00101325,1.614800e-01
2200,0.00101325,2.737700e-01
2225,0.00101325,4.789120e-01
2250,0.00101325,8.965760e-01
2275,0.00101325,1.984350e+00
2300,0.00101325,8.716940e+00
2325,0.00101325,2.000000e+02
2350,0.00101325,2.000000e+02
2375,0.00101325,2.000000e+02
2400,0.00101325,2.000000e+02
2425,0.00101325,2.000000e+02
2450,0.00101325,2.000000e+02
2475,0.00101325,2.000000e+02
2500,0.00101325,2.000000e+02
2525,0.00101325,2.000000e+02
2550,0.00101325,2.000000e+02
2575,0.00101325,2.000000e+02
2600,0.00101325,2.000000e+02
2625,0.00101325,2.000000e+02
2650,0.00101325,2.000000e+02
2675,0.00101325,2.000000e+02
2700,0.00101325,2.000000e+02
2725,0.00101325,2.000000e+02
2750,0.00101325,2.000000e+02
2775,0.00101325,2.000000e+02
2800,0.00101325,2.000000e+02
2825,0.00101325,2.000000e+02
2850,0.00101325,2.000000e+02
2875,0.00101325,2.000000e+02
2900,0.00101325,2.000000e+02
2925,0.00101325,2.000000e+02
2950,0.00101325,2.000000e+02
2975,0.00101325,2.000000e+02
3000,0.00101325,2.000000e+02
3025,0.00101325,2.000000e+02
3050,0.00101325,2.000000e+02
3075,0.00101325,2.000000e+02
3100,0.00101325,2.000000e+02
3125,0.00101325,2.000000e+02
3150,0.00101325,2.000000e+02
3175,0.00101325,2.000000e+02
3200,0.00101325,2.000000e+02
3225,0.00101325,2.000000e+02
3250,0.00101325,2.000000e+02
3275,0.00101325,2.000000e+02
3300,0.00101325,2.000000e+02
3325,0.00101325,2.000000e+02
3350,0.00101325,2.000000e+02
3375,0.00101325,2.000000e+02
3400,0.00101325,2.000000e+02
3425,0.00101325,2.000000e+02
3450,0.00101325,2.000000e+02
3475,0.00101325,2.000000e+02
3500,0.00101325,2.000000e+02
3525,0.00101325,2.000000e+02
3550,0.00101325,2.000000e+02
3575,0.00101325,2.000000e+02
3600,0.00101325,2.000000e+02
3625,0.00101325,2.000000e+02
3650,0.00101325,2.000000e+02
3675,0.00101325,2.000000e+02
3700,0.00101325,2.000000e+02
3725,0.00101325,2.000000e+02
3750,0.00101325,2.000000e+02
3775,0.00101325,2.000000e+02
3800,0.00101325,2.000000e+02
3825,0.00101325,2.000000e+02
3850,0.00101325,2.000000e+02
3875,0.00101325,2.000000e+02
3900,0.00101325,2.000000e+02
3925,0.00101325,2.000000e+02
3950,0.00101325,2.000000e+02
3975,0.00101325,2.000000e+02
4000,0.00101325,2.000000e+02
4025,0.00101325,2.000000e+02
4050,0.00101325,2.000000e+02
4075,0.00101325,2.000000e+02
4100,0.00101325,2.000000e+02
4125,0.00101325,2.000000e+02
4150,0.00101325,2.000000e+02
4175,0.00101325,2.000000e+02
4200,0.00101325,2.000000e+02
4225,0.00101325,2.000000e+02
4250,0.00101325,2.000000e+02
4275,0.00101325,2.000000e+02
4300,0.00101325,2.000000e+02
4325,0.00101325,2.000000e+02
4350,0.00101325,2.000000e+02
4375,0.00101325,2.000000e+02
4400,0.00101325,2.000000e+02
4425,0.00101325,2.000000e+02
4450,0.00101325,2.000000e+02
4475,0.00101325,2.000000e+02
4500,0.00101325,2.000000e+02
4525,0.00101325,2.000000e+02
4550,0.00101325,2.000000e+02
4575,0.00101325,2.000000e+02
4600,0.00101325,2.000000e+02
4625,0.00101325,2.000000e+02
4650,0.00101325,2.000000e+02
4675,0.00101325,2.000000e+02
