Tw_K,P_bar,hw_Jkg
300,0.00101325,1.872180e+03
325,0.00101325,2.719000e+04
350,0.00101325,5.254920e+04
375,0.00101325,7.796180e+04
400,0.00101325,1.034400e+05
425,0.00101325,1.289970e+05
450,0.00101325,1.546440e+05
475,0.00101325,1.803920e+05
500,0.00101325,2.062520e+05
525,0.00101325,2.322330e+05
550,0.00101325,2.583430e+05
575,0.00101325,2.845900e+05
600,0.00101325,3.109770e+05
625,0.00101325,3.375110e+05
650,0.00101325,3.641950e+05
675,0.00101325,3.910300e+05
700,0.00101325,4.180180e+05
725,0.00101325,4.451600e+05
750,0.00101325,4.724550e+05
775,0.00101325,4.999010e+05
800,0.00101325,5.274970e+05
825,0.00101325,5.552410e+05
850,0.00101325,5.831300e+05
875,0.00101325,6.111620e+05
900,0.00101325,6.393320e+05
925,0.00101325,6.676390e+05
950,0.00101325,6.960810e+05
975,0.00101325,7.246540e+05
1000,0.00101325,7.533560e+05
1025,0.00101325,7.821870e+05
1050,0.00101325,8.111430e+05
1075,0.00101325,8.402220e+05
1100,0.00101325,8.694200e+05
1125,0.00101325,8.987360e+05
1150,0.00101325,9.281670e+05
1175,0.00101325,9.577110e+05
1200,0.00101325,9.873680e+05
1225,0.00101325,1.017140e+06
1250,0.00101325,1.047010e+06
1275,0.00101325,1.077000e+06
1300,0.00101325,1.107100e+06
1325,0.00101325,1.137310e+06
1350,0.00101325,1.167630e+06
1375,0.00101325,1.198060e+06
1400,0.00101325,1.228610e+06
1425,0.00101325,1.259280e+06
1450,0.00101325,1.290090e+06
1475,0.00101325,1.321020e+06
1500,0.00101325,1.352100e+06
1525,0.00101325,1.383350e+06
1550,0.00101325,1.414760e+06
1575,0.00101325,1.446370e+06
1600,0.00101325,1.478210e+06
1625,0.00101325,1.510290e+06
1650,0.00101325,1.542670e+06
1675,0.00101325,1.575380e+06
1700,0.00101325,1.608480e+06
1725,0.00101325,1.642030e+06
1750,0.00101325,1.676100e+06
1775,0.00101325,1.710770e+06
1800,0.00101325,1.746140e+06
1825,0.00101325,1.782300e+06
1850,0.00101325,1.819340e+06
1875,0.00101325,1.857360e+06
1900,0.00101325,1.896400e+06
1925,0.00101325,1.936480e+06
1950,0.00101325,1.977500e+06
1975,0.00101325,2.019170e+06
2000,0.00101325,2.060930e+06
2025,0.00101325,2.101870e+06
2050,0.00101325,2.140190e+06
2075,0.00101325,2.173050e+06
2100,0.00101325,2.195910e+06
2125,0.00101325,2.201860e+06
2150,0.00101325,2.180740e+06
2175,0.00101325,2.118510e+06
2200,0.00101325,1.997280e+06
2225,0.00101325,1.797000e+06
2250,0.00101325,1.499610e+06
2275,0.00101325,1.095230e+06
2300,0.00101325,5.874350e+05
2325,0.00101325,4.515740e+05
2350,0.00101325,5.984840e+05
2375,0.00101325,7.509180e+05
2400,0.00101325,9.095220e+05
2425,0.00101325,1.074770e+06
2450,0.00101325,1.246930e+06
2475,0.00101325,1.426020e+06
2500,0.00101325,1.611790e+06
2525,0.00101325,1.803700e+06
2550,0.00101325,2.000860e+06
2575,0.00101325,2.202080e+06
2600,0.00101325,2.405870e+06
2625,0.00101325,2.610460e+06
2650,0.00101325,2.813910e+06
2675,0.00101325,3.014170e+06
2700,0.00101325,3.209200e+06
2725,0.00101325,3.397100e+06
2750,0.00101325,3.576200e+06
2775,0.00101325,3.745160e+06
2800,0.00101325,3.903030e+06
2825,0.00101325,4.049250e+06
2850,0.00101325,4.183690e+06
2875,0.00101325,4.306530e+06
2900,0.00101325,4.418260e+06
2925,0.00101325,4.519580e+06
2950,0.00101325,4.611340e+06
2975,0.00101325,4.694450e+06
3000,0.00101325,4.769850e+06
3025,0.00101325,4.838500e+06
3050,0.00101325,4.901260e+06
3075,0.00101325,4.958990e+06
3100,0.00101325,5.012460e+06
3125,0.00101325,5.062360e+06
3150,0.00101325,5.109360e+06
3175,0.00101325,5.154040e+06
3200,0.00101325,5.196970e+06
3225,0.00101325,5.238660e+06
3250,0.00101325,5.279630e+06
3275,0.00101325,5.320360e+06
3300,0.00101325,5.361360e+06
3325,0.00101325,5.403170e+06
3350,0.00101325,5.446320e+06
3375,0.00101325,5.491430e+06
3400,0.00101325,5.539150e+06
3425,0.00101325,5.590210e+06
3450,0.00101325,5.645420e+06
3475,0.00101325,5.705710e+06
3500,0.00101325,5.772090e+06
3525,0.00101325,5.845690e+06
3550,0.00101325,5.927780e+06
3575,0.00101325,6.019740e+06
3600,0.00101325,6.123080e+06
3625,0.00101325,6.239400e+06
3650,0.00101325,6.370420e+06
3675,0.00101325,6.517910e+06
3700,0.00101325,6.683650e+06
3725,0.00101325,6.869420e+06
3750,0.00101325,7.076910e+06
3775,0.00101325,7.307660e+06
3800,0.00101325,7.562970e+06
3825,0.00101325,7.843880e+06
3850,0.00101325,8.151020e+06
3875,0.00101325,8.484610e+06
3900,0.00101325,8.844350e+06
3925,0.00101325,9.229410e+06
3950,0.00101325,9.638390e+06
3975,0.00101325,1.006930e+07
4000,0.00101325,1.051970e+07
4025,0.00101325,1.098640e+07
4050,0.00101325,1.146610e+07
4075,0.00101325,1.195490e+07
4100,0.00101325,1.244870e+07
4125,0.00101325,1.294350e+07
4150,0.00101325,1.343500e+07
4175,0.00101325,1.391940e+07
4200,0.00101325,1.439300e+07
4225,0.00101325,1.485250e+07
4250,0.00101325,1.529500e+07
4275,0.00101325,1.571820e+07
4300,0.00101325,1.612050e+07
4325,0.00101325,1.650050e+07
4350,0.00101325,1.685760e+07
4375,0.00101325,1.719150e+07
4400,0.00101325,1.750250e+07
4425,0.00101325,1.779090e+07
4450,0.00101325,1.805760e+07
4475,0.00101325,1.830360e+07
4500,0.00101325,1.853010e+07
4525,0.00101325,1.873820e+07
4550,0.00101325,1.892920e+07
4575,0.00101325,1.910460e+07
4600,0.00101325,1.926540e+07
4625,0.00101325,1.941300e+07
4650,0.00101325,1.954860e+07
4675,0.00101325,1.967330e+07
4700,0.00101325,1.978810e+07
4725,0.00101325,1.989400e+07
4750,0.00101325,1.999190e+07
4775,0.00101325,2.008250e+07
4800,0.00101325,2.016670e+07
4825,0.00101325,2.024510e+07
4850,0.00101325,2.031830e+07
4875,0.00101325,2.038680e+07
4900,0.00101325,2.045120e+07
4925,0.00101325,2.051180e+07
4950,0.00101325,2.056910e+07
4975,0.00101325,2.062350e+07
5000,0.00101325,2.067520e+07
300,0.00180184,1.872180e+03
325,0.00180184,2.719000e+04
350,0.00180184,5.254920e+04
375,0.00180184,7.796180e+04
400,0.00180184,1.034400e+05
425,0.00180184,1.289970e+05
450,0.00180184,1.546440e+05
475,0.00180184,1.803920e+05
500,0.00180184,2.062520e+05
525,0.00180184,2.322330e+05
550,0.00180184,2.583430e+05
575,0.00180184,2.845900e+05
600,0.00180184,3.109770e+05
625,0.00180184,3.375110e+05
650,0.00180184,3.641950e+05
675,0.00180184,3.910300e+05
700,0.00180184,4.180180e+05
725,0.00180184,4.451600e+05
750,0.00180184,4.724550e+05
775,0.00180184,4.999010e+05
800,0.00180184,5.274970e+05
825,0.00180184,5.552410e+05
850,0.00180184,5.831300e+05
875,0.00180184,6.111620e+05
900,0.00180184,6.393320e+05
925,0.00180184,6.676390e+05
950,0.00180184,6.960810e+05
975,0.00180184,7.246540e+05
1000,0.00180184,7.533560e+05
1025,0.00180184,7.821870e+05
1050,0.00180184,8.111430e+05
1075,0.00180184,8.402220e+05
1100,0.00180184,8.694200e+05
1125,0.00180184,8.987360e+05
1150,0.00180184,9.281670e+05
1175,0.00180184,9.577110e+05
1200,0.00180184,9.873670e+05
1225,0.00180184,1.017130e+06
1250,0.00180184,1.047010e+06
1275,0.00180184,1.077000e+06
1300,0.00180184,1.107090e+06
1325,0.00180184,1.137300e+06
1350,0.00180184,1.167610e+06
1375,0.00180184,1.198040e+06
1400,0.00180184,1.228580e+06
1425,0.00180184,1.259240e+06
1450,0.00180184,1.290020e+06
1475,0.00180184,1.320930e+06
1500,0.00180184,1.351980e+06
1525,0.00180184,1.383170e+06
1550,0.00180184,1.414520e+06
1575,0.00180184,1.446040e+06
1600,0.00180184,1.477750e+06
1625,0.00180184,1.509680e+06
1650,0.00180184,1.541860e+06
1675,0.00180184,1.574310e+06
1700,0.00180184,1.607080e+06
1725,0.00180184,1.640220e+06
1750,0.00180184,1.673780e+06
1775,0.00180184,1.707820e+06
1800,0.00180184,1.742430e+06
1825,0.00180184,1.777660e+06
1850,0.00180184,1.813620e+06
1875,0.00180184,1.850380e+06
1900,0.00180184,1.888020e+06
1925,0.00180184,1.926590e+06
1950,0.00180184,1.966120e+06
1975,0.00180184,2.006540e+06
2000,0.00180184,2.047680e+06
2025,0.00180184,2.089190e+06
2050,0.00180184,2.130360e+06
2075,0.00180184,2.169980e+06
2100,0.00180184,2.206090e+06
2125,0.00180184,2.235560e+06
2150,0.00180184,2.253630e+06
2175,0.00180184,2.253230e+06
2200,0.00180184,2.224340e+06
2225,0.00180184,2.153560e+06
2250,0.00180184,2.024450e+06
2275,0.00180184,1.819240e+06
2300,0.00180184,1.522640e+06
2325,0.00180184,1.126970e+06
2350,0.00180184,6.361640e+05
2375,0.00180184,4.769060e+05
2400,0.00180184,6.193080e+05
2425,0.00180184,7.665690e+05
2450,0.00180184,9.192670e+05
2475,0.00180184,1.077840e+06
2500,0.00180184,1.242550e+06
2525,0.00180184,1.413490e+06
2550,0.00180184,1.590500e+06
2575,0.00180184,1.773190e+06
2600,0.00180184,1.960920e+06
2625,0.00180184,2.152760e+06
2650,0.00180184,2.347550e+06
2675,0.00180184,2.543870e+06
2700,0.00180184,2.740140e+06
2725,0.00180184,2.934630e+06
2750,0.00180184,3.125580e+06
2775,0.00180184,3.311270e+06
2800,0.00180184,3.490090e+06
2825,0.00180184,3.660680e+06
2850,0.00180184,3.821940e+06
2875,0.00180184,3.973100e+06
2900,0.00180184,4.113700e+06
2925,0.00180184,4.243640e+06
2950,0.00180184,4.363070e+06
2975,0.00180184,4.472400e+06
3000,0.00180184,4.572220e+06
3025,0.00180184,4.663230e+06
3050,0.00180184,4.746210e+06
3075,0.00180184,4.822000e+06
3100,0.00180184,4.891400e+06
3125,0.00180184,4.955200e+06
3150,0.00180184,5.014170e+06
3175,0.00180184,5.069000e+06
3200,0.00180184,5.120360e+06
3225,0.00180184,5.168850e+06
3250,0.00180184,5.215040e+06
3275,0.00180184,5.259460e+06
3300,0.00180184,5.302630e+06
3325,0.00180184,5.345030e+06
3350,0.00180184,5.387150e+06
3375,0.00180184,5.429480e+06
3400,0.00180184,5.472530e+06
3425,0.00180184,5.516830e+06
3450,0.00180184,5.562960e+06
3475,0.00180184,5.611540e+06
3500,0.00180184,5.663250e+06
3525,0.00180184,5.718840e+06
3550,0.00180184,5.779160e+06
3575,0.00180184,5.845120e+06
3600,0.00180184,5.917750e+06
3625,0.00180184,5.998170e+06
3650,0.00180184,6.087610e+06
3675,0.00180184,6.187390e+06
3700,0.00180184,6.298940e+06
3725,0.00180184,6.423730e+06
3750,0.00180184,6.563330e+06
3775,0.00180184,6.719290e+06
3800,0.00180184,6.893170e+06
3825,0.00180184,7.086490e+06
3850,0.00180184,7.300610e+06
3875,0.00180184,7.536760e+06
3900,0.00180184,7.795930e+06
3925,0.00180184,8.078830e+06
3950,0.00180184,8.385820e+06
3975,0.00180184,8.716850e+06
4000,0.00180184,9.071470e+06
4025,0.00180184,9.448750e+06
4050,0.00180184,9.847270e+06
4075,0.00180184,1.026520e+07
4100,0.00180184,1.070010e+07
4125,0.00180184,1.114930e+07
4150,0.00180184,1.160980e+07
4175,0.00180184,1.207810e+07
4200,0.00180184,1.255080e+07
4225,0.00180184,1.302420e+07
4250,0.00180184,1.349480e+07
4275,0.00180184,1.395910e+07
4300,0.00180184,1.441390e+07
4325,0.00180184,1.485630e+07
4350,0.00180184,1.528380e+07
4375,0.00180184,1.569420e+07
4400,0.00180184,1.608610e+07
4425,0.00180184,1.645800e+07
4450,0.00180184,1.680930e+07
4475,0.00180184,1.713960e+07
4500,0.00180184,1.744890e+07
4525,0.00180184,1.773750e+07
4550,0.00180184,1.800590e+07
4575,0.00180184,1.825490e+07
4600,0.00180184,1.848540e+07
4625,0.00180184,1.869850e+07
4650,0.00180184,1.889520e+07
