P_atm,Tw[K],B'c,hw[MJ/kg],N,O,NO,N2,O2,Si,SiO,SiO2,Si2,SiN,SiO2(a-qz),SiO2(b-qz),SiO2(b-crt),SiO2(L)
0.001,3.000000e+02,4.110300e-90,1.872180e-03,1.427370e-78,6.715170e-40,2.296420e-16,7.946250e-01,2.053750e-01,1.255520e-213,5.433790e-123,1.972440e-90,0.000000e+00,1.452820e-209,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.001,3.250000e+02,3.142390e-82,2.719000e-02,3.064660e-72,1.464330e-36,3.833270e-15,7.946250e-01,2.053750e-01,2.108890e-195,4.057930e-112,1.507960e-82,0.000000e+00,5.830830e-192,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.001,3.500000e+02,1.794430e-75,5.254920e-02,8.231230e-67,1.069780e-33,4.281380e-14,7.946250e-01,2.053750e-01,8.850570e-180,8.464260e-103,8.611070e-76,3.157277e-319,7.146000e-177,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.001,3.750000e+02,1.285160e-69,7.796180e-02,4.190000e-62,3.257060e-31,3.467080e-13,7.946250e-01,2.053750e-01,3.071790e-166,1.007660e-94,6.167170e-70,2.474520e-295,8.508830e-164,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.001,4.000000e+02,1.702920e-64,1.034400e-01,5.520360e-58,4.868060e-29,2.162070e-12,7.946250e-01,2.053750e-01,2.164150e-154,1.170370e-87,8.171940e-65,1.992850e-274,2.345450e-152,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.001,4.250000e+02,5.620820e-60,1.289970e-01,2.389060e-54,4.048490e-27,1.087200e-11,7.946250e-01,2.053750e-01,6.151280e-144,1.998680e-81,2.697300e-60,5.545880e-256,2.907690e-142,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.001,4.500000e+02,5.824430e-56,1.546440e-01,4.087960e-51,2.065240e-25,4.569320e-11,7.946250e-01,2.053750e-01,1.203670e-134,6.904990e-76,2.795010e-56,1.370170e-239,2.717770e-133,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.001,4.750000e+02,2.274650e-52,1.803920e-01,3.201620e-48,6.979430e-24,1.651160e-10,7.946250e-01,2.053750e-01,2.472860e-126,6.209230e-71,1.091550e-52,6.331490e-225,2.880040e-125,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.001,5.000000e+02,3.875200e-49,2.062520e-01,1.290270e-45,1.661850e-22,5.247540e-10,7.946250e-01,2.053750e-01,7.476770e-119,1.778150e-66,1.859620e-49,9.934490e-212,4.796080e-118,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.001,5.250000e+02,3.242100e-46,2.322330e-01,2.941780e-43,2.930590e-21,1.493880e-09,7.946250e-01,2.053750e-01,4.373470e-112,1.909400e-62,1.555810e-46,8.578410e-200,1.634840e-111,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.001,5.500000e+02,1.467610e-43,2.583430e-01,4.100670e-41,3.986940e-20,3.867130e-09,7.946250e-01,2.053750e-01,6.190740e-106,8.787990e-59,7.042710e-44,6.052370e-189,1.416160e-105,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.001,5.750000e+02,3.894330e-41,2.845900e-01,3.726070e-39,4.328110e-19,9.216300e-09,7.946250e-01,2.053750e-01,2.551470e-100,1.936100e-55,1.868800e-41,4.836440e-179,3.727480e-100,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.001,6.000000e+02,6.475810e-39,3.109770e-01,2.328070e-37,3.856100e-18,2.043180e-08,7.946250e-01,2.053750e-01,3.572070e-95,2.238780e-52,3.107590e-39,5.746730e-170,3.460040e-95,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.001,6.250000e+02,7.137640e-37,3.375110e-01,1.046120e-35,2.887030e-17,4.250200e-08,7.946250e-01,2.053750e-01,1.933670e-90,1.468040e-49,3.425190e-37,1.276220e-161,1.283660e-90,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.001,6.500000e+02,5.468010e-35,3.641950e-01,3.511540e-34,1.853100e-16,8.357060e-08,7.946250e-01,2.053750e-01,4.516230e-86,5.828360e-47,2.623970e-35,6.428040e-154,2.115970e-86,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.001,6.750000e+02,3.031590e-33,3.910300e-01,9.094920e-33,1.037270e-15,1.563000e-07,7.946250e-01,2.053750e-01,4.996330e-82,1.481330e-44,1.454790e-33,8.659020e-147,1.695980e-82,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.001,7.000000e+02,1.259270e-31,4.180180e-01,1.868660e-31,5.137820e-15,2.795440e-07,7.946250e-01,2.053750e-01,2.836330e-78,2.528160e-42,6.042950e-32,3.592870e-140,7.140730e-79,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.001,7.250000e+02,4.037630e-30,4.451600e-01,3.119430e-30,2.280530e-14,4.803310e-07,7.946250e-01,2.053750e-01,8.851960e-75,3.019140e-40,1.937570e-30,5.186370e-134,1.688080e-75,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.001,7.500000e+02,1.025430e-28,4.724550e-01,4.319550e-29,9.170810e-14,7.961000e-07,7.946250e-01,2.053750e-01,1.612290e-71,2.614370e-38,4.920790e-29,2.894170e-128,2.373650e-72,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.001,7.750000e+02,2.109600e-27,4.999010e-01,5.051940e-28,3.373110e-13,1.277170e-06,7.946240e-01,2.053740e-01,1.805280e-68,1.693250e-36,1.012350e-27,6.843390e-123,2.087410e-69,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.001,8.000000e+02,3.585280e-26,5.274970e-01,5.069900e-27,1.144260e-12,1.989330e-06,7.946240e-01,2.053740e-01,1.300420e-65,8.427690e-35,1.720490e-26,7.429070e-118,1.199540e-66,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
