Tw_K,P_atm,hg_kJkg
200,0.001,-7.246370e+03
225,0.001,-7.208310e+03
250,0.001,-7.169650e+03
275,0.001,-7.130210e+03
300,0.001,-7.089720e+03
325,0.001,-7.047650e+03
350,0.001,-7.003050e+03
375,0.001,-6.954150e+03
400,0.001,-6.898030e+03
425,0.001,-6.830560e+03
450,0.001,-6.747020e+03
475,0.001,-6.643690e+03
500,0.001,-6.518510e+03
525,0.001,-6.363990e+03
550,0.001,-6.145970e+03
575,0.001,-5.792750e+03
600,0.001,-5.236670e+03
625,0.001,-4.487100e+03
650,0.001,-3.713410e+03
675,0.001,-3.192850e+03
700,0.001,-2.964270e+03
725,0.001,-2.856760e+03
750,0.001,-2.778810e+03
775,0.001,-2.706280e+03
800,0.001,-2.625070e+03
825,0.001,-2.475600e+03
850,0.001,-2.215050e+03
875,0.001,-1.907560e+03
900,0.001,-1.600270e+03
925,0.001,-1.314040e+03
950,0.001,-1.056630e+03
975,0.001,-8.281610e+02
1000,0.001,-6.240580e+02
1025,0.001,-4.368650e+02
1050,0.001,-2.570830e+02
1075,0.001,-7.322790e+01
1100,0.001,1.285190e+02
1125,0.001,3.644920e+02
1150,0.001,6.521950e+02
1175,0.001,1.004370e+03
1200,0.001,1.413370e+03
1225,0.001,1.828260e+03
1250,0.001,2.165880e+03
1275,0.001,2.390140e+03
1300,0.001,2.536330e+03
1325,0.001,2.646660e+03
1350,0.001,2.742810e+03
1375,0.001,2.833400e+03
1400,0.001,2.921770e+03
1425,0.001,3.009320e+03
1450,0.001,3.096710e+03
1475,0.001,3.184360e+03
1500,0.001,3.272540e+03
1525,0.001,3.361520e+03
1550,0.001,3.451550e+03
1575,0.001,3.542900e+03
1600,0.001,3.635870e+03
1625,0.001,3.730810e+03
1650,0.001,3.828120e+03
1675,0.001,3.928270e+03
1700,0.001,4.031780e+03
1725,0.001,4.139280e+03
1750,0.001,4.251480e+03
1775,0.001,4.369190e+03
1800,0.001,4.493330e+03
1825,0.001,4.624960e+03
1850,0.001,4.765270e+03
1875,0.001,4.915580e+03
1900,0.001,5.077380e+03
1925,0.001,5.252350e+03
1950,0.001,5.442330e+03
1975,0.001,5.649370e+03
2000,0.001,5.875710e+03
2025,0.001,6.123850e+03
2050,0.001,6.396510e+03
2075,0.001,6.696670e+03
2100,0.001,7.027590e+03
2125,0.001,7.392830e+03
2150,0.001,7.796280e+03
2175,0.001,8.242180e+03
2200,0.001,8.735150e+03
2225,0.001,9.280240e+03
2250,0.001,9.882930e+03
2275,0.001,1.054910e+04
2300,0.001,1.128520e+04
2325,0.001,1.209750e+04
2350,0.001,1.299250e+04
2375,0.001,1.397600e+04
2400,0.001,1.505210e+04
2425,0.001,1.622260e+04
2450,0.001,1.748560e+04
2475,0.001,1.883480e+04
2500,0.001,2.025900e+04
2525,0.001,2.174250e+04
2550,0.001,2.326610e+04
2575,0.001,2.480840e+04
2600,0.001,2.634780e+04
2625,0.001,2.786350e+04
2650,0.001,2.933710e+04
2675,0.001,3.075310e+04
2700,0.001,3.209970e+04
2725,0.001,3.336900e+04
2750,0.001,3.455670e+04
2775,0.001,3.566170e+04
2800,0.001,3.668590e+04
2825,0.001,3.763380e+04
2850,0.001,3.851140e+04
2875,0.001,3.932610e+04
2900,0.001,4.008570e+04
2925,0.001,4.079860e+04
2950,0.001,4.147300e+04
2975,0.001,4.211660e+04
3000,0.001,4.273650e+04
3025,0.001,4.333900e+04
3050,0.001,4.392950e+04
3075,0.001,4.451230e+04
3100,0.001,4.509040e+04
3125,0.001,4.566580e+04
3150,0.001,4.623880e+04
3175,0.001,4.680840e+04
3200,0.001,4.737230e+04
3225,0.001,4.792680e+04
3250,0.001,4.846720e+04
3275,0.001,4.898830e+04
3300,0.001,4.948450e+04
3325,0.001,4.995090e+04
3350,0.001,5.038360e+04
3375,0.001,5.078030e+04
3400,0.001,5.114030e+04
3425,0.001,5.146470e+04
3450,0.001,5.175590e+04
3475,0.001,5.201720e+04
3500,0.001,5.225230e+04
3525,0.001,5.246510e+04
3550,0.001,5.265910e+04
3575,0.001,5.283760e+04
3600,0.001,5.300330e+04
3625,0.001,5.315860e+04
3650,0.001,5.330530e+04
3675,0.001,5.344510e+04
3700,0.001,5.357930e+04
3725,0.001,5.370880e+04
3750,0.001,5.383460e+04
3775,0.001,5.395730e+04
3800,0.001,5.407750e+04
3825,0.001,5.419580e+04
3850,0.001,5.431250e+04
3875,0.001,5.442810e+04
3900,0.001,5.454270e+04
3925,0.001,5.465690e+04
3950,0.001,5.477090e+04
3975,0.001,5.488490e+04
4000,0.001,5.499930e+04
200,0.00177828,-7.246370e+03
225,0.00177828,-7.208310e+03
250,0.00177828,-7.169650e+03
275,0.00177828,-7.130230e+03
300,0.00177828,-7.089790e+03
325,0.00177828,-7.047920e+03
350,0.00177828,-7.003860e+03
375,0.00177828,-6.956250e+03
400,0.00177828,-6.902830e+03
425,0.00177828,-6.840280e+03
450,0.00177828,-6.764490e+03
475,0.00177828,-6.671460e+03
500,0.00177828,-6.558180e+03
525,0.00177828,-6.420000e+03
550,0.00177828,-6.238160e+03
575,0.00177828,-5.963330e+03
600,0.00177828,-5.528730e+03
625,0.00177828,-4.900270e+03
650,0.00177828,-4.140750e+03
675,0.00177828,-3.458530e+03
700,0.00177828,-3.058020e+03
725,0.00177828,-2.881580e+03
750,0.00177828,-2.785240e+03
775,0.00177828,-2.708650e+03
800,0.00177828,-2.635290e+03
825,0.00177828,-2.549430e+03
850,0.00177828,-2.390970e+03
875,0.00177828,-2.133950e+03
900,0.00177828,-1.837140e+03
925,0.00177828,-1.540310e+03
950,0.00177828,-1.261530e+03
975,0.00177828,-1.007790e+03
1000,0.00177828,-7.794210e+02
1025,0.00177828,-5.724730e+02
1050,0.00177828,-3.801330e+02
1075,0.00177828,-1.934140e+02
1100,0.00177828,-1.281760e+00
1125,0.00177828,2.095160e+02
1150,0.00177828,4.543200e+02
1175,0.00177828,7.488010e+02
1200,0.00177828,1.102820e+03
1225,0.00177828,1.505890e+03
1250,0.00177828,1.908680e+03
1275,0.00177828,2.237070e+03
1300,0.00177828,2.460380e+03
1325,0.00177828,2.609630e+03
1350,0.00177828,2.723090e+03
1375,0.00177828,2.821560e+03
1400,0.00177828,2.913820e+03
1425,0.00177828,3.003410e+03
1450,0.00177828,3.091890e+03
1475,0.00177828,3.180020e+03
1500,0.00177828,3.268260e+03
1525,0.00177828,3.356920e+03
1550,0.00177828,3.446260e+03
1575,0.00177828,3.536550e+03
1600,0.00177828,3.628040e+03
1625,0.00177828,3.721000e+03
1650,0.00177828,3.815760e+03
1675,0.00177828,3.912670e+03
1700,0.00177828,4.012140e+03
1725,0.00177828,4.114640e+03
1750,0.00177828,4.220710e+03
1775,0.00177828,4.330960e+03
1800,0.00177828,4.446080e+03
1825,0.00177828,4.566870e+03
1850,0.00177828,4.694220e+03
1875,0.00177828,4.829120e+03
1900,0.00177828,4.972700e+03
1925,0.00177828,5.126200e+03
1950,0.00177828,5.291020e+03
1975,0.00177828,5.468690e+03
2000,0.00177828,5.660900e+03
2025,0.00177828,5.869520e+03
2050,0.00177828,6.096580e+03
2075,0.00177828,6.344320e+03
2100,0.00177828,6.615180e+03
2125,0.00177828,6.911810e+03
2150,0.00177828,7.237100e+03
2175,0.00177828,7.594190e+03
2200,0.00177828,7.986490e+03
2225,0.00177828,8.417700e+03
2250,0.00177828,8.891850e+03
2275,0.00177828,9.413300e+03
2300,0.00177828,9.986780e+03
2325,0.00177828,1.061730e+04
2350,0.00177828,1.131040e+04
2375,0.00177828,1.207140e+04
2400,0.00177828,1.290590e+04
2425,0.00177828,1.381890e+04
2450,0.00177828,1.481430e+04
2475,0.00177828,1.589450e+04
2500,0.00177828,1.705900e+04
2525,0.00177828,1.830400e+04
2550,0.00177828,1.962210e+04
2575,0.00177828,2.100190e+04
2600,0.00177828,2.242900e+04
2625,0.00177828,2.388630e+04
2650,0.00177828,2.535580e+04
2675,0.00177828,2.681930e+04
2700,0.00177828,2.826000e+04
2725,0.00177828,2.966250e+04
2750,0.00177828,3.101430e+04
2775,0.00177828,3.230550e+04
2800,0.00177828,3.352940e+04
2825,0.00177828,3.468200e+04
2850,0.00177828,3.576230e+04
2875,0.00177828,3.677130e+04
2900,0.00177828,3.771240e+04
2925,0.00177828,3.859020e+04
2950,0.00177828,3.941070e+04
2975,0.00177828,4.018040e+04
3000,0.00177828,4.090610e+04
3025,0.00177828,4.159470e+04
3050,0.00177828,4.225280e+04
3075,0.00177828,4.288670e+04
3100,0.00177828,4.350170e+04
3125,0.00177828,4.410260e+04
3150,0.00177828,4.469310e+04
3175,0.00177828,4.527600e+04
3200,0.00177828,4.585310e+04
3225,0.00177828,4.642480e+04
3250,0.00177828,4.699040e+04
3275,0.00177828,4.754810e+04
3300,0.00177828,4.809500e+04
3325,0.00177828,4.862740e+04
3350,0.00177828,4.914090e+04
3375,0.00177828,4.963110e+04
3400,0.00177828,5.009390e+04
3425,0.00177828,5.052600e+04
3450,0.00177828,5.092520e+04
3475,0.00177828,5.129070e+04
3500,0.00177828,5.162290e+04
3525,0.00177828,5.192370e+04
3550,0.00177828,5.219570e+04
3575,0.00177828,5.244190e+04
3600,0.00177828,5.266560e+04
3625,0.00177828,5.287000e+04
3650,0.00177828,5.305830e+04
3675,0.00177828,5.323290e+04
3700,0.00177828,5.339630e+04
3725,0.00177828,5.355030e+04
3750,0.00177828,5.369660e+04
3775,0.00177828,5.383650e+04
3800,0.00177828,5.397110e+04
3825,0.00177828,5.410150e+04
3850,0.00177828,5.422830e+04
3875,0.00177828,5.435220e+04
3900,0.00177828,5.447370e+04
3925,0.00177828,5.459340e+04
3950,0.00177828,5.471150e+04
3975,0.00177828,5.482860e+04
4000,0.00177828,5.494490e+04
200,0.00316228,-7.246370e+03
225,0.00316228,-7.208310e+03
250,0.00316228,-7.169650e+03
275,0.00316228,-7.130240e+03
300,0.00316228,-7.089840e+03
325,0.00316228,-7.048120e+03
350,0.00316228,-7.004460e+03
375,0.00316228,-6.957830e+03
400,0.00316228,-6.906470e+03
425,0.00316228,-6.847770e+03
450,0.00316228,-6.778290e+03
475,0.00316228,-6.694250e+03
500,0.00316228,-6.592180e+03
525,0.00316228,-6.468180e+03
550,0.00316228,-6.311580e+03
575,0.00316228,-6.091630e+03
600,0.00316228,-5.754220e+03
625,0.00316228,-5.249940e+03
650,0.00316228,-4.579800e+03
675,0.00316228,-3.848840e+03
700,0.00316228,-3.266680e+03
725,0.00316228,-2.951830e+03
750,0.00316228,-2.804880e+03
775,0.00316228,-2.714220e+03
800,0.00316228,-2.637990e+03
825,0.00316228,-2.563580e+03
850,0.00316228,-2.474130e+03
875,0.00316228,-2.313060e+03
900,0.00316228,-2.063710e+03
925,0.00316228,-1.778080e+03
950,0.00316228,-1.490910e+03
975,0.00316228,-1.218440e+03
1000,0.00316228,-9.672660e+02
1025,0.00316228,-7.380700e+02
1050,0.00316228,-5.275550e+02
1075,0.00316228,-3.295760e+02
1100,0.00316228,-1.357600e+02
1125,0.00316228,6.432610e+01
1150,0.00316228,2.831800e+02
1175,0.00316228,5.349750e+02
1200,0.00316228,8.335800e+02
1225,0.00316228,1.186560e+03
1250,0.00316228,1.582210e+03
1275,0.00316228,1.974800e+03
1300,0.00316228,2.298470e+03
1325,0.00316228,2.524780e+03
1350,0.00316228,2.679420e+03
1375,0.00316228,2.797300e+03
1400,0.00316228,2.898850e+03
1425,0.00316228,2.993220e+03
1450,0.00316228,3.084330e+03
1475,0.00316228,3.173940e+03
1500,0.00316228,3.262960e+03
1525,0.00316228,3.351890e+03
1550,0.00316228,3.441090e+03
1575,0.00316228,3.530860e+03
1600,0.00316228,3.621430e+03
1625,0.00316228,3.713060e+03
1650,0.00316228,3.806020e+03
1675,0.00316228,3.900600e+03
1700,0.00316228,3.997110e+03
1725,0.00316228,4.095920e+03
1750,0.00316228,4.197430e+03
1775,0.00316228,4.302120e+03
1800,0.00316228,4.410500e+03
1825,0.00316228,4.523180e+03
1850,0.00316228,4.640820e+03
1875,0.00316228,4.764180e+03
1900,0.00316228,4.894090e+03
1925,0.00316228,5.031490e+03
1950,0.00316228,5.177440e+03
1975,0.00316228,5.333070e+03
2000,0.00316228,5.499660e+03
2025,0.00316228,5.678610e+03
2050,0.00316228,5.871450e+03
2075,0.00316228,6.079850e+03
2100,0.00316228,6.305630e+03
2125,0.00316228,6.550790e+03
2150,0.00316228,6.817470e+03
2175,0.00316228,7.108020e+03
2200,0.00316228,7.424950e+03
2225,0.00316228,7.771020e+03
2250,0.00316228,8.149180e+03
2275,0.00316228,8.562640e+03
2300,0.00316228,9.014850e+03
2325,0.00316228,9.509550e+03
2350,0.00316228,1.005080e+04
2375,0.00316228,1.064280e+04
2400,0.00316228,1.129020e+04
2425,0.00316228,1.199760e+04
2450,0.00316228,1.276980e+04
2475,0.00316228,1.361110e+04
2500,0.00316228,1.452520e+04
2525,0.00316228,1.551480e+04
2550,0.00316228,1.658050e+04
2575,0.00316228,1.772070e+04
2600,0.00316228,1.893070e+04
2625,0.00316228,2.020310e+04
2650,0.00316228,2.152750e+04
2675,0.00316228,2.289110e+04
2700,0.00316228,2.427950e+04
2725,0.00316228,2.567750e+04
2750,0.00316228,2.707010e+04
2775,0.00316228,2.844330e+04
2800,0.00316228,2.978430e+04
2825,0.00316228,3.108240e+04
2850,0.00316228,3.232910e+04
2875,0.00316228,3.351840e+04
2900,0.00316228,3.464630e+04
2925,0.00316228,3.571130e+04
2950,0.00316228,3.671370e+04
2975,0.00316228,3.765550e+04
3000,0.00316228,3.854020e+04
3025,0.00316228,3.937220e+04
3050,0.00316228,4.015670e+04
3075,0.00316228,4.089930e+04
3100,0.00316228,4.160560e+04
3125,0.00316228,4.228130e+04
3150,0.00316228,4.293150e+04
3175,0.00316228,4.356110e+04
3200,0.00316228,4.417420e+04
3225,0.00316228,4.477430e+04
3250,0.00316228,4.536380e+04
3275,0.00316228,4.594460e+04
3300,0.00316228,4.651720e+04
3325,0.00316228,4.708150e+04
3350,0.00316228,4.763620e+04
3375,0.00316228,4.817900e+04
3400,0.00316228,4.870730e+04
3425,0.00316228,4.921760e+04
3450,0.00316228,4.970640e+04
3475,0.00316228,5.017030e+04
3500,0.00316228,5.060630e+04
3525,0.00316228,5.101240e+04
3550,0.00316228,5.138750e+04
3575,0.00316228,5.173170e+04
3600,0.00316228,5.204610e+04
