Bg,P_atm,Tw[K],B'c,hw[MJ/kg],C,H,O,N,CH4,CN,CO,CO2,C2,C2H,"C2H2,acetylene",C3,C4,"C4H2,butadiyne",C5,HCN,H2,H2O,N2,CH2OH,CNN,CNC,CNCOCN,C6H6,CH,CH2,CH3,C2H4,C2H6,"C3H3,1-propynl","C3H3,2-propynl","C6H5O,phenoxy","C6H5OH,phenol",O2,OH,C(gr)
0.2,0.001,3.000000e+02,0.000000e+00,-3.212850e+00,1.502170e-114,9.316730e-37,2.518350e-74,1.343220e-78,1.434230e-03,2.114400e-70,4.393840e-10,1.339050e-01,1.271300e-132,7.833750e-93,1.070810e-41,1.855540e-132,6.383070e-170,2.453380e-78,1.502000e-171,2.654490e-24,4.923200e-05,1.609180e-01,7.036940e-01,5.314870e-45,2.408930e-109,6.048580e-112,2.597210e-80,2.695800e-42,1.533220e-99,5.691350e-70,1.255820e-34,2.810300e-24,3.736220e-14,4.532520e-85,2.662950e-64,1.043830e-68,2.658530e-50,2.888450e-70,2.585060e-43,1.000000e+00
0.2,0.001,3.250000e+02,0.000000e+00,-3.182720e+00,5.992150e-105,1.547990e-33,2.378720e-68,2.883880e-72,2.239900e-03,1.590800e-64,6.311390e-09,1.347740e-01,1.704390e-121,6.007570e-85,4.840770e-38,3.318940e-121,1.006670e-155,1.042120e-71,3.496050e-157,3.203840e-22,1.956540e-04,1.591480e-01,7.036420e-01,1.044820e-41,7.363660e-101,9.062940e-103,2.333870e-74,2.128730e-39,3.069100e-91,3.821100e-64,9.109070e-32,2.210160e-22,1.728180e-13,3.794060e-78,5.846640e-59,6.083630e-64,3.621640e-47,5.419420e-65,7.049160e-40,1.000000e+00
0.2,0.001,3.500000e+02,0.000000e+00,-3.151260e+00,1.023700e-96,8.949570e-31,3.167600e-63,7.744830e-67,3.210480e-03,1.737850e-59,6.226780e-08,1.359360e-01,5.975630e-112,3.463300e-78,6.561100e-35,1.479450e-111,1.511250e-143,5.031870e-66,7.347610e-145,1.946540e-20,6.378440e-04,1.567290e-01,7.034870e-01,6.868610e-39,1.385460e-93,6.693320e-95,2.986030e-69,6.238980e-37,4.016170e-84,3.762520e-59,2.551810e-29,9.108890e-21,6.196280e-13,3.217740e-72,2.202700e-54,7.190890e-60,1.705030e-44,1.800600e-60,6.218650e-37,1.000000e+00
0.2,0.001,3.750000e+02,0.000000e+00,-3.117810e+00,1.405130e-89,2.218780e-28,8.799930e-59,3.941290e-62,4.270330e-03,4.051740e-55,4.547700e-07,1.374860e-01,1.133040e-103,2.510970e-72,3.379900e-32,3.432750e-103,5.465930e-133,4.247060e-61,3.565190e-134,6.816140e-19,1.768070e-03,1.533860e-01,7.030890e-01,1.872270e-36,2.800960e-87,4.443460e-88,8.030000e-65,8.213080e-35,5.912850e-78,7.945470e-55,3.322500e-27,2.225930e-19,1.797060e-12,4.348110e-67,2.014910e-50,2.358340e-56,3.406700e-42,1.499180e-56,2.220780e-34,1.000000e+00
0.2,0.001,4.000000e+02,0.000000e+00,-3.081180e+00,2.484250e-83,2.755850e-26,6.845490e-55,5.189420e-58,5.288910e-03,2.691250e-51,2.601940e-06,1.395890e-01,2.003980e-96,3.364430e-67,7.886350e-30,7.205280e-96,9.560040e-124,8.631930e-57,8.078190e-125,1.520550e-17,4.270350e-03,1.486420e-01,7.022080e-01,2.477980e-34,9.239390e-82,4.161390e-82,6.079530e-61,5.559710e-33,1.470040e-72,4.773620e-51,2.301640e-25,3.520490e-18,4.319800e-12,1.309870e-62,5.784400e-47,2.697930e-53,3.344680e-40,4.061120e-53,3.795000e-32,1.000000e+00
0.2,0.001,4.250000e+02,0.000000e+00,-3.039640e+00,8.117240e-78,1.928360e-24,1.868120e-51,2.243100e-54,6.074910e-03,6.351320e-48,1.218310e-05,1.424760e-01,5.017060e-90,1.116530e-62,9.500010e-28,2.088200e-89,1.377910e-115,5.379850e-53,1.465210e-116,2.328900e-16,9.126740e-03,1.418150e-01,7.004950e-01,1.788370e-32,6.842660e-77,7.760050e-77,1.620560e-57,2.124580e-31,8.406300e-68,1.009530e-47,9.361120e-24,3.827680e-17,8.681310e-12,1.131790e-58,6.310310e-44,1.272080e-50,1.787260e-38,4.372920e-50,3.522120e-30,1.000000e+00
0.2,0.001,4.500000e+02,0.000000e+00,-2.991200e+00,6.491420e-73,8.314580e-23,2.131460e-48,3.830170e-51,6.407850e-03,6.323550e-45,4.830500e-05,1.463820e-01,2.459550e-84,1.150660e-58,6.519310e-26,1.161220e-83,2.477920e-108,1.236810e-49,3.235810e-109,2.591250e-15,1.741130e-02,1.321830e-01,6.975680e-01,7.664460e-31,1.458140e-72,3.767110e-72,1.809700e-54,4.877810e-30,1.403810e-63,8.839170e-45,2.401180e-22,2.978180e-16,1.453540e-11,3.395040e-55,3.020540e-41,2.790740e-48,5.570920e-37,2.187550e-47,1.956040e-28,1.000000e+00
0.2,0.001,4.750000e+02,0.000000e+00,-2.934330e+00,1.586080e-68,2.368630e-21,1.167340e-45,2.990260e-48,6.132820e-03,3.042050e-42,1.665490e-04,1.514100e-01,3.051090e-79,4.398170e-55,2.748850e-24,1.606800e-78,7.715090e-102,1.211020e-46,1.211830e-102,2.187680e-14,2.979070e-02,1.193290e-01,6.931700e-01,2.078900e-29,1.087550e-68,5.883170e-68,9.708410e-52,7.021370e-29,8.257730e-60,3.634640e-42,4.097250e-21,1.704320e-15,2.009120e-11,4.098050e-52,7.084240e-39,3.116520e-46,1.062430e-35,5.745140e-45,7.006900e-27,1.000000e+00
0.2,0.001,5.000000e+02,0.000000e+00,-2.868870e+00,1.414010e-64,4.715300e-20,3.423760e-43,1.200040e-45,5.279940e-03,7.883380e-40,5.095750e-04,1.573570e-01,1.175920e-74,7.189380e-52,7.569610e-23,6.811790e-74,5.405850e-96,5.669260e-44,1.003310e-96,1.451760e-13,4.591420e-02,1.035630e-01,6.873770e-01,3.754020e-28,3.322100e-65,3.502150e-64,2.789890e-49,6.565500e-28,1.988540e-56,7.767690e-40,4.857310e-20,7.339570e-15,2.279000e-11,2.241720e-49,8.899350e-37,1.903780e-44,1.288350e-34,8.717060e-43,1.717860e-25,1.000000e+00
0.2,0.001,5.250000e+02,0.000000e+00,-2.796190e+00,5.310650e-61,6.876850e-19,5.867860e-41,2.722600e-43,4.090390e-03,1.202180e-37,1.404480e-03,1.635940e-01,1.662770e-70,5.650620e-49,1.435580e-21,1.047120e-69,1.054130e-90,1.398590e-41,2.276470e-91,7.808520e-13,6.420360e-02,8.608080e-02,6.806260e-01,4.721130e-27,4.722410e-62,9.118910e-61,4.686440e-47,4.149280e-27,2.218100e-53,9.400410e-38,4.166800e-19,2.440780e-14,2.134610e-11,6.152340e-47,6.471400e-35,6.795060e-43,1.034630e-33,8.233740e-41,3.025490e-24,1.000000e+00
