Bg,P_atm,Tw[K],B'c,hw[MJ/kg],C,H,O,N,CH4,CN,CO,CO2,C2,C2H,"C2H2,acetylene",C3,C4,"C4H2,butadiyne",C5,HCN,H2,H2O,N2,CH2OH,CNN,CNC,CNCOCN,C6H6,HNC,C(gr)
1.0,0.001,3.000000e+02,0.000000e+00,-5.993230e+00,1.502170e-114,3.188790e-36,6.054610e-75,9.359380e-79,1.968190e-01,1.473290e-70,1.056370e-10,7.739920e-03,1.271300e-132,2.681220e-92,1.254400e-40,1.855540e-132,6.383070e-170,2.874020e-77,1.502000e-171,6.330600e-24,5.767300e-04,4.532100e-01,3.416540e-01,5.123300e-44,1.169570e-109,4.214580e-112,3.031650e-81,4.333730e-39,2.097830e-34,1.000000e+00
1.0,0.001,3.250000e+02,0.000000e+00,-5.924500e+00,5.992150e-105,4.759110e-33,7.034100e-69,2.008890e-72,2.001080e-01,1.108140e-64,1.866340e-09,1.178520e-02,1.704390e-121,1.846960e-84,4.575430e-37,3.318940e-121,1.006670e-155,9.849970e-71,3.496050e-157,6.861330e-22,1.849290e-03,4.448210e-01,3.414360e-01,8.978110e-41,3.573150e-101,6.313180e-103,3.348880e-75,1.797520e-36,1.508310e-31,1.000000e+00
1.0,0.001,3.500000e+02,0.000000e+00,-5.850350e+00,1.023700e-96,2.523490e-30,1.104700e-63,5.391230e-67,2.029400e-01,1.209730e-59,2.171580e-08,1.653330e-02,5.975630e-112,9.765390e-78,5.216450e-34,1.479450e-111,1.511250e-143,4.000630e-65,7.347610e-145,3.820660e-20,5.071230e-03,4.345700e-01,3.408860e-01,5.370060e-38,6.713450e-94,4.659270e-95,5.046140e-70,3.135520e-34,4.263630e-29,1.000000e+00
1.0,0.001,3.750000e+02,0.000000e+00,-5.771310e+00,1.405130e-89,5.833030e-28,3.505720e-59,2.739420e-62,2.039750e-01,2.816180e-55,1.811720e-07,2.182000e-02,1.133040e-103,6.601180e-72,2.335940e-31,3.432750e-103,5.465930e-133,2.935260e-60,3.565190e-134,1.245480e-18,1.221960e-02,4.223210e-01,3.396640e-01,1.355200e-35,1.353150e-87,3.088450e-88,1.545440e-65,2.711320e-32,5.694280e-27,1.000000e+00
1.0,0.001,4.000000e+02,0.000000e+00,-5.686500e+00,2.484250e-83,6.845190e-26,3.041960e-55,3.596350e-58,2.013190e-01,1.865080e-51,1.156240e-06,2.756440e-02,2.003980e-96,8.356830e-67,4.865590e-29,7.205280e-96,9.560040e-124,5.325580e-56,8.078190e-125,2.617420e-17,2.634650e-02,4.075190e-01,3.372500e-01,1.687470e-33,4.437410e-82,2.883910e-82,1.297490e-61,1.305660e-30,4.117940e-25,1.000000e+00
1.0,0.001,4.250000e+02,0.000000e+00,-5.592850e+00,8.117240e-78,4.576270e-24,9.101850e-52,1.546490e-54,1.926780e-01,4.378870e-48,5.935820e-06,3.382130e-02,5.017060e-90,2.649680e-62,5.350200e-27,2.088200e-89,1.377910e-115,3.029810e-52,1.465210e-116,3.810420e-16,5.139980e-02,3.891270e-01,3.329680e-01,1.164530e-31,3.252540e-77,5.350110e-77,3.753070e-58,3.795010e-29,1.786500e-23,1.000000e+00
1.0,0.001,4.500000e+02,0.000000e+00,-5.484590e+00,6.491420e-73,1.903400e-22,1.125480e-48,2.619010e-51,1.759830e-01,4.323950e-45,2.550670e-05,4.081440e-02,2.459550e-84,2.634120e-58,3.416500e-25,1.161220e-83,2.477920e-108,6.481580e-49,3.235810e-109,4.056190e-15,9.124510e-02,3.657760e-01,3.261560e-01,4.855260e-30,6.817690e-73,2.575890e-72,4.467940e-55,7.020390e-28,5.026050e-22,1.000000e+00
1.0,0.001,4.750000e+02,0.000000e+00,-5.353170e+00,1.586080e-68,5.272850e-21,6.636970e-46,2.020610e-48,1.506080e-01,2.055600e-42,9.469270e-05,4.894430e-02,3.051090e-79,9.790820e-55,1.362220e-23,1.606800e-78,7.715090e-102,6.001320e-46,1.211830e-102,3.290810e-14,1.476300e-01,3.362140e-01,3.165100e-01,1.303910e-28,4.965870e-69,3.975440e-68,2.520400e-52,8.544850e-27,9.739120e-21,1.000000e+00
1.0,0.001,5.000000e+02,0.000000e+00,-5.188730e+00,1.414010e-64,1.026870e-19,2.091200e-43,7.987040e-46,1.187550e-01,5.246890e-40,3.112430e-04,5.870430e-02,1.175920e-74,1.565660e-51,3.589920e-22,6.811790e-74,5.405850e-96,2.688670e-43,1.003310e-96,2.104220e-13,2.177500e-01,2.999890e-01,3.044910e-01,2.368130e-27,1.471610e-65,2.330900e-64,7.548440e-50,7.003260e-26,1.364540e-19,1.000000e+00
1.0,0.001,5.250000e+02,0.000000e+00,-4.984440e+00,5.310650e-61,1.470590e-18,3.848090e-41,1.781530e-43,8.554090e-02,7.866470e-38,9.210420e-04,7.035560e-02,1.662770e-70,1.208370e-48,6.564940e-21,1.047120e-69,1.054130e-90,6.395810e-41,2.276470e-91,1.092650e-12,2.936060e-01,2.581520e-01,2.914250e-01,3.027740e-26,2.022000e-62,5.966940e-61,1.315910e-47,3.968130e-25,1.441890e-18,1.000000e+00
