P_atm,Bg,T_K,regime,Bc_mpp,Bc_ref,Bc_err_pct,hw_mpp_MJkg,hw_ref_MJkg,hw_err_pct
0.001,0,250,ACTIF,8.74274000e-02,8.74261611e-02,0.0014,-2.68094000e+00,-2.68098552e+00,0.0017
0.001,0,275,ACTIF,8.74274000e-02,8.74261611e-02,0.0014,-2.65668000e+00,-2.65672702e+00,0.0018
0.001,0,300,ACTIF,8.74274000e-02,8.74261612e-02,0.0014,-2.63222000e+00,-2.63226358e+00,0.0017
0.001,0,325,ACTIF,8.74274000e-02,8.74261627e-02,0.0014,-2.60756000e+00,-2.60760151e+00,0.0016
0.001,0,350,ACTIF,8.74274000e-02,8.74261771e-02,0.0014,-2.58270000e+00,-2.58274571e+00,0.0018
0.001,0,375,ACTIF,8.74275000e-02,8.74262773e-02,0.0014,-2.55766000e+00,-2.55769836e+00,0.0015
0.001,0,400,ACTIF,8.74281000e-02,8.74268211e-02,0.0015,-2.53241000e+00,-2.53245548e+00,0.0018
0.001,0,425,ACTIF,8.74305000e-02,8.74292197e-02,0.0015,-2.50695000e+00,-2.50699519e+00,0.0018
0.001,0,450,ACTIF,8.74395000e-02,8.74381248e-02,0.0016,-2.48120000e+00,-2.48124372e+00,0.0018
0.001,0,475,ACTIF,8.74682000e-02,8.74667145e-02,0.0017,-2.45495000e+00,-2.45499272e+00,0.0017
0.001,0,500,ACTIF,8.75499000e-02,8.75478265e-02,0.0024,-2.42767000e+00,-2.42772460e+00,0.0022
0.001,0,525,ACTIF,8.77582000e-02,8.77547287e-02,0.0040,-2.39821000e+00,-2.39828687e+00,0.0032
0.001,0,550,ACTIF,8.82423000e-02,8.82357026e-02,0.0075,-2.36423000e+00,-2.36435199e+00,0.0052
0.001,0,575,ACTIF,8.92782000e-02,8.92649194e-02,0.0149,-2.32140000e+00,-2.32163261e+00,0.0100
0.001,0,600,ACTIF,9.13315000e-02,9.13050639e-02,0.0290,-2.26252000e+00,-2.26295002e+00,0.0190
0.001,0,625,ACTIF,9.51076000e-02,9.50577453e-02,0.0524,-2.17680000e+00,-2.17759587e+00,0.0365
0.001,0,650,ACTIF,1.01520000e-01,1.01433043e-01,0.0857,-2.05081000e+00,-2.05215798e+00,0.0657
