Tw_K,P_atm,M[kg/kmol],Cp[kJ/kg-K],h[kJ/kg],gamma[-],rho[kg/m3],mu[millipoise]
200,0.001,2.199600e+01,1.511870e+00,-7.246370e+03,1.333370e+00,1.340280e-03,9.196210e-02
225,0.001,2.199600e+01,1.533660e+00,-7.208310e+03,1.327090e+00,1.191360e-03,1.024210e-01
250,0.001,2.199590e+01,1.560460e+00,-7.169650e+03,1.319720e+00,1.072220e-03,1.127750e-01
275,0.001,2.199560e+01,1.596190e+00,-7.130210e+03,1.310560e+00,9.747330e-04,1.229990e-01
300,0.001,2.199430e+01,1.646660e+00,-7.089720e+03,1.298980e+00,8.934500e-04,1.330680e-01
325,0.001,2.198980e+01,1.724630e+00,-7.047650e+03,1.283890e+00,8.245550e-04,1.432410e-01
350,0.001,2.197730e+01,1.854760e+00,-7.003050e+03,1.264010e+00,7.652250e-04,1.532420e-01
375,0.001,2.194760e+01,2.076630e+00,-6.954150e+03,1.239310e+00,7.132440e-04,1.630010e-01
400,0.001,2.188510e+01,2.440820e+00,-6.898030e+03,1.212590e+00,6.667610e-04,1.724010e-01
425,0.001,2.176870e+01,2.989760e+00,-6.830560e+03,1.188890e+00,6.242020e-04,1.812660e-01
450,0.001,2.157700e+01,3.719590e+00,-6.747020e+03,1.172110e+00,5.843330e-04,1.893810e-01
475,0.001,2.129950e+01,4.556820e+00,-6.643690e+03,1.162160e+00,5.464600e-04,1.965860e-01
500,0.001,2.094480e+01,5.491280e+00,-6.518510e+03,1.154330e+00,5.104920e-04,2.029600e-01
525,0.001,2.051540e+01,7.083260e+00,-6.363990e+03,1.142870e+00,4.762150e-04,2.086250e-01
550,0.001,1.993270e+01,1.086980e+01,-6.145970e+03,1.135450e+00,4.416560e-04,2.144260e-01
575,0.001,1.902210e+01,1.788710e+01,-5.792750e+03,1.148060e+00,4.031560e-04,2.207740e-01
600,0.001,1.769960e+01,2.660000e+01,-5.236670e+03,1.175430e+00,3.594950e-04,2.284350e-01
625,0.001,1.615430e+01,3.225000e+01,-4.487100e+03,1.196110e+00,3.149850e-04,2.386780e-01
650,0.001,1.482060e+01,2.745710e+01,-3.713410e+03,1.186110e+00,2.778650e-04,2.516030e-01
675,0.001,1.407550e+01,1.397230e+01,-3.192850e+03,1.160990e+00,2.541220e-04,2.635220e-01
700,0.001,1.382840e+01,5.723580e+00,-2.964270e+03,1.186600e+00,2.407440e-04,2.722680e-01
725,0.001,1.376930e+01,3.426330e+00,-2.856760e+03,1.242670e+00,2.314480e-04,2.794150e-01
750,0.001,1.375570e+01,2.937760e+00,-2.778810e+03,1.267720e+00,2.235140e-04,2.860870e-01
775,0.001,1.375160e+01,2.923800e+00,-2.706280e+03,1.266720e+00,2.162390e-04,2.925870e-01
800,0.001,1.373760e+01,3.953940e+00,-2.625070e+03,1.218350e+00,2.092690e-04,2.989450e-01
825,0.001,1.363790e+01,8.461760e+00,-2.475600e+03,1.168240e+00,2.014530e-04,3.049150e-01
850,0.001,1.340430e+01,1.180620e+01,-2.215050e+03,1.169180e+00,1.921790e-04,3.103160e-01
875,0.001,1.312570e+01,1.249620e+01,-1.907560e+03,1.173740e+00,1.828080e-04,3.154540e-01
900,0.001,1.286080e+01,1.195560e+01,-1.600270e+03,1.177060e+00,1.741440e-04,3.205540e-01
925,0.001,1.263130e+01,1.089430e+01,-1.314040e+03,1.179920e+00,1.664130e-04,3.257210e-01
950,0.001,1.244190e+01,9.699660e+00,-1.056630e+03,1.182970e+00,1.596040e-04,3.309980e-01
975,0.001,1.228990e+01,8.609540e+00,-8.281610e+02,1.186110e+00,1.536120e-04,3.363950e-01
1000,0.001,1.216890e+01,7.769040e+00,-6.240580e+02,1.188230e+00,1.482970e-04,3.419070e-01
1025,0.001,1.207130e+01,7.269850e+00,-4.368650e+02,1.187380e+00,1.435200e-04,3.472900e-01
1050,0.001,1.198900e+01,7.189000e+00,-2.570830e+02,1.181540e+00,1.391480e-04,3.527620e-01
1075,0.001,1.191400e+01,7.611290e+00,-7.322790e+01,1.170330e+00,1.350610e-04,3.583270e-01
1100,0.001,1.183770e+01,8.637980e+00,1.285190e+02,1.156000e+00,1.311470e-04,3.640000e-01
1125,0.001,1.175150e+01,1.036000e+01,3.644920e+02,1.142390e+00,1.272980e-04,3.698060e-01
1150,0.001,1.164690e+01,1.275130e+01,6.521950e+02,1.132700e+00,1.234220e-04,3.757700e-01
1175,0.001,1.151840e+01,1.539060e+01,1.004370e+03,1.128150e+00,1.194640e-04,3.818940e-01
1200,0.001,1.137050e+01,1.699160e+01,1.413370e+03,1.127950e+00,1.154730e-04,3.881140e-01
1225,0.001,1.122510e+01,1.557420e+01,1.828260e+03,1.131200e+00,1.116700e-04,3.942680e-01
1250,0.001,1.111590e+01,1.117180e+01,2.165880e+03,1.143330e+00,1.083710e-04,4.001570e-01
1275,0.001,1.105510e+01,7.069060e+00,2.390140e+03,1.175240e+00,1.056660e-04,4.057380e-01
1300,0.001,1.102720e+01,4.920170e+00,2.536330e+03,1.219410e+00,1.033720e-04,4.111150e-01
1325,0.001,1.101450e+01,4.042620e+00,2.646660e+03,1.253250e+00,1.013050e-04,4.163910e-01
1350,0.001,1.100820e+01,3.701710e+00,2.742810e+03,1.270810e+00,9.937200e-05,4.216130e-01
1375,0.001,1.100460e+01,3.566060e+00,2.833400e+03,1.278250e+00,9.753350e-05,4.267990e-01
1400,0.001,1.100230e+01,3.512340e+00,2.921770e+03,1.280820e+00,9.577180e-05,4.319560e-01
1425,0.001,1.100070e+01,3.495520e+00,3.009320e+03,1.281060e+00,9.407740e-05,4.370860e-01
1450,0.001,1.099930e+01,3.498560e+00,3.096710e+03,1.280040e+00,9.244440e-05,4.421920e-01
1475,0.001,1.099820e+01,3.514770e+00,3.184360e+03,1.278190e+00,9.086790e-05,4.472730e-01
1500,0.001,1.099700e+01,3.541610e+00,3.272540e+03,1.275710e+00,8.934420e-05,4.523320e-01
1525,0.001,1.099580e+01,3.578450e+00,3.361520e+03,1.272650e+00,8.786990e-05,4.573690e-01
1550,0.001,1.099450e+01,3.625660e+00,3.451550e+03,1.269030e+00,8.644200e-05,4.623850e-01
1575,0.001,1.099290e+01,3.684270e+00,3.542900e+03,1.264850e+00,8.505740e-05,4.673800e-01
1600,0.001,1.099090e+01,3.755800e+00,3.635870e+03,1.260100e+00,8.371350e-05,4.723560e-01
1625,0.001,1.098850e+01,3.842200e+00,3.730810e+03,1.254760e+00,8.240770e-05,4.773130e-01
1650,0.001,1.098560e+01,3.945800e+00,3.828120e+03,1.248840e+00,8.113750e-05,4.822510e-01
1675,0.001,1.098200e+01,4.069320e+00,3.928270e+03,1.242370e+00,7.990020e-05,4.871720e-01
1700,0.001,1.097750e+01,4.215850e+00,4.031780e+03,1.235390e+00,7.869340e-05,4.920770e-01
1725,0.001,1.097210e+01,4.388880e+00,4.139280e+03,1.227970e+00,7.751460e-05,4.969650e-01
1750,0.001,1.096550e+01,4.592320e+00,4.251480e+03,1.220200e+00,7.636140e-05,5.018390e-01
1775,0.001,1.095760e+01,4.830470e+00,4.369190e+03,1.212210e+00,7.523110e-05,5.066980e-01
1800,0.001,1.094800e+01,5.108080e+00,4.493330e+03,1.204120e+00,7.412130e-05,5.115430e-01
1825,0.001,1.093650e+01,5.430340e+00,4.624960e+03,1.196080e+00,7.302920e-05,5.163750e-01
1850,0.001,1.092280e+01,5.802890e+00,4.765270e+03,1.188230e+00,7.195220e-05,5.211950e-01
1875,0.001,1.090660e+01,6.231860e+00,4.915580e+03,1.180700e+00,7.088760e-05,5.260030e-01
1900,0.001,1.088750e+01,6.723870e+00,5.077380e+03,1.173630e+00,6.983250e-05,5.307990e-01
1925,0.001,1.086520e+01,7.286020e+00,5.252350e+03,1.167110e+00,6.878400e-05,5.355840e-01
1950,0.001,1.083910e+01,7.925940e+00,5.442330e+03,1.161250e+00,6.773920e-05,5.403570e-01
1975,0.001,1.080880e+01,8.651810e+00,5.649370e+03,1.156110e+00,6.669500e-05,5.451170e-01
2000,0.001,1.077390e+01,9.472360e+00,5.875710e+03,1.151740e+00,6.564840e-05,5.498630e-01
2025,0.001,1.073370e+01,1.039690e+01,6.123850e+03,1.148180e+00,6.459630e-05,5.544300e-01
2050,0.001,1.068780e+01,1.143550e+01,6.396510e+03,1.145450e+00,6.353560e-05,5.589750e-01
2075,0.001,1.063560e+01,1.259880e+01,6.696670e+03,1.143560e+00,6.246330e-05,5.634920e-01
2100,0.001,1.057640e+01,1.389840e+01,7.027590e+03,1.142520e+00,6.137630e-05,5.679770e-01
2125,0.001,1.050970e+01,1.534680e+01,7.392830e+03,1.142330e+00,6.027150e-05,5.724190e-01
2150,0.001,1.043480e+01,1.695740e+01,7.796280e+03,1.142980e+00,5.914630e-05,5.768090e-01
2175,0.001,1.035120e+01,1.874520e+01,8.242180e+03,1.144470e+00,5.799790e-05,5.811330e-01
2200,0.001,1.025820e+01,2.072620e+01,8.735150e+03,1.146800e+00,5.682380e-05,5.853740e-01
2225,0.001,1.015530e+01,2.291760e+01,9.280240e+03,1.149970e+00,5.562170e-05,5.895110e-01
2250,0.001,1.004200e+01,2.533710e+01,9.882930e+03,1.153980e+00,5.438980e-05,5.935200e-01
2275,0.001,9.917690e+00,2.800150e+01,1.054910e+04,1.158830e+00,5.312650e-05,5.973740e-01
2300,0.001,9.782140e+00,3.092330e+01,1.128520e+04,1.164500e+00,5.183080e-05,6.010410e-01
2325,0.001,9.635050e+00,3.410590e+01,1.209750e+04,1.170970e+00,5.050250e-05,6.044880e-01
2350,0.001,9.476430e+00,3.753520e+01,1.299250e+04,1.178180e+00,4.914270e-05,6.076800e-01
2375,0.001,9.306550e+00,4.117000e+01,1.397600e+04,1.186000e+00,4.775370e-05,6.105840e-01
2400,0.001,9.126150e+00,4.493140e+01,1.505210e+04,1.194250e+00,4.634020e-05,6.131680e-01
2425,0.001,8.936470e+00,4.869690e+01,1.622260e+04,1.202630e+00,4.490930e-05,6.154060e-01
2450,0.001,8.739380e+00,5.230270e+01,1.748560e+04,1.210760e+00,4.347070e-05,6.172790e-01
2475,0.001,8.537330e+00,5.555840e+01,1.883480e+04,1.218240e+00,4.203670e-05,6.187790e-01
2500,0.001,8.333250e+00,5.827220e+01,2.025900e+04,1.224640e+00,4.062150e-05,6.199030e-01
2525,0.001,8.130280e+00,6.027900e+01,2.174250e+04,1.229620e+00,3.923970e-05,6.206610e-01
2550,0.001,7.931570e+00,6.146460e+01,2.326610e+04,1.232960e+00,3.790540e-05,6.210770e-01
2575,0.001,7.739960e+00,6.177850e+01,2.480840e+04,1.234580e+00,3.663060e-05,6.211830e-01
2600,0.001,7.557840e+00,6.123380e+01,2.634780e+04,1.234540e+00,3.542470e-05,6.210300e-01
2625,0.001,7.386990e+00,5.989830e+01,2.786350e+04,1.233000e+00,3.429420e-05,6.206760e-01
2650,0.001,7.228600e+00,5.788150e+01,2.933710e+04,1.230220e+00,3.324220e-05,6.201940e-01
2675,0.001,7.083280e+00,5.531910e+01,3.075310e+04,1.226490e+00,3.226950e-05,6.196590e-01
2700,0.001,6.951170e+00,5.236050e+01,3.209970e+04,1.222130e+00,3.137440e-05,6.191470e-01
2725,0.001,6.831970e+00,4.915610e+01,3.336900e+04,1.217420e+00,3.055350e-05,6.187270e-01
2750,0.001,6.725100e+00,4.584820e+01,3.455670e+04,1.212650e+00,2.980220e-05,6.184590e-01
2775,0.001,6.629720e+00,4.256350e+01,3.566170e+04,1.208020e+00,2.911480e-05,6.183910e-01
2800,0.001,6.544880e+00,3.940790e+01,3.668590e+04,1.203710e+00,2.848560e-05,6.185550e-01
2825,0.001,6.469510e+00,3.646460e+01,3.763380e+04,1.199840e+00,2.790840e-05,6.189700e-01
2850,0.001,6.402540e+00,3.379290e+01,3.851140e+04,1.196430e+00,2.737720e-05,6.196430e-01
2875,0.001,6.342890e+00,3.143080e+01,3.932610e+04,1.193490e+00,2.688630e-05,6.205730e-01
2900,0.001,6.289560e+00,2.939670e+01,4.008570e+04,1.190950e+00,2.643040e-05,6.217490e-01
2925,0.001,6.241580e+00,2.769290e+01,4.079860e+04,1.188740e+00,2.600460e-05,6.231560e-01
2950,0.001,6.198080e+00,2.630880e+01,4.147300e+04,1.186770e+00,2.560460e-05,6.247770e-01
2975,0.001,6.158280e+00,2.522360e+01,4.211660e+04,1.184950e+00,2.522640e-05,6.265900e-01
3000,0.001,6.121480e+00,2.440840e+01,4.273650e+04,1.183240e+00,2.486670e-05,6.285780e-01
3025,0.001,6.087100e+00,2.382780e+01,4.333900e+04,1.181620e+00,2.452260e-05,6.307220e-01
3050,0.001,6.054620e+00,2.344120e+01,4.392950e+04,1.180110e+00,2.419180e-05,6.330050e-01
3075,0.001,6.023650e+00,2.320290e+01,4.451230e+04,1.178750e+00,2.387240e-05,6.354130e-01
3100,0.001,5.993870e+00,2.306330e+01,4.509040e+04,1.177610e+00,2.356280e-05,6.379340e-01
3125,0.001,5.965070e+00,2.296880e+01,4.566580e+04,1.176760e+00,2.326200e-05,6.405590e-01
3150,0.001,5.937110e+00,2.286350e+01,4.623880e+04,1.176270e+00,2.296930e-05,6.432810e-01
3175,0.001,5.909980e+00,2.269070e+01,4.680840e+04,1.176200e+00,2.268420e-05,6.460950e-01
3200,0.001,5.883700e+00,2.239620e+01,4.737230e+04,1.176630e+00,2.240690e-05,6.489970e-01
3225,0.001,5.858400e+00,2.193300e+01,4.792680e+04,1.177630e+00,2.213760e-05,6.519880e-01
3250,0.001,5.834250e+00,2.126650e+01,4.846720e+04,1.179320e+00,2.187680e-05,6.550650e-01
3275,0.001,5.811460e+00,2.038060e+01,4.898830e+04,1.181830e+00,2.162500e-05,6.582260e-01
3300,0.001,5.790250e+00,1.928230e+01,4.948450e+04,1.185350e+00,2.138280e-05,6.614710e-01
