Bg,P_atm,regime,Tw[K],B'c,hw[MJ/kg],C,H,O,N,CH,CH4,CO,CO2,CN,C2H,"C2H2,acetylene",C3,C3H,C4,"C4H2,butadiyne",C5,HCN,H2,H2O,N2,C(gr)
2.0,0.001,OK,3.000000e+02,0.000000e+00,-6.947640e+00,1.502170e-114,3.703870e-36,4.354720e-75,7.110440e-79,6.095300e-99,3.582510e-01,7.597810e-11,4.003910e-03,1.119280e-70,3.114310e-92,1.692370e-40,1.855540e-132,3.658610e-117,6.383070e-170,3.877480e-77,1.502000e-171,5.586290e-24,7.780940e-04,4.397780e-01,1.971900e-01,1.000000e+00
2.0,0.001,OK,3.250000e+02,0.000000e+00,-6.883210e+00,5.992150e-105,5.509270e-33,5.131410e-69,1.526010e-72,1.092290e-90,3.593670e-01,1.361500e-09,6.271830e-03,8.417740e-65,2.138090e-84,6.131530e-37,3.318940e-121,2.612210e-107,1.006670e-155,1.319990e-70,3.496050e-157,6.033640e-22,2.478240e-03,4.348610e-01,1.970220e-01,1.000000e+00
2.0,0.001,OK,3.500000e+02,0.000000e+00,-6.813740e+00,1.023700e-96,2.910830e-30,8.182890e-64,4.094270e-67,1.306250e-83,3.592750e-01,1.608570e-08,9.071690e-03,9.187050e-60,1.126430e-77,6.940720e-34,1.479450e-111,7.393540e-99,1.511250e-143,5.323010e-65,7.347610e-145,3.346890e-20,6.747500e-03,4.283050e-01,1.966010e-01,1.000000e+00
2.0,0.001,OK,3.750000e+02,0.000000e+00,-6.739640e+00,1.405130e-89,6.705260e-28,2.636300e-59,2.079220e-62,1.786890e-77,3.561750e-01,1.362410e-07,1.233930e-02,2.137480e-55,7.588270e-72,3.086780e-31,3.432750e-103,1.576730e-91,5.465930e-133,3.878730e-60,3.565190e-134,1.086680e-18,1.614730e-02,4.196640e-01,1.956740e-01,1.000000e+00
2.0,0.001,OK,4.000000e+02,0.000000e+00,-6.660640e+00,2.484250e-83,7.845280e-26,2.319450e-55,2.726610e-58,4.184870e-72,3.473570e-01,8.816150e-07,1.602550e-02,1.414020e-51,9.577770e-67,6.391190e-29,7.205280e-96,4.097860e-85,9.560040e-124,6.995410e-56,8.078190e-125,2.274340e-17,3.460740e-02,4.081560e-01,1.938530e-01,1.000000e+00
2.0,0.001,OK,4.250000e+02,0.000000e+00,-6.574850e+00,8.117240e-78,5.232770e-24,7.023780e-52,1.170170e-54,2.281120e-67,3.293920e-01,4.580600e-06,2.014060e-02,3.313330e-48,3.029790e-62,6.995370e-27,2.088200e-89,1.872510e-79,1.377910e-115,3.961470e-52,1.465210e-116,3.296830e-16,6.720510e-02,3.926200e-01,1.906370e-01,1.000000e+00
2.0,0.001,OK,4.500000e+02,0.000000e+00,-6.477590e+00,6.491420e-73,2.173130e-22,8.773850e-49,1.975310e-51,3.669050e-63,2.990170e-01,1.988410e-05,2.480360e-02,3.261210e-45,3.007410e-58,4.453420e-25,1.161220e-83,1.997650e-74,2.477920e-108,8.448770e-49,3.235810e-109,3.492790e-15,1.189380e-01,3.716880e-01,1.855330e-01,1.000000e+00
2.0,0.001,OK,4.750000e+02,0.000000e+00,-6.359800e+00,1.586080e-68,6.014660e-21,5.222480e-46,1.516630e-48,2.096880e-59,2.549830e-01,7.451150e-05,3.030510e-02,1.542900e-42,1.116820e-54,1.772470e-23,1.606800e-78,6.214590e-70,7.715090e-102,7.808700e-46,1.211830e-102,2.817520e-14,1.920910e-01,3.442340e-01,1.783120e-01,1.000000e+00
2.0,0.001,OK,5.000000e+02,0.000000e+00,-6.206780e+00,1.414010e-64,1.170370e-19,1.663550e-43,5.956370e-46,4.935690e-56,2.003950e-01,2.475940e-04,3.714930e-02,3.912890e-40,1.784460e-51,4.663400e-22,6.811790e-74,6.729460e-66,5.405850e-96,3.492660e-43,1.003310e-96,1.788530e-13,2.828630e-01,3.100020e-01,1.693420e-01,1.000000e+00
2.0,0.001,OK,5.250000e+02,0.000000e+00,-5.999870e+00,5.310650e-61,1.673390e-18,3.108910e-41,1.318790e-43,5.397460e-53,1.434160e-01,7.441190e-04,4.592250e-02,5.823220e-38,1.375000e-48,8.500460e-21,1.047120e-69,2.929960e-62,1.054130e-90,8.281460e-41,2.276470e-91,9.203830e-13,3.801680e-01,2.700540e-01,1.596960e-01,1.000000e+00
