Tw_K,P_bar,hw_Jkg
300,0.00101325,-2.632220e+06
325,0.00101325,-2.607560e+06
350,0.00101325,-2.582700e+06
375,0.00101325,-2.557660e+06
400,0.00101325,-2.532410e+06
425,0.00101325,-2.506950e+06
450,0.00101325,-2.481200e+06
475,0.00101325,-2.454950e+06
500,0.00101325,-2.427670e+06
525,0.00101325,-2.398210e+06
550,0.00101325,-2.364230e+06
575,0.00101325,-2.321400e+06
600,0.00101325,-2.262520e+06
625,0.00101325,-2.176800e+06
650,0.00101325,-2.050810e+06
675,0.00101325,-1.873030e+06
700,0.00101325,-1.644830e+06
725,0.00101325,-1.393750e+06
750,0.00101325,-1.169110e+06
775,0.00101325,-1.006410e+06
800,0.00101325,-9.031370e+05
825,0.00101325,-8.375710e+05
850,0.00101325,-7.913880e+05
875,0.00101325,-7.543380e+05
900,0.00101325,-7.214810e+05
925,0.00101325,-6.905400e+05
950,0.00101325,-6.604610e+05
975,0.00101325,-6.307500e+05
1000,0.00101325,-6.011650e+05
1025,0.00101325,-5.715900e+05
1050,0.00101325,-5.419660e+05
1075,0.00101325,-5.122650e+05
1100,0.00101325,-4.824710e+05
1125,0.00101325,-4.525790e+05
1150,0.00101325,-4.225860e+05
1175,0.00101325,-3.924920e+05
1200,0.00101325,-3.623000e+05
1225,0.00101325,-3.320110e+05
1250,0.00101325,-3.016270e+05
1275,0.00101325,-2.711530e+05
1300,0.00101325,-2.405890e+05
1325,0.00101325,-2.099400e+05
1350,0.00101325,-1.792080e+05
1375,0.00101325,-1.483950e+05
1400,0.00101325,-1.175040e+05
1425,0.00101325,-8.653840e+04
1450,0.00101325,-5.549990e+04
1475,0.00101325,-2.439110e+04
1500,0.00101325,6.785840e+03
1525,0.00101325,3.802860e+04
1550,0.00101325,6.933510e+04
1575,0.00101325,1.007030e+05
1600,0.00101325,1.321310e+05
1625,0.00101325,1.636170e+05
1650,0.00101325,1.951590e+05
1675,0.00101325,2.267550e+05
1700,0.00101325,2.584040e+05
1725,0.00101325,2.901050e+05
1750,0.00101325,3.218550e+05
1775,0.00101325,3.536550e+05
1800,0.00101325,3.855020e+05
1825,0.00101325,4.173970e+05
1850,0.00101325,4.493380e+05
1875,0.00101325,4.813260e+05
1900,0.00101325,5.133620e+05
1925,0.00101325,5.454450e+05
1950,0.00101325,5.775780e+05
1975,0.00101325,6.097640e+05
2000,0.00101325,6.420060e+05
2025,0.00101325,6.743110e+05
2050,0.00101325,7.066840e+05
2075,0.00101325,7.391370e+05
2100,0.00101325,7.716820e+05
2125,0.00101325,8.043350e+05
2150,0.00101325,8.371190e+05
2175,0.00101325,8.700620e+05
2200,0.00101325,9.031980e+05
2225,0.00101325,9.365740e+05
2250,0.00101325,9.702490e+05
2275,0.00101325,1.004300e+06
2300,0.00101325,1.038820e+06
2325,0.00101325,1.073940e+06
2350,0.00101325,1.109830e+06
2375,0.00101325,1.146700e+06
2400,0.00101325,1.184820e+06
2425,0.00101325,1.224570e+06
2450,0.00101325,1.266420e+06
