P_Pa,Bg,T_K,regime,Bc_mpp,Bc_ref,Bc_err_pct,hw_mpp_Jkg,hw_ref_Jkg,hw_err_pct
100,0,300,ACTIF,8.74274000e-02,8.74274000e-02,0.000000,-2.63222000e+06,-2.63222000e+06,0.000000
100,0,350,ACTIF,8.74274000e-02,8.74274000e-02,0.000000,-2.58270000e+06,-2.58270000e+06,0.000000
100,0,400,ACTIF,8.74281000e-02,8.74281000e-02,0.000000,-2.53241000e+06,-2.53241000e+06,0.000000
100,0,450,ACTIF,8.74395000e-02,8.74395000e-02,0.000000,-2.48120000e+06,-2.48120000e+06,0.000000
100,0,500,ACTIF,8.75507000e-02,8.75507000e-02,0.000000,-2.42766000e+06,-2.42766000e+06,0.000000
100,0,550,ACTIF,8.82477000e-02,8.82477000e-02,0.000000,-2.36414000e+06,-2.36414000e+06,0.000000
100,0,600,ACTIF,9.13568000e-02,9.13568000e-02,0.000000,-2.26212000e+06,-2.26212000e+06,0.000000
100,0,650,ACTIF,1.01606000e-01,1.01606000e-01,0.000000,-2.04949000e+06,-2.04949000e+06,0.000000
100,0,700,ACTIF,1.25107000e-01,1.25107000e-01,0.000000,-1.64211000e+06,-1.64211000e+06,0.000000
100,0,750,ACTIF,1.54445000e-01,1.54445000e-01,0.000000,-1.16671000e+06,-1.16671000e+06,0.000000
100,0,800,ACTIF,1.69579000e-01,1.69579000e-01,0.000000,-9.02289000e+05,-9.02289000e+05,0.000000
100,0,850,ACTIF,1.73598000e-01,1.73598000e-01,0.000000,-7.91169000e+05,-7.91169000e+05,0.000000
100,0,900,ACTIF,1.74523000e-01,1.74523000e-01,0.000000,-7.21422000e+05,-7.21422000e+05,0.000000
100,0,950,ACTIF,1.74755000e-01,1.74755000e-01,0.000000,-6.60444000e+05,-6.60444000e+05,0.000000
100,0,1000,ACTIF,1.74821000e-01,1.74821000e-01,0.000000,-6.01159000e+05,-6.01159000e+05,0.000000
100,0,1050,ACTIF,1.74842000e-01,1.74842000e-01,0.000000,-5.41964000e+05,-5.41964000e+05,0.000000
100,0,1100,ACTIF,1.74850000e-01,1.74850000e-01,0.000000,-4.82470000e+05,-4.82470000e+05,0.000000
100,0,1150,ACTIF,1.74852000e-01,1.74852000e-01,0.000000,-4.22585000e+05,-4.22585000e+05,0.000000
100,0,1200,ACTIF,1.74854000e-01,1.74854000e-01,0.000000,-3.62300000e+05,-3.62300000e+05,0.000000
100,0,1250,ACTIF,1.74854000e-01,1.74854000e-01,0.000000,-3.01627000e+05,-3.01627000e+05,0.000000
100,0,1300,ACTIF,1.74855000e-01,1.74855000e-01,0.000000,-2.40589000e+05,-2.40589000e+05,0.000000
100,0,1350,ACTIF,1.74855000e-01,1.74855000e-01,0.000000,-1.79208000e+05,-1.79208000e+05,0.000000
100,0,1400,ACTIF,1.74855000e-01,1.74855000e-01,0.000000,-1.17504000e+05,-1.17504000e+05,0.000000
100,0,1450,ACTIF,1.74855000e-01,1.74855000e-01,0.000000,-5.54999000e+04,-5.54999000e+04,0.000000
100,0,1500,ACTIF,1.74855000e-01,1.74855000e-01,0.000000,6.78584000e+03,6.78584000e+03,-0.000000
100,0,1550,ACTIF,1.74855000e-01,1.74855000e-01,0.000000,6.93351000e+04,6.93351000e+04,-0.000000
100,0,1600,ACTIF,1.74855000e-01,1.74855000e-01,0.000000,1.32131000e+05,1.32131000e+05,0.000000
100,0,1650,ACTIF,1.74855000e-01,1.74855000e-01,0.000000,1.95159000e+05,1.95159000e+05,0.000000
100,0,1700,ACTIF,1.74855000e-01,1.74855000e-01,0.000000,2.58404000e+05,2.58404000e+05,0.000000
100,0,1750,ACTIF,1.74855000e-01,1.74855000e-01,0.000000,3.21855000e+05,3.21855000e+05,0.000000
100,0,1800,ACTIF,1.74855000e-01,1.74855000e-01,0.000000,3.85502000e+05,3.85502000e+05,0.000000
100,0,1850,ACTIF,1.74856000e-01,1.74856000e-01,0.000000,4.49339000e+05,4.49339000e+05,0.000000
100,0,1900,ACTIF,1.74857000e-01,1.74857000e-01,0.000000,5.13362000e+05,5.13362000e+05,0.000000
100,0,1950,ACTIF,1.74859000e-01,1.74859000e-01,0.000000,5.77579000e+05,5.77579000e+05,0.000000
100,0,2000,ACTIF,1.74863000e-01,1.74863000e-01,0.000000,6.42008000e+05,6.42008000e+05,0.000000
100,0,2050,ACTIF,1.74870000e-01,1.74870000e-01,0.000000,7.06688000e+05,7.06688000e+05,0.000000
100,0,2100,ACTIF,1.74883000e-01,1.74883000e-01,0.000000,7.71688000e+05,7.71688000e+05,0.000000
100,0,2150,ACTIF,1.74906000e-01,1.74906000e-01,0.000000,8.37131000e+05,8.37131000e+05,0.000000
100,0,2200,ACTIF,1.74945000e-01,1.74945000e-01,0.000000,9.03218000e+05,9.03218000e+05,0.000000
100,0,2250,ACTIF,1.75011000e-01,1.75011000e-01,0.000000,9.70284000e+05,9.70284000e+05,0.000000
100,0,2300,ACTIF,1.75123000e-01,1.75123000e-01,0.000000,1.03888000e+06,1.03888000e+06,0.000000
100,0,2350,ACTIF,1.75313000e-01,1.75313000e-01,0.000000,1.10994000e+06,1.10994000e+06,0.000000
100,0,2400,ACTIF,1.75636000e-01,1.75636000e-01,0.000000,1.18501000e+06,1.18501000e+06,0.000000
100,0,2450,ACTIF,1.76189000e-01,1.76189000e-01,0.000000,1.26675000e+06,1.26675000e+06,0.000000
100,0,2500,ACTIF,1.77150000e-01,1.77150000e-01,0.000000,1.35978000e+06,1.35978000e+06,0.000000
100,0,2550,ACTIF,1.78835000e-01,1.78835000e-01,0.000000,1.47207000e+06,1.47207000e+06,0.000000
100,0,2600,ACTIF,1.81809000e-01,1.81809000e-01,0.000000,1.61747000e+06,1.61747000e+06,0.000000
100,0,2650,ACTIF,1.87089000e-01,1.87089000e-01,0.000000,1.81985000e+06,1.81985000e+06,0.000000
100,0,2700,ACTIF,1.96490000e-01,1.96490000e-01,0.000000,2.11983000e+06,2.11983000e+06,0.000000
100,0,2750,ACTIF,2.13272000e-01,2.13272000e-01,0.000000,2.58550000e+06,2.58550000e+06,0.000000
100,0,2800,ACTIF,2.43399000e-01,2.43399000e-01,0.000000,3.32856000e+06,3.32856000e+06,0.000000
100,0,2850,ACTIF,2.98246000e-01,2.98246000e-01,0.000000,4.52694000e+06,4.52694000e+06,0.000000
