Tw_K,P_bar,M[kg/mol],Cp[J/kg-K],h[J/kg],gamma[-],rho[kg/m3],mu[Pa-s]
200,0.00101325,1.920320e-02,1.737020e+03,-7.965190e+06,1.332020e+00,1.170110e-03,9.336590e-06
225,0.00101325,1.920320e-02,1.754350e+03,-7.921560e+06,1.327680e+00,1.040100e-03,1.042660e-05
250,0.00101325,1.920310e-02,1.777530e+03,-7.877430e+06,1.322120e+00,9.360810e-04,1.150440e-05
275,0.00101325,1.920250e-02,1.813780e+03,-7.832570e+06,1.314100e+00,8.509580e-04,1.256650e-05
300,0.00101325,1.920020e-02,1.876910e+03,-7.786520e+06,1.301950e+00,7.799480e-04,1.360970e-05
325,0.00101325,1.919230e-02,1.997470e+03,-7.738260e+06,1.283090e+00,7.196560e-04,1.463760e-05
350,0.00101325,1.917040e-02,2.233480e+03,-7.685690e+06,1.255690e+00,6.674910e-04,1.563950e-05
375,0.00101325,1.911830e-02,2.676630e+03,-7.624860e+06,1.222250e+00,6.212970e-04,1.660680e-05
400,0.00101325,1.900920e-02,3.442210e+03,-7.549170e+06,1.190640e+00,5.791440e-04,1.752430e-05
425,0.00101325,1.880790e-02,4.626390e+03,-7.449240e+06,1.168650e+00,5.393050e-04,1.836580e-05
450,0.00101325,1.847980e-02,6.227360e+03,-7.314330e+06,1.158830e+00,5.004580e-04,1.909190e-05
475,0.00101325,1.800950e-02,8.068170e+03,-7.135820e+06,1.158850e+00,4.620500e-04,1.965410e-05
500,0.00101325,1.741780e-02,9.813790e+03,-6.911730e+06,1.163680e+00,4.245280e-04,2.001560e-05
525,0.00101325,1.676080e-02,1.124350e+04,-6.647980e+06,1.167230e+00,3.890600e-04,2.017980e-05
550,0.00101325,1.608990e-02,1.296520e+04,-6.347610e+06,1.164660e+00,3.565110e-04,2.026790e-05
575,0.00101325,1.538100e-02,1.709690e+04,-5.979760e+06,1.160550e+00,3.259860e-04,2.047560e-05
600,0.00101325,1.451050e-02,2.553090e+04,-5.455270e+06,1.171060e+00,2.947210e-04,2.101500e-05
625,0.00101325,1.342070e-02,3.477460e+04,-4.694270e+06,1.192440e+00,2.616830e-04,2.203890e-05
650,0.00101325,1.232730e-02,3.519950e+04,-3.791290e+06,1.195730e+00,2.311200e-04,2.352680e-05
675,0.00101325,1.157200e-02,2.272410e+04,-3.048210e+06,1.173140e+00,2.089230e-04,2.504340e-05
700,0.00101325,1.124630e-02,9.881340e+03,-2.655990e+06,1.174910e+00,1.957920e-04,2.614180e-05
725,0.00101325,1.115330e-02,4.844050e+03,-2.484930e+06,1.232780e+00,1.874760e-04,2.691500e-05
750,0.00101325,1.113050e-02,3.574870e+03,-2.383450e+06,1.282920e+00,1.808580e-04,2.757650e-05
775,0.00101325,1.112490e-02,3.290810e+03,-2.298510e+06,1.299490e+00,1.749340e-04,2.820550e-05
800,0.00101325,1.112330e-02,3.238550e+03,-2.217100e+06,1.301750e+00,1.694440e-04,2.882180e-05
825,0.00101325,1.112290e-02,3.243980e+03,-2.136130e+06,1.300000e+00,1.643030e-04,2.943000e-05
850,0.00101325,1.112270e-02,3.269220e+03,-2.054750e+06,1.296890e+00,1.594670e-04,3.003180e-05
875,0.00101325,1.112230e-02,3.321360e+03,-1.972450e+06,1.291820e+00,1.549060e-04,3.062760e-05
900,0.00101325,1.112100e-02,3.469500e+03,-1.887920e+06,1.280250e+00,1.505860e-04,3.121800e-05
925,0.00101325,1.111560e-02,3.973400e+03,-1.796150e+06,1.250830e+00,1.464450e-04,3.180280e-05
950,0.00101325,1.109570e-02,5.618260e+03,-1.680010e+06,1.199110e+00,1.423350e-04,3.238130e-05
975,0.00101325,1.103330e-02,9.892570e+03,-1.493060e+06,1.157960e+00,1.379060e-04,3.295110e-05
1000,0.00101325,1.088650e-02,1.680180e+04,-1.161760e+06,1.150790e+00,1.326690e-04,3.350820e-05
1025,0.00101325,1.065100e-02,2.215380e+04,-6.664380e+05,1.158560e+00,1.266330e-04,3.403310e-05
1050,0.00101325,1.038500e-02,2.280160e+04,-9.472960e+04,1.163280e+00,1.205310e-04,3.455140e-05
1075,0.00101325,1.014940e-02,1.989410e+04,4.437640e+05,1.163990e+00,1.150580e-04,3.506990e-05
1100,0.00101325,9.969670e-03,1.581100e+04,8.904770e+05,1.165850e+00,1.104510e-04,3.559090e-05
1125,0.00101325,9.843990e-03,1.209160e+04,1.237640e+06,1.172880e+00,1.066350e-04,3.611410e-05
1150,0.00101325,9.760250e-03,9.267220e+03,1.502660e+06,1.186270e+00,1.034300e-04,3.663800e-05
1175,0.00101325,9.705730e-03,7.313130e+03,1.708300e+06,1.204760e+00,1.006640e-04,3.716120e-05
1200,0.00101325,9.670490e-03,6.024940e+03,1.873870e+06,1.225550e+00,9.820850e-05,3.768290e-05
1225,0.00101325,9.647670e-03,5.195730e+03,2.013350e+06,1.245570e+00,9.597720e-05,3.820230e-05
1250,0.00101325,9.632770e-03,4.667700e+03,2.136150e+06,1.262600e+00,9.391250e-05,3.871940e-05
1275,0.00101325,9.622940e-03,4.333160e+03,2.248340e+06,1.275700e+00,9.197710e-05,3.923380e-05
1300,0.00101325,9.616370e-03,4.122330e+03,2.353830e+06,1.284960e+00,9.014660e-05,3.974550e-05
1325,0.00101325,9.611890e-03,3.991000e+03,2.455110e+06,1.291010e+00,8.840460e-05,4.025460e-05
1350,0.00101325,9.608790e-03,3.911500e+03,2.553810e+06,1.294570e+00,8.673950e-05,4.076110e-05
1375,0.00101325,9.606570e-03,3.866590e+03,2.650980e+06,1.296290e+00,8.514270e-05,4.126500e-05
1400,0.00101325,9.604930e-03,3.845610e+03,2.747340e+06,1.296640e+00,8.360810e-05,4.176640e-05
1425,0.00101325,9.603650e-03,3.842080e+03,2.843400e+06,1.295950e+00,8.213030e-05,4.226540e-05
1450,0.00101325,9.602570e-03,3.852250e+03,2.939550e+06,1.294430e+00,8.070520e-05,4.276210e-05
1475,0.00101325,9.601590e-03,3.874120e+03,3.036110e+06,1.292210e+00,7.932920e-05,4.325660e-05
1500,0.00101325,9.600610e-03,3.906970e+03,3.133350e+06,1.289350e+00,7.799910e-05,4.374890e-05
1525,0.00101325,9.599550e-03,3.950940e+03,3.231550e+06,1.285860e+00,7.671190e-05,4.423910e-05
1550,0.00101325,9.598330e-03,4.006880e+03,3.331000e+06,1.281760e+00,7.546510e-05,4.472720e-05
1575,0.00101325,9.596880e-03,4.076200e+03,3.432010e+06,1.277010e+00,7.425600e-05,4.521350e-05
1600,0.00101325,9.595130e-03,4.160790e+03,3.534940e+06,1.271620e+00,7.308240e-05,4.569780e-05
1625,0.00101325,9.592970e-03,4.263010e+03,3.640190e+06,1.265570e+00,7.194190e-05,4.618040e-05
1650,0.00101325,9.590310e-03,4.385670e+03,3.748260e+06,1.258890e+00,7.083220e-05,4.666120e-05
1675,0.00101325,9.587040e-03,4.532010e+03,3.859670e+06,1.251590e+00,6.975120e-05,4.714050e-05
1700,0.00101325,9.583020e-03,4.705710e+03,3.975090e+06,1.243760e+00,6.869660e-05,4.761810e-05
1725,0.00101325,9.578100e-03,4.910940e+03,4.095220e+06,1.235460e+00,6.766630e-05,4.809440e-05
1750,0.00101325,9.572130e-03,5.152290e+03,4.220930e+06,1.226830e+00,6.665800e-05,4.856920e-05
1775,0.00101325,9.564890e-03,5.434890e+03,4.353180e+06,1.218000e+00,6.566950e-05,4.904280e-05
1800,0.00101325,9.556190e-03,5.764340e+03,4.493070e+06,1.209120e+00,6.469850e-05,4.951510e-05
1825,0.00101325,9.545770e-03,6.146760e+03,4.641840e+06,1.200350e+00,6.374270e-05,4.998640e-05
1850,0.00101325,9.533370e-03,6.588780e+03,4.800900e+06,1.191840e+00,6.279960e-05,5.045670e-05
1875,0.00101325,9.518690e-03,7.097570e+03,4.971830e+06,1.183750e+00,6.186690e-05,5.092600e-05
1900,0.00101325,9.501400e-03,7.680830e+03,5.156400e+06,1.176200e+00,6.094190e-05,5.139440e-05
1925,0.00101325,9.481150e-03,8.346790e+03,5.356570e+06,1.169290e+00,6.002220e-05,5.186190e-05
1950,0.00101325,9.457540e-03,9.104190e+03,5.574500e+06,1.163120e+00,5.910520e-05,5.232870e-05
1975,0.00101325,9.430170e-03,9.962300e+03,5.812610e+06,1.157750e+00,5.818810e-05,5.279450e-05
2000,0.00101325,9.398580e-03,1.093090e+04,6.073540e+06,1.153230e+00,5.726830e-05,5.325940e-05
2025,0.00101325,9.362330e-03,1.202010e+04,6.360160e+06,1.149580e+00,5.634310e-05,5.370810e-05
2050,0.00101325,9.320910e-03,1.324070e+04,6.675640e+06,1.146810e+00,5.540980e-05,5.415510e-05
2075,0.00101325,9.273840e-03,1.460360e+04,7.023380e+06,1.144930e+00,5.446580e-05,5.459980e-05
2100,0.00101325,9.220620e-03,1.612020e+04,7.407100e+06,1.143930e+00,5.350850e-05,5.504170e-05
2125,0.00101325,9.160730e-03,1.780220e+04,7.830770e+06,1.143810e+00,5.253550e-05,5.547980e-05
2150,0.00101325,9.093680e-03,1.966150e+04,8.298690e+06,1.144540e+00,5.154460e-05,5.591300e-05
2175,0.00101325,9.019010e-03,2.171000e+04,8.815420e+06,1.146110e+00,5.053370e-05,5.633990e-05
2200,0.00101325,8.936270e-03,2.395970e+04,9.385860e+06,1.148510e+00,4.950120e-05,5.675870e-05
2225,0.00101325,8.845070e-03,2.642190e+04,1.001520e+07,1.151720e+00,4.844550e-05,5.716710e-05
2250,0.00101325,8.745090e-03,2.910740e+04,1.070880e+07,1.155700e+00,4.736570e-05,5.756260e-05
2275,0.00101325,8.636070e-03,3.202480e+04,1.147250e+07,1.160450e+00,4.626120e-05,5.794220e-05
2300,0.00101325,8.517870e-03,3.517880e+04,1.231200e+07,1.165920e+00,4.513210e-05,5.830240e-05
2325,0.00101325,8.390460e-03,3.856710e+04,1.323340e+07,1.172060e+00,4.397890e-05,5.863970e-05
2350,0.00101325,8.253980e-03,4.217490e+04,1.424220e+07,1.178820e+00,4.280330e-05,5.895000e-05
2375,0.00101325,8.108780e-03,4.596800e+04,1.534370e+07,1.186090e+00,4.160770e-05,5.922940e-05
2400,0.00101325,7.955480e-03,4.988410e+04,1.654170e+07,1.193720e+00,4.039590e-05,5.947420e-05
2425,0.00101325,7.795020e-03,5.382430e+04,1.783810e+07,1.201500e+00,3.917310e-05,5.968090e-05
2450,0.00101325,7.628740e-03,5.765010e+04,1.923190e+07,1.209150e+00,3.794620e-05,5.984700e-05
2475,0.00101325,7.458360e-03,6.118860e+04,2.071820e+07,1.216340e+00,3.672400e-05,5.997080e-05
2500,0.00101325,7.285970e-03,6.424890e+04,2.228740e+07,1.222700e+00,3.551640e-05,6.005170e-05
2525,0.00101325,7.113920e-03,6.664710e+04,2.392510e+07,1.227910e+00,3.433440e-05,6.009070e-05
2550,0.00101325,6.944640e-03,6.823350e+04,2.561290e+07,1.231700e+00,3.318880e-05,6.009040e-05
2575,0.00101325,6.780450e-03,6.891360e+04,2.732920e+07,1.233930e+00,3.208950e-05,6.005490e-05
2600,0.00101325,6.623410e-03,6.865830e+04,2.905080e+07,1.234580e+00,3.104490e-05,5.999000e-05
2625,0.00101325,6.475170e-03,6.750280e+04,3.075460e+07,1.233740e+00,3.006100e-05,5.990300e-05
2650,0.00101325,6.336940e-03,6.553730e+04,3.241920e+07,1.231600e+00,2.914180e-05,5.980190e-05
2675,0.00101325,6.209470e-03,6.289250e+04,3.402580e+07,1.228440e+00,2.828870e-05,5.969560e-05
2700,0.00101325,6.093050e-03,5.972490e+04,3.555950e+07,1.224540e+00,2.750130e-05,5.959250e-05
2725,0.00101325,5.987640e-03,5.620160e+04,3.700910e+07,1.220190e+00,2.677760e-05,5.950060e-05
2750,0.00101325,5.892870e-03,5.248720e+04,3.836790e+07,1.215700e+00,2.611420e-05,5.942660e-05
2775,0.00101325,5.808150e-03,4.873350e+04,3.963310e+07,1.211290e+00,2.550680e-05,5.937570e-05
2800,0.00101325,5.732720e-03,4.507150e+04,4.080540e+07,1.207180e+00,2.495080e-05,5.935170e-05
2825,0.00101325,5.665750e-03,4.160690e+04,4.188840e+07,1.203480e+00,2.444110e-05,5.935680e-05
2850,0.00101325,5.606320e-03,3.841870e+04,4.288800e+07,1.200280e+00,2.397260e-05,5.939200e-05
2875,0.00101325,5.553540e-03,3.556000e+04,4.381210e+07,1.197580e+00,2.354040e-05,5.945680e-05
2900,0.00101325,5.506530e-03,3.306060e+04,4.466900e+07,1.195340e+00,2.313990e-05,5.955040e-05
2925,0.00101325,5.464450e-03,3.093010e+04,4.546820e+07,1.193460e+00,2.276680e-05,5.967080e-05
2950,0.00101325,5.426540e-03,2.916150e+04,4.621860e+07,1.191840e+00,2.241730e-05,5.981610e-05
2975,0.00101325,5.392100e-03,2.773440e+04,4.692910e+07,1.190380e+00,2.208780e-05,5.998400e-05
3000,0.00101325,5.360530e-03,2.661740e+04,4.760790e+07,1.189000e+00,2.177550e-05,6.017210e-05
3025,0.00101325,5.331280e-03,2.576960e+04,4.826220e+07,1.187660e+00,2.147770e-05,6.037800e-05
3050,0.00101325,5.303930e-03,2.514180e+04,4.889820e+07,1.186370e+00,2.119240e-05,6.059970e-05
3075,0.00101325,5.278110e-03,2.467680e+04,4.952070e+07,1.185190e+00,2.091780e-05,6.083510e-05
3100,0.00101325,5.253550e-03,2.430980e+04,5.013290e+07,1.184210e+00,2.065250e-05,6.108240e-05
3125,0.00101325,5.230090e-03,2.396920e+04,5.073640e+07,1.183560e+00,2.039580e-05,6.134020e-05
3150,0.00101325,5.207640e-03,2.357840e+04,5.133090e+07,1.183360e+00,2.014710e-05,6.160710e-05
3175,0.00101325,5.186210e-03,2.306020e+04,5.191420e+07,1.183780e+00,1.990620e-05,6.188210e-05
3200,0.00101325,5.165890e-03,2.234390e+04,5.248220e+07,1.185030e+00,1.967330e-05,6.216450e-05
3225,0.00101325,5.146840e-03,2.137610e+04,5.302930e+07,1.187360e+00,1.944880e-05,6.245350e-05
3250,0.00101325,5.129260e-03,2.013320e+04,5.354870e+07,1.191140e+00,1.923330e-05,6.274890e-05
3275,0.00101325,5.113340e-03,1.863280e+04,5.403380e+07,1.196830e+00,1.902720e-05,6.305030e-05
3300,0.00101325,5.099260e-03,1.693770e+04,5.447880e+07,1.204990e+00,1.883110e-05,6.335740e-05
3325,0.00101325,5.087110e-03,1.514780e+04,5.487990e+07,1.216280e+00,1.864500e-05,6.366990e-05
3350,0.00101325,5.076870e-03,1.337840e+04,5.523630e+07,1.231250e+00,1.846860e-05,6.398740e-05
3375,0.00101325,5.068440e-03,1.173380e+04,5.554990e+07,1.250260e+00,1.830130e-05,6.430930e-05
3400,0.00101325,5.061610e-03,1.028700e+04,5.582470e+07,1.273240e+00,1.814230e-05,6.463510e-05
3425,0.00101325,5.056160e-03,9.071280e+03,5.606620e+07,1.299560e+00,1.799050e-05,6.496410e-05
3450,0.00101325,5.051840e-03,8.086350e+03,5.628020e+07,1.328110e+00,1.784480e-05,6.529590e-05
3475,0.00101325,5.048430e-03,7.309590e+03,5.647220e+07,1.357420e+00,1.770450e-05,6.562990e-05
3500,0.00101325,5.045730e-03,6.708190e+03,5.664710e+07,1.386000e+00,1.756860e-05,6.596570e-05
3525,0.00101325,5.043580e-03,6.247780e+03,5.680880e+07,1.412590e+00,1.743660e-05,6.630290e-05
3550,0.00101325,5.041850e-03,5.897280e+03,5.696040e+07,1.436370e+00,1.730790e-05,6.664120e-05
3575,0.00101325,5.040460e-03,5.630830e+03,5.710440e+07,1.456950e+00,1.718210e-05,6.698050e-05
3600,0.00101325,5.039310e-03,5.427990e+03,5.724250e+07,1.474310e+00,1.705890e-05,6.732060e-05
3625,0.00101325,5.038360e-03,5.273120e+03,5.737620e+07,1.488650e+00,1.693810e-05,6.766130e-05
3650,0.00101325,5.037570e-03,5.154550e+03,5.750640e+07,1.500290e+00,1.681940e-05,6.800240e-05
3675,0.00101325,5.036900e-03,5.063650e+03,5.763410e+07,1.509600e+00,1.670270e-05,6.834400e-05
3700,0.00101325,5.036320e-03,4.994130e+03,5.775980e+07,1.516900e+00,1.658800e-05,6.868590e-05
3725,0.00101325,5.035820e-03,4.941490e+03,5.788400e+07,1.522490e+00,1.647500e-05,6.902820e-05
