Tw_K,P_atm,hg_kJkg
200,0.001,-7.965190e+03
225,0.001,-7.921560e+03
250,0.001,-7.877430e+03
275,0.001,-7.832570e+03
300,0.001,-7.786520e+03
325,0.001,-7.738260e+03
350,0.001,-7.685690e+03
375,0.001,-7.624860e+03
400,0.001,-7.549170e+03
425,0.001,-7.449240e+03
450,0.001,-7.314330e+03
475,0.001,-7.135820e+03
500,0.001,-6.911730e+03
525,0.001,-6.647980e+03
550,0.001,-6.347610e+03
575,0.001,-5.979760e+03
600,0.001,-5.455270e+03
625,0.001,-4.694270e+03
650,0.001,-3.791290e+03
675,0.001,-3.048210e+03
700,0.001,-2.655990e+03
725,0.001,-2.484930e+03
750,0.001,-2.383450e+03
775,0.001,-2.298510e+03
800,0.001,-2.217100e+03
825,0.001,-2.136130e+03
850,0.001,-2.054750e+03
875,0.001,-1.972450e+03
900,0.001,-1.887920e+03
925,0.001,-1.796150e+03
950,0.001,-1.680010e+03
975,0.001,-1.493060e+03
1000,0.001,-1.161760e+03
1025,0.001,-6.664380e+02
1050,0.001,-9.472960e+01
1075,0.001,4.437640e+02
1100,0.001,8.904770e+02
1125,0.001,1.237640e+03
1150,0.001,1.502660e+03
1175,0.001,1.708300e+03
1200,0.001,1.873870e+03
1225,0.001,2.013350e+03
1250,0.001,2.136150e+03
1275,0.001,2.248340e+03
1300,0.001,2.353830e+03
1325,0.001,2.455110e+03
1350,0.001,2.553810e+03
1375,0.001,2.650980e+03
1400,0.001,2.747340e+03
1425,0.001,2.843400e+03
1450,0.001,2.939550e+03
1475,0.001,3.036110e+03
1500,0.001,3.133350e+03
1525,0.001,3.231550e+03
1550,0.001,3.331000e+03
1575,0.001,3.432010e+03
1600,0.001,3.534940e+03
1625,0.001,3.640190e+03
1650,0.001,3.748260e+03
1675,0.001,3.859670e+03
1700,0.001,3.975090e+03
1725,0.001,4.095220e+03
1750,0.001,4.220930e+03
1775,0.001,4.353180e+03
1800,0.001,4.493070e+03
1825,0.001,4.641840e+03
